,종목코드,종목명,날짜,종가
0,A214450,파마리서치,20210812,95200
1,A214450,파마리서치,20210811,94800
2,A214450,파마리서치,20210810,90300
3,A214450,파마리서치,20210809,90000
4,A214450,파마리서치,20210806,89700
5,A214450,파마리서치,20210805,89800
6,A214450,파마리서치,20210804,91400
7,A214450,파마리서치,20210803,90500
8,A214450,파마리서치,20210802,91100
9,A214450,파마리서치,20210730,88800
10,A214450,파마리서치,20210729,87600
11,A214450,파마리서치,20210728,84800
12,A214450,파마리서치,20210727,85900
13,A214450,파마리서치,20210726,85600
14,A214450,파마리서치,20210723,88400
15,A214450,파마리서치,20210722,85500
16,A214450,파마리서치,20210721,86300
17,A214450,파마리서치,20210720,84500
18,A214450,파마리서치,20210719,86100
19,A214450,파마리서치,20210716,88000
20,A214450,파마리서치,20210715,89800
21,A214450,파마리서치,20210714,84300
22,A214450,파마리서치,20210713,83800
23,A214450,파마리서치,20210712,85200
24,A214450,파마리서치,20210709,85200
25,A214450,파마리서치,20210708,86300
26,A214450,파마리서치,20210707,86700
27,A214450,파마리서치,20210706,86000
28,A214450,파마리서치,20210705,88700
29,A214450,파마리서치,20210702,88500
30,A214450,파마리서치,20210701,90200
31,A214450,파마리서치,20210630,90000
32,A214450,파마리서치,20210629,87800
33,A214450,파마리서치,20210628,89000
34,A214450,파마리서치,20210625,87800
35,A214450,파마리서치,20210624,88400
36,A214450,파마리서치,20210623,92000
37,A214450,파마리서치,20210622,90700
38,A214450,파마리서치,20210621,90400
39,A214450,파마리서치,20210618,93600
40,A214450,파마리서치,20210617,93200
41,A214450,파마리서치,20210616,93700
42,A214450,파마리서치,20210615,93700
43,A214450,파마리서치,20210614,93200
44,A214450,파마리서치,20210611,92300
45,A214450,파마리서치,20210610,90500
46,A214450,파마리서치,20210609,86500
47,A214450,파마리서치,20210608,84600
48,A214450,파마리서치,20210607,82900
49,A214450,파마리서치,20210604,81400
50,A214450,파마리서치,20210603,85000
51,A214450,파마리서치,20210602,82400
52,A214450,파마리서치,20210601,84400
53,A214450,파마리서치,20210531,84200
54,A214450,파마리서치,20210528,83300
55,A214450,파마리서치,20210527,83800
56,A214450,파마리서치,20210526,83000
57,A214450,파마리서치,20210525,83000
58,A214450,파마리서치,20210524,81400
59,A214450,파마리서치,20210521,79300
60,A214450,파마리서치,20210520,80100
61,A214450,파마리서치,20210518,79400
62,A214450,파마리서치,20210517,76500
63,A214450,파마리서치,20210514,73000
64,A214450,파마리서치,20210513,69700
65,A214450,파마리서치,20210512,70400
66,A214450,파마리서치,20210511,71300
67,A214450,파마리서치,20210510,69500
68,A214450,파마리서치,20210507,69400
69,A214450,파마리서치,20210506,69100
70,A214450,파마리서치,20210504,69000
71,A214450,파마리서치,20210503,69100
72,A214450,파마리서치,20210430,70000
73,A214450,파마리서치,20210429,70900
74,A214450,파마리서치,20210428,73500
75,A214450,파마리서치,20210427,75000
76,A214450,파마리서치,20210426,75100
77,A214450,파마리서치,20210423,72100
78,A214450,파마리서치,20210422,72600
79,A214450,파마리서치,20210421,73200
80,A214450,파마리서치,20210420,73700
81,A214450,파마리서치,20210419,70900
82,A214450,파마리서치,20210416,72100
83,A214450,파마리서치,20210415,73400
84,A214450,파마리서치,20210414,73600
85,A214450,파마리서치,20210413,73600
86,A214450,파마리서치,20210412,70200
87,A214450,파마리서치,20210409,69600
