,종목코드,종목명,날짜,종가
0,A177830,파버나인,20210812,6090
1,A177830,파버나인,20210811,6020
2,A177830,파버나인,20210810,6090
3,A177830,파버나인,20210809,6290
4,A177830,파버나인,20210806,6450
5,A177830,파버나인,20210805,6430
6,A177830,파버나인,20210804,6260
7,A177830,파버나인,20210803,6310
8,A177830,파버나인,20210802,6400
9,A177830,파버나인,20210730,6360
10,A177830,파버나인,20210729,6280
11,A177830,파버나인,20210728,6310
12,A177830,파버나인,20210727,6340
13,A177830,파버나인,20210726,6570
14,A177830,파버나인,20210723,6500
15,A177830,파버나인,20210722,6470
16,A177830,파버나인,20210721,6510
17,A177830,파버나인,20210720,6640
18,A177830,파버나인,20210719,6780
19,A177830,파버나인,20210716,6880
20,A177830,파버나인,20210715,6730
21,A177830,파버나인,20210714,6720
22,A177830,파버나인,20210713,6600
23,A177830,파버나인,20210712,6220
24,A177830,파버나인,20210709,6100
25,A177830,파버나인,20210708,6220
26,A177830,파버나인,20210707,6180
27,A177830,파버나인,20210706,6470
28,A177830,파버나인,20210705,6320
29,A177830,파버나인,20210702,6380
30,A177830,파버나인,20210701,6450
31,A177830,파버나인,20210630,6380
32,A177830,파버나인,20210629,6320
33,A177830,파버나인,20210628,6180
34,A177830,파버나인,20210625,6180
35,A177830,파버나인,20210624,6020
36,A177830,파버나인,20210623,6070
37,A177830,파버나인,20210622,6100
38,A177830,파버나인,20210621,6110
39,A177830,파버나인,20210618,6270
40,A177830,파버나인,20210617,6340
41,A177830,파버나인,20210616,6350
42,A177830,파버나인,20210615,6480
43,A177830,파버나인,20210614,6460
44,A177830,파버나인,20210611,6500
45,A177830,파버나인,20210610,6470
46,A177830,파버나인,20210609,6240
47,A177830,파버나인,20210608,6320
48,A177830,파버나인,20210607,6290
49,A177830,파버나인,20210604,6340
50,A177830,파버나인,20210603,6250
51,A177830,파버나인,20210602,6140
52,A177830,파버나인,20210601,6220
53,A177830,파버나인,20210531,6190
54,A177830,파버나인,20210528,6150
55,A177830,파버나인,20210527,5960
56,A177830,파버나인,20210526,5990
57,A177830,파버나인,20210525,6150
58,A177830,파버나인,20210524,5990
59,A177830,파버나인,20210521,5930
60,A177830,파버나인,20210520,5870
61,A177830,파버나인,20210518,5770
62,A177830,파버나인,20210517,5760
63,A177830,파버나인,20210514,5920
64,A177830,파버나인,20210513,6030
65,A177830,파버나인,20210512,5900
66,A177830,파버나인,20210511,5800
67,A177830,파버나인,20210510,5640
68,A177830,파버나인,20210507,5550
69,A177830,파버나인,20210506,5600
70,A177830,파버나인,20210504,5740
71,A177830,파버나인,20210503,5780
72,A177830,파버나인,20210430,5760
73,A177830,파버나인,20210429,5830
74,A177830,파버나인,20210428,5830
75,A177830,파버나인,20210427,5820
76,A177830,파버나인,20210426,5830
77,A177830,파버나인,20210423,5640
78,A177830,파버나인,20210422,5640
79,A177830,파버나인,20210421,5720
80,A177830,파버나인,20210420,5810
81,A177830,파버나인,20210419,5840
82,A177830,파버나인,20210416,5790
83,A177830,파버나인,20210415,5920
84,A177830,파버나인,20210414,5900
85,A177830,파버나인,20210413,5970
86,A177830,파버나인,20210412,5950
87,A177830,파버나인,20210409,6050
88,A177830,파버나인,20210408,5980
89,A177830,파버나인,20210407,5940
90,A177830,파버나인,20210406,5840
91,A177830,파버나인,20210405,5790
92,A177830,파버나인,20210402,5750
93,A177830,파버나인,20210401,5820
94,A177830,파버나인,20210331,5740
95,A177830,파버나인,20210330,5790
96,A177830,파버나인,20210329,5670
97,A177830,파버나인,20210326,5780
98,A177830,파버나인,20210325,5780
99,A177830,파버나인,20210324,5590
100,A177830,파버나인,20210323,5340
101,A177830,파버나인,20210322,5410
102,A177830,파버나인,20210319,5380
103,A177830,파버나인,20210318,5420
104,A177830,파버나인,20210317,5400
105,A177830,파버나인,20210316,5420
106,A177830,파버나인,20210315,5490
107,A177830,파버나인,20210312,5390
108,A177830,파버나인,20210311,5240
109,A177830,파버나인,20210310,5160
110,A177830,파버나인,20210309,5190
111,A177830,파버나인,20210308,5340
112,A177830,파버나인,20210305,5420
113,A177830,파버나인,20210304,5420
114,A177830,파버나인,20210303,5530
115,A177830,파버나인,20210302,5360
116,A177830,파버나인,20210226,5430
117,A177830,파버나인,20210225,5590
118,A177830,파버나인,20210224,5590
119,A177830,파버나인,20210223,6040
120,A177830,파버나인,20210222,6060
121,A177830,파버나인,20210219,6050
122,A177830,파버나인,20210218,6220
123,A177830,파버나인,20210217,6430
124,A177830,파버나인,20210216,5800
125,A177830,파버나인,20210215,5780
126,A177830,파버나인,20210210,5780
127,A177830,파버나인,20210209,5620
128,A177830,파버나인,20210208,5720
129,A177830,파버나인,20210205,6010
130,A177830,파버나인,20210204,5750
131,A177830,파버나인,20210203,5850
132,A177830,파버나인,20210202,5840
133,A177830,파버나인,20210201,5510
134,A177830,파버나인,20210129,5520
135,A177830,파버나인,20210128,5950
136,A177830,파버나인,20210127,5780
137,A177830,파버나인,20210126,5890
138,A177830,파버나인,20210125,5900
139,A177830,파버나인,20210122,5870
140,A177830,파버나인,20210121,5700
141,A177830,파버나인,20210120,5550
142,A177830,파버나인,20210119,5400
143,A177830,파버나인,20210118,5280
144,A177830,파버나인,20210115,5540
145,A177830,파버나인,20210114,5650
146,A177830,파버나인,20210113,5640
147,A177830,파버나인,20210112,5580
148,A177830,파버나인,20210111,5460
149,A177830,파버나인,20210108,5400
150,A177830,파버나인,20210107,5300
151,A177830,파버나인,20210106,5170
152,A177830,파버나인,20210105,5280
153,A177830,파버나인,20210104,5350
154,A177830,파버나인,20201230,5370
155,A177830,파버나인,20201229,5280
156,A177830,파버나인,20201228,5200
157,A177830,파버나인,20201224,5210
158,A177830,파버나인,20201223,5220
159,A177830,파버나인,20201222,5320
160,A177830,파버나인,20201221,5500
161,A177830,파버나인,20201218,5640
162,A177830,파버나인,20201217,5620
163,A177830,파버나인,20201216,5580
164,A177830,파버나인,20201215,5520
165,A177830,파버나인,20201214,5590
166,A177830,파버나인,20201211,5600
167,A177830,파버나인,20201210,5590
168,A177830,파버나인,20201209,5520
169,A177830,파버나인,20201208,5640
170,A177830,파버나인,20201207,5770
171,A177830,파버나인,20201204,5930
172,A177830,파버나인,20201203,5680
173,A177830,파버나인,20201202,5710
174,A177830,파버나인,20201201,5900
175,A177830,파버나인,20201130,5930
176,A177830,파버나인,20201127,6050
177,A177830,파버나인,20201126,6020
178,A177830,파버나인,20201125,5870
179,A177830,파버나인,20201124,5910
180,A177830,파버나인,20201123,5910
181,A177830,파버나인,20201120,5930
182,A177830,파버나인,20201119,5610
183,A177830,파버나인,20201118,5600
184,A177830,파버나인,20201117,5380
185,A177830,파버나인,20201116,5340
186,A177830,파버나인,20201113,5510
187,A177830,파버나인,20201112,5530
188,A177830,파버나인,20201111,5820
189,A177830,파버나인,20201110,5700
190,A177830,파버나인,20201109,6060
191,A177830,파버나인,20201106,5710
192,A177830,파버나인,20201105,5870
193,A177830,파버나인,20201104,5800
194,A177830,파버나인,20201103,5700
195,A177830,파버나인,20201102,5660
196,A177830,파버나인,20201030,5730
197,A177830,파버나인,20201029,6000
198,A177830,파버나인,20201028,5880
199,A177830,파버나인,20201027,5630
200,A177830,파버나인,20201026,5520
201,A177830,파버나인,20201023,5490
202,A177830,파버나인,20201022,5490
203,A177830,파버나인,20201021,5700
204,A177830,파버나인,20201020,5510
205,A177830,파버나인,20201019,5410
206,A177830,파버나인,20201016,5400
207,A177830,파버나인,20201015,5480
208,A177830,파버나인,20201014,5640
209,A177830,파버나인,20201013,5820
210,A177830,파버나인,20201012,5900
211,A177830,파버나인,20201008,5700
212,A177830,파버나인,20201007,5730
213,A177830,파버나인,20201006,5690
214,A177830,파버나인,20201005,5440
215,A177830,파버나인,20200929,5380
216,A177830,파버나인,20200928,5430
217,A177830,파버나인,20200925,5180
218,A177830,파버나인,20200924,5150
219,A177830,파버나인,20200923,5390
220,A177830,파버나인,20200922,5370
221,A177830,파버나인,20200921,5690
222,A177830,파버나인,20200918,6080
223,A177830,파버나인,20200917,6120
224,A177830,파버나인,20200916,6150
225,A177830,파버나인,20200915,6210
226,A177830,파버나인,20200914,6270
227,A177830,파버나인,20200911,6280
228,A177830,파버나인,20200910,6150
229,A177830,파버나인,20200909,6100
230,A177830,파버나인,20200908,6090
231,A177830,파버나인,20200907,6100
232,A177830,파버나인,20200904,6230
233,A177830,파버나인,20200903,6560
234,A177830,파버나인,20200902,6390
235,A177830,파버나인,20200901,6620
236,A177830,파버나인,20200831,6560
237,A177830,파버나인,20200828,6850
238,A177830,파버나인,20200827,6330
239,A177830,파버나인,20200826,6150
240,A177830,파버나인,20200825,5600
241,A177830,파버나인,20200824,5710
242,A177830,파버나인,20200821,5200
243,A177830,파버나인,20200820,4840
244,A177830,파버나인,20200819,5030
245,A177830,파버나인,20200818,4915
246,A177830,파버나인,20200814,5150
247,A177830,파버나인,20200813,5650
248,A177830,파버나인,20200812,5650
249,A177830,파버나인,20200811,5900
250,A177830,파버나인,20200810,5680
251,A177830,파버나인,20200807,5840
252,A177830,파버나인,20200806,5840
253,A177830,파버나인,20200805,5630
