,종목코드,종목명,날짜,종가
0,A150900,파수,20210812,7140
1,A150900,파수,20210811,7140
2,A150900,파수,20210810,7170
3,A150900,파수,20210809,7270
4,A150900,파수,20210806,7310
5,A150900,파수,20210805,7350
6,A150900,파수,20210804,7300
7,A150900,파수,20210803,7230
8,A150900,파수,20210802,7290
9,A150900,파수,20210730,7570
10,A150900,파수,20210729,7670
11,A150900,파수,20210728,7740
12,A150900,파수,20210727,7700
13,A150900,파수,20210726,7730
14,A150900,파수,20210723,7800
15,A150900,파수,20210722,7690
16,A150900,파수,20210721,7660
17,A150900,파수,20210720,7670
18,A150900,파수,20210719,7810
19,A150900,파수,20210716,7780
20,A150900,파수,20210715,7920
21,A150900,파수,20210714,8030
22,A150900,파수,20210713,8040
23,A150900,파수,20210712,8140
24,A150900,파수,20210709,7920
25,A150900,파수,20210708,7840
26,A150900,파수,20210707,8100
27,A150900,파수,20210706,7680
28,A150900,파수,20210705,7880
29,A150900,파수,20210702,8090
30,A150900,파수,20210701,7940
31,A150900,파수,20210630,7610
32,A150900,파수,20210629,7370
33,A150900,파수,20210628,7260
34,A150900,파수,20210625,7250
35,A150900,파수,20210624,7120
36,A150900,파수,20210623,7390
37,A150900,파수,20210622,7240
38,A150900,파수,20210621,7540
39,A150900,파수,20210618,7680
40,A150900,파수,20210617,7550
41,A150900,파수,20210616,7570
42,A150900,파수,20210615,7610
43,A150900,파수,20210614,7790
44,A150900,파수,20210611,7690
45,A150900,파수,20210610,7690
46,A150900,파수,20210609,7660
47,A150900,파수,20210608,7880
48,A150900,파수,20210607,7790
49,A150900,파수,20210604,7940
50,A150900,파수,20210603,7710
51,A150900,파수,20210602,7640
52,A150900,파수,20210601,7670
53,A150900,파수,20210531,7720
54,A150900,파수,20210528,7620
55,A150900,파수,20210527,7680
56,A150900,파수,20210526,7720
57,A150900,파수,20210525,7790
58,A150900,파수,20210524,7590
59,A150900,파수,20210521,7680
60,A150900,파수,20210520,7850
61,A150900,파수,20210518,8100
62,A150900,파수,20210517,8160
63,A150900,파수,20210514,8340
64,A150900,파수,20210513,8170
65,A150900,파수,20210512,8160
66,A150900,파수,20210511,8180
67,A150900,파수,20210510,8300
68,A150900,파수,20210507,8160
69,A150900,파수,20210506,8150
70,A150900,파수,20210504,8310
71,A150900,파수,20210503,8290
72,A150900,파수,20210430,8270
73,A150900,파수,20210429,8230
74,A150900,파수,20210428,8290
75,A150900,파수,20210427,8600
76,A150900,파수,20210426,9000
77,A150900,파수,20210423,9000
78,A150900,파수,20210422,8780
79,A150900,파수,20210421,8410
80,A150900,파수,20210420,8560
81,A150900,파수,20210419,8750
82,A150900,파수,20210416,8660
