,종목코드,종목명,날짜,종가
0,A037030,파워넷,20210812,5240
1,A037030,파워넷,20210811,5250
2,A037030,파워넷,20210810,5430
3,A037030,파워넷,20210809,5510
4,A037030,파워넷,20210806,5630
5,A037030,파워넷,20210805,5630
6,A037030,파워넷,20210804,5570
7,A037030,파워넷,20210803,5430
8,A037030,파워넷,20210802,5550
9,A037030,파워넷,20210730,5680
10,A037030,파워넷,20210729,5710
11,A037030,파워넷,20210728,5730
12,A037030,파워넷,20210727,5860
13,A037030,파워넷,20210726,5880
14,A037030,파워넷,20210723,5980
15,A037030,파워넷,20210722,6000
16,A037030,파워넷,20210721,5860
17,A037030,파워넷,20210720,5810
18,A037030,파워넷,20210719,5890
19,A037030,파워넷,20210716,5980
20,A037030,파워넷,20210715,6080
21,A037030,파워넷,20210714,5970
22,A037030,파워넷,20210713,5990
23,A037030,파워넷,20210712,5970
24,A037030,파워넷,20210709,5870
25,A037030,파워넷,20210708,5910
26,A037030,파워넷,20210707,6000
27,A037030,파워넷,20210706,5990
28,A037030,파워넷,20210705,5980
29,A037030,파워넷,20210702,5970
30,A037030,파워넷,20210701,5980
31,A037030,파워넷,20210630,5720
32,A037030,파워넷,20210629,5680
33,A037030,파워넷,20210628,5670
34,A037030,파워넷,20210625,5520
35,A037030,파워넷,20210624,5530
36,A037030,파워넷,20210623,5600
37,A037030,파워넷,20210622,5680
38,A037030,파워넷,20210621,5640
39,A037030,파워넷,20210618,5710
40,A037030,파워넷,20210617,5640
41,A037030,파워넷,20210616,5690
42,A037030,파워넷,20210615,5630
43,A037030,파워넷,20210614,5550
44,A037030,파워넷,20210611,5550
45,A037030,파워넷,20210610,5640
46,A037030,파워넷,20210609,5620
47,A037030,파워넷,20210608,5590
48,A037030,파워넷,20210607,5590
49,A037030,파워넷,20210604,5650
50,A037030,파워넷,20210603,5600
51,A037030,파워넷,20210602,5430
52,A037030,파워넷,20210601,5440
53,A037030,파워넷,20210531,5440
54,A037030,파워넷,20210528,5400
55,A037030,파워넷,20210527,5400
56,A037030,파워넷,20210526,5360
57,A037030,파워넷,20210525,5310
58,A037030,파워넷,20210524,5200
59,A037030,파워넷,20210521,5530
60,A037030,파워넷,20210520,5550
61,A037030,파워넷,20210518,5500
62,A037030,파워넷,20210517,5430
63,A037030,파워넷,20210514,5410
64,A037030,파워넷,20210513,5360
65,A037030,파워넷,20210512,5490
66,A037030,파워넷,20210511,5670
67,A037030,파워넷,20210510,5720
68,A037030,파워넷,20210507,5750
69,A037030,파워넷,20210506,5770
70,A037030,파워넷,20210504,5650
71,A037030,파워넷,20210503,5710
72,A037030,파워넷,20210430,5800
73,A037030,파워넷,20210429,5910
74,A037030,파워넷,20210428,5850
75,A037030,파워넷,20210427,5970
76,A037030,파워넷,20210426,6060
77,A037030,파워넷,20210423,6190
78,A037030,파워넷,20210422,6210
79,A037030,파워넷,20210421,6000
80,A037030,파워넷,20210420,6000
81,A037030,파워넷,20210419,6040
82,A037030,파워넷,20210416,6070
83,A037030,파워넷,20210415,6170
84,A037030,파워넷,20210414,6100
85,A037030,파워넷,20210413,6090
86,A037030,파워넷,20210412,6100
87,A037030,파워넷,20210409,6080
88,A037030,파워넷,20210408,6150
89,A037030,파워넷,20210407,6200
90,A037030,파워넷,20210406,6240
91,A037030,파워넷,20210405,6300
92,A037030,파워넷,20210402,6320
93,A037030,파워넷,20210401,6260
94,A037030,파워넷,20210331,6180
95,A037030,파워넷,20210330,6250
96,A037030,파워넷,20210329,6280
97,A037030,파워넷,20210326,6400
98,A037030,파워넷,20210325,6280
99,A037030,파워넷,20210324,6150
100,A037030,파워넷,20210323,6140
101,A037030,파워넷,20210322,6290
102,A037030,파워넷,20210319,6090
103,A037030,파워넷,20210318,6080
104,A037030,파워넷,20210317,5970
105,A037030,파워넷,20210316,5900
106,A037030,파워넷,20210315,5910
107,A037030,파워넷,20210312,5890
108,A037030,파워넷,20210311,5790
109,A037030,파워넷,20210310,5840
110,A037030,파워넷,20210309,5860
111,A037030,파워넷,20210308,6010
112,A037030,파워넷,20210305,6130
113,A037030,파워넷,20210304,6040
114,A037030,파워넷,20210303,6010
115,A037030,파워넷,20210302,5960
116,A037030,파워넷,20210226,5910
117,A037030,파워넷,20210225,6030
118,A037030,파워넷,20210224,5820
119,A037030,파워넷,20210223,6060
120,A037030,파워넷,20210222,6070
121,A037030,파워넷,20210219,6100
122,A037030,파워넷,20210218,6190
123,A037030,파워넷,20210217,6350
124,A037030,파워넷,20210216,6340
125,A037030,파워넷,20210215,6060
126,A037030,파워넷,20210210,6050
127,A037030,파워넷,20210209,6010
128,A037030,파워넷,20210208,5700
129,A037030,파워넷,20210205,5850
130,A037030,파워넷,20210204,6010
131,A037030,파워넷,20210203,5970
132,A037030,파워넷,20210202,5980
133,A037030,파워넷,20210201,5750
134,A037030,파워넷,20210129,5720
135,A037030,파워넷,20210128,6030
136,A037030,파워넷,20210127,6400
137,A037030,파워넷,20210126,6500
138,A037030,파워넷,20210125,6780
139,A037030,파워넷,20210122,6690
140,A037030,파워넷,20210121,6630
141,A037030,파워넷,20210120,6430
142,A037030,파워넷,20210119,6160
143,A037030,파워넷,20210118,6130
144,A037030,파워넷,20210115,6600
145,A037030,파워넷,20210114,6910
146,A037030,파워넷,20210113,6470
147,A037030,파워넷,20210112,6310
148,A037030,파워넷,20210111,5990
149,A037030,파워넷,20210108,6290
150,A037030,파워넷,20210107,5790
151,A037030,파워넷,20210106,5830
152,A037030,파워넷,20210105,6020
153,A037030,파워넷,20210104,5990
154,A037030,파워넷,20201230,5890
155,A037030,파워넷,20201229,5780
156,A037030,파워넷,20201228,5710
157,A037030,파워넷,20201224,5540
158,A037030,파워넷,20201223,5700
159,A037030,파워넷,20201222,5670
160,A037030,파워넷,20201221,5430
161,A037030,파워넷,20201218,5550
162,A037030,파워넷,20201217,5410
163,A037030,파워넷,20201216,5400
164,A037030,파워넷,20201215,5380
165,A037030,파워넷,20201214,5410
166,A037030,파워넷,20201211,5490
167,A037030,파워넷,20201210,5210
168,A037030,파워넷,20201209,5280
169,A037030,파워넷,20201208,5290
170,A037030,파워넷,20201207,5460
171,A037030,파워넷,20201204,5500
172,A037030,파워넷,20201203,5250
173,A037030,파워넷,20201202,5290
174,A037030,파워넷,20201201,5160
175,A037030,파워넷,20201130,5170
176,A037030,파워넷,20201127,5160
177,A037030,파워넷,20201126,5150
178,A037030,파워넷,20201125,5290
179,A037030,파워넷,20201124,5180
180,A037030,파워넷,20201123,5120
181,A037030,파워넷,20201120,5180
182,A037030,파워넷,20201119,5090
183,A037030,파워넷,20201118,5140
184,A037030,파워넷,20201117,5040
185,A037030,파워넷,20201116,5050
186,A037030,파워넷,20201113,4955
187,A037030,파워넷,20201112,5050
188,A037030,파워넷,20201111,5000
189,A037030,파워넷,20201110,5100
190,A037030,파워넷,20201109,5250
191,A037030,파워넷,20201106,5110
192,A037030,파워넷,20201105,5180
193,A037030,파워넷,20201104,5180
194,A037030,파워넷,20201103,5030
195,A037030,파워넷,20201102,5050
196,A037030,파워넷,20201030,4985
197,A037030,파워넷,20201029,4985
198,A037030,파워넷,20201028,4970
199,A037030,파워넷,20201027,4660
200,A037030,파워넷,20201026,4640
201,A037030,파워넷,20201023,4900
202,A037030,파워넷,20201022,4980
203,A037030,파워넷,20201021,5120
204,A037030,파워넷,20201020,5140
205,A037030,파워넷,20201019,5550
206,A037030,파워넷,20201016,5950
207,A037030,파워넷,20201015,5640
208,A037030,파워넷,20201014,5930
209,A037030,파워넷,20201013,6390
210,A037030,파워넷,20201012,6280
211,A037030,파워넷,20201008,5610
212,A037030,파워넷,20201007,5720
213,A037030,파워넷,20201006,5650
214,A037030,파워넷,20201005,5850
215,A037030,파워넷,20200929,5700
216,A037030,파워넷,20200928,6180
217,A037030,파워넷,20200925,4935
218,A037030,파워넷,20200924,5520
219,A037030,파워넷,20200923,5420
220,A037030,파워넷,20200922,5190
221,A037030,파워넷,20200921,4600
222,A037030,파워넷,20200918,4565
223,A037030,파워넷,20200917,4565
224,A037030,파워넷,20200916,4675
225,A037030,파워넷,20200915,4720
226,A037030,파워넷,20200914,4625
227,A037030,파워넷,20200911,4630
228,A037030,파워넷,20200910,4615
229,A037030,파워넷,20200909,4610
230,A037030,파워넷,20200908,4400
231,A037030,파워넷,20200907,4375
232,A037030,파워넷,20200904,4265
233,A037030,파워넷,20200903,4255
