,종목코드,종목명,날짜,종가
0,A266870,파워풀엑스,20210812,1435
1,A266870,파워풀엑스,20210811,1450
2,A266870,파워풀엑스,20210810,1485
3,A266870,파워풀엑스,20210809,1460
4,A266870,파워풀엑스,20210806,1460
5,A266870,파워풀엑스,20210805,1455
6,A266870,파워풀엑스,20210804,1450
7,A266870,파워풀엑스,20210803,1400
8,A266870,파워풀엑스,20210802,1400
9,A266870,파워풀엑스,20210730,1420
10,A266870,파워풀엑스,20210729,1430
11,A266870,파워풀엑스,20210728,1430
12,A266870,파워풀엑스,20210727,1460
13,A266870,파워풀엑스,20210726,1350
14,A266870,파워풀엑스,20210723,1345
15,A266870,파워풀엑스,20210722,1365
16,A266870,파워풀엑스,20210721,1330
17,A266870,파워풀엑스,20210720,1315
18,A266870,파워풀엑스,20210719,1325
19,A266870,파워풀엑스,20210716,1295
20,A266870,파워풀엑스,20210715,1250
21,A266870,파워풀엑스,20210714,1345
22,A266870,파워풀엑스,20210713,1370
23,A266870,파워풀엑스,20210712,1290
24,A266870,파워풀엑스,20210709,1355
25,A266870,파워풀엑스,20210708,1340
26,A266870,파워풀엑스,20210707,1330
27,A266870,파워풀엑스,20210706,1385
28,A266870,파워풀엑스,20210705,1340
29,A266870,파워풀엑스,20210702,1395
30,A266870,파워풀엑스,20210701,1355
31,A266870,파워풀엑스,20210630,1360
32,A266870,파워풀엑스,20210629,1380
33,A266870,파워풀엑스,20210628,1425
34,A266870,파워풀엑스,20210625,1500
35,A266870,파워풀엑스,20210624,1420
36,A266870,파워풀엑스,20210623,1435
37,A266870,파워풀엑스,20210622,1465
38,A266870,파워풀엑스,20210621,1465
39,A266870,파워풀엑스,20210618,1445
40,A266870,파워풀엑스,20210617,1545
41,A266870,파워풀엑스,20210616,1495
42,A266870,파워풀엑스,20210615,1440
43,A266870,파워풀엑스,20210614,1430
44,A266870,파워풀엑스,20210611,1465
45,A266870,파워풀엑스,20210610,1490
46,A266870,파워풀엑스,20210609,1470
47,A266870,파워풀엑스,20210608,1460
48,A266870,파워풀엑스,20210607,1655
49,A266870,파워풀엑스,20210604,1780
50,A266870,파워풀엑스,20210603,1560
51,A266870,파워풀엑스,20210602,1440
52,A266870,파워풀엑스,20210601,1575
53,A266870,파워풀엑스,20210531,1595
54,A266870,파워풀엑스,20210528,1390
55,A266870,파워풀엑스,20210527,1210
56,A266870,파워풀엑스,20210526,1055
57,A266870,파워풀엑스,20210525,1085
58,A266870,파워풀엑스,20210524,1035
59,A266870,파워풀엑스,20210521,1030
60,A266870,파워풀엑스,20210520,1040
61,A266870,파워풀엑스,20210518,1065
62,A266870,파워풀엑스,20210517,1055
63,A266870,파워풀엑스,20210514,1045
64,A266870,파워풀엑스,20210513,965
65,A266870,파워풀엑스,20210512,999
66,A266870,파워풀엑스,20210511,1010
67,A266870,파워풀엑스,20210510,1015
68,A266870,파워풀엑스,20210507,1020
69,A266870,파워풀엑스,20210506,1030
70,A266870,파워풀엑스,20210504,1060
71,A266870,파워풀엑스,20210503,1025
72,A266870,파워풀엑스,20210430,1040
73,A266870,파워풀엑스,20210429,1050
74,A266870,파워풀엑스,20210428,1040
75,A266870,파워풀엑스,20210427,1000
76,A266870,파워풀엑스,20210426,1045
77,A266870,파워풀엑스,20210423,1060
78,A266870,파워풀엑스,20210422,1065
79,A266870,파워풀엑스,20210421,1080
80,A266870,파워풀엑스,20210420,1095
81,A266870,파워풀엑스,20210419,1050
82,A266870,파워풀엑스,20210416,1075
83,A266870,파워풀엑스,20210415,1085
84,A266870,파워풀엑스,20210414,1080
85,A266870,파워풀엑스,20210413,1030
86,A266870,파워풀엑스,20210412,990
87,A266870,파워풀엑스,20210409,969
88,A266870,파워풀엑스,20210408,968
89,A266870,파워풀엑스,20210407,1010
90,A266870,파워풀엑스,20210406,970
91,A266870,파워풀엑스,20210405,1030
92,A266870,파워풀엑스,20210402,1025
93,A266870,파워풀엑스,20210401,1000
94,A266870,파워풀엑스,20210331,991
95,A266870,파워풀엑스,20210330,990
96,A266870,파워풀엑스,20210329,1005
97,A266870,파워풀엑스,20210326,984
98,A266870,파워풀엑스,20210325,959
99,A266870,파워풀엑스,20210324,1000
100,A266870,파워풀엑스,20210323,1020
101,A266870,파워풀엑스,20210322,1010
102,A266870,파워풀엑스,20210319,1145
103,A266870,파워풀엑스,20210318,1185
104,A266870,파워풀엑스,20210317,1125
105,A266870,파워풀엑스,20210316,1120
106,A266870,파워풀엑스,20210315,1070
107,A266870,파워풀엑스,20210312,933
108,A266870,파워풀엑스,20210311,947
109,A266870,파워풀엑스,20210310,909
110,A266870,파워풀엑스,20210309,973
111,A266870,파워풀엑스,20210308,900
112,A266870,파워풀엑스,20210305,926
113,A266870,파워풀엑스,20210304,949
114,A266870,파워풀엑스,20210303,950
115,A266870,파워풀엑스,20210302,959
116,A266870,파워풀엑스,20210226,969
117,A266870,파워풀엑스,20210225,900
118,A266870,파워풀엑스,20210224,900
119,A266870,파워풀엑스,20210223,919
120,A266870,파워풀엑스,20210222,939
121,A266870,파워풀엑스,20210219,867
122,A266870,파워풀엑스,20210218,892
123,A266870,파워풀엑스,20210217,893
124,A266870,파워풀엑스,20210216,894
125,A266870,파워풀엑스,20210215,900
126,A266870,파워풀엑스,20210210,899
127,A266870,파워풀엑스,20210209,899
128,A266870,파워풀엑스,20210208,903
129,A266870,파워풀엑스,20210205,906
130,A266870,파워풀엑스,20210204,917
131,A266870,파워풀엑스,20210203,925
132,A266870,파워풀엑스,20210202,929
133,A266870,파워풀엑스,20210201,929
134,A266870,파워풀엑스,20210129,908
135,A266870,파워풀엑스,20210128,900
136,A266870,파워풀엑스,20210127,867
137,A266870,파워풀엑스,20210126,828
138,A266870,파워풀엑스,20210125,880
139,A266870,파워풀엑스,20210122,880
140,A266870,파워풀엑스,20210121,890
141,A266870,파워풀엑스,20210120,878
142,A266870,파워풀엑스,20210119,850
143,A266870,파워풀엑스,20210118,830
144,A266870,파워풀엑스,20210115,845
145,A266870,파워풀엑스,20210114,887
146,A266870,파워풀엑스,20210113,850
147,A266870,파워풀엑스,20210112,868
148,A266870,파워풀엑스,20210111,900
149,A266870,파워풀엑스,20210108,879
150,A266870,파워풀엑스,20210107,1000
151,A266870,파워풀엑스,20210106,939
152,A266870,파워풀엑스,20210105,947
153,A266870,파워풀엑스,20210104,934
154,A266870,파워풀엑스,20201230,929
155,A266870,파워풀엑스,20201229,928
156,A266870,파워풀엑스,20201228,879
157,A266870,파워풀엑스,20201224,900
158,A266870,파워풀엑스,20201223,840
159,A266870,파워풀엑스,20201222,824
160,A266870,파워풀엑스,20201221,900
161,A266870,파워풀엑스,20201218,900
162,A266870,파워풀엑스,20201217,900
163,A266870,파워풀엑스,20201216,928
164,A266870,파워풀엑스,20201215,999
165,A266870,파워풀엑스,20201214,1000
166,A266870,파워풀엑스,20201211,1000
167,A266870,파워풀엑스,20201210,1030
168,A266870,파워풀엑스,20201209,1070
169,A266870,파워풀엑스,20201208,960
170,A266870,파워풀엑스,20201207,957
171,A266870,파워풀엑스,20201204,1045
172,A266870,파워풀엑스,20201203,1045
173,A266870,파워풀엑스,20201202,1100
174,A266870,파워풀엑스,20201201,1040
175,A266870,파워풀엑스,20201130,1005
176,A266870,파워풀엑스,20201127,1100
177,A266870,파워풀엑스,20201126,1140
178,A266870,파워풀엑스,20201125,1145
179,A266870,파워풀엑스,20201124,1090
180,A266870,파워풀엑스,20201123,1050
181,A266870,파워풀엑스,20201120,1115
182,A266870,파워풀엑스,20201119,1120
183,A266870,파워풀엑스,20201118,1115
184,A266870,파워풀엑스,20201117,1090
185,A266870,파워풀엑스,20201116,1095
186,A266870,파워풀엑스,20201113,1150
187,A266870,파워풀엑스,20201112,1180
188,A266870,파워풀엑스,20201111,1050
189,A266870,파워풀엑스,20201110,1140
190,A266870,파워풀엑스,20201109,1150
191,A266870,파워풀엑스,20201106,1180
192,A266870,파워풀엑스,20201105,1165
193,A266870,파워풀엑스,20201104,1100
194,A266870,파워풀엑스,20201103,1090
195,A266870,파워풀엑스,20201102,1280
196,A266870,파워풀엑스,20201030,1235
197,A266870,파워풀엑스,20201029,1275
198,A266870,파워풀엑스,20201028,1300
199,A266870,파워풀엑스,20201027,1200
200,A266870,파워풀엑스,20201026,1280
201,A266870,파워풀엑스,20201023,1270
202,A266870,파워풀엑스,20201022,1270
203,A266870,파워풀엑스,20201021,1275
204,A266870,파워풀엑스,20201020,1200
205,A266870,파워풀엑스,20201019,1245
206,A266870,파워풀엑스,20201016,1225
207,A266870,파워풀엑스,20201015,1225
208,A266870,파워풀엑스,20201014,1245
209,A266870,파워풀엑스,20201013,1175
210,A266870,파워풀엑스,20201012,1150
211,A266870,파워풀엑스,20201008,1080
212,A266870,파워풀엑스,20201007,1100
213,A266870,파워풀엑스,20201006,1290
214,A266870,파워풀엑스,20201005,1285
215,A266870,파워풀엑스,20200929,1290
216,A266870,파워풀엑스,20200928,1295
217,A266870,파워풀엑스,20200925,1265
218,A266870,파워풀엑스,20200924,1245
219,A266870,파워풀엑스,20200923,1280
220,A266870,파워풀엑스,20200922,1225
221,A266870,파워풀엑스,20200921,1275
222,A266870,파워풀엑스,20200918,1325
223,A266870,파워풀엑스,20200917,1390
224,A266870,파워풀엑스,20200916,1275
225,A266870,파워풀엑스,20200915,1335
226,A266870,파워풀엑스,20200914,1565
227,A266870,파워풀엑스,20200911,1840
228,A266870,파워풀엑스,20200910,2160
229,A266870,파워풀엑스,20200909,1880
230,A266870,파워풀엑스,20200908,1635
231,A266870,파워풀엑스,20200907,1425
232,A266870,파워풀엑스,20200904,1240
233,A266870,파워풀엑스,20200903,1300
234,A266870,파워풀엑스,20200902,1190
235,A266870,파워풀엑스,20200901,1300
236,A266870,파워풀엑스,20200831,1175
237,A266870,파워풀엑스,20200828,1180
238,A266870,파워풀엑스,20200827,1150
239,A266870,파워풀엑스,20200826,1150
240,A266870,파워풀엑스,20200825,1150
241,A266870,파워풀엑스,20200824,1000
242,A266870,파워풀엑스,20200821,1030
243,A266870,파워풀엑스,20200820,1030
244,A266870,파워풀엑스,20200819,999
245,A266870,파워풀엑스,20200818,962
246,A266870,파워풀엑스,20200814,1060
247,A266870,파워풀엑스,20200813,925
248,A266870,파워풀엑스,20200812,955
249,A266870,파워풀엑스,20200811,1000
250,A266870,파워풀엑스,20200810,1000
251,A266870,파워풀엑스,20200807,1025
252,A266870,파워풀엑스,20200806,1045
253,A266870,파워풀엑스,20200805,1010
254,A266870,파워풀엑스,20200804,1090
255,A266870,파워풀엑스,20200803,1090
256,A266870,파워풀엑스,20200731,1010
257,A266870,파워풀엑스,20200730,1010
258,A266870,파워풀엑스,20200729,1110
259,A266870,파워풀엑스,20200728,1020
260,A266870,파워풀엑스,20200727,927
261,A266870,파워풀엑스,20200724,1000
262,A266870,파워풀엑스,20200723,1035
263,A266870,파워풀엑스,20200722,916
264,A266870,파워풀엑스,20200721,950
265,A266870,파워풀엑스,20200720,1040
266,A266870,파워풀엑스,20200717,905
267,A266870,파워풀엑스,20200716,903
268,A266870,파워풀엑스,20200715,1050
269,A266870,파워풀엑스,20200714,1045
270,A266870,파워풀엑스,20200713,1000
271,A266870,파워풀엑스,20200710,900
272,A266870,파워풀엑스,20200709,925
273,A266870,파워풀엑스,20200708,950
274,A266870,파워풀엑스,20200707,1000
275,A266870,파워풀엑스,20200706,1000
276,A266870,파워풀엑스,20200703,1000
277,A266870,파워풀엑스,20200702,1000
278,A266870,파워풀엑스,20200701,1070
279,A266870,파워풀엑스,20200630,950
280,A266870,파워풀엑스,20200629,979
281,A266870,파워풀엑스,20200626,900
282,A266870,파워풀엑스,20200625,1000
283,A266870,파워풀엑스,20200624,1000
284,A266870,파워풀엑스,20200623,949
285,A266870,파워풀엑스,20200622,999
286,A266870,파워풀엑스,20200619,999
287,A266870,파워풀엑스,20200618,950
288,A266870,파워풀엑스,20200617,850
289,A266870,파워풀엑스,20200616,943
290,A266870,파워풀엑스,20200615,950
291,A266870,파워풀엑스,20200612,861
292,A266870,파워풀엑스,20200611,995
293,A266870,파워풀엑스,20200610,997
294,A266870,파워풀엑스,20200609,1000
295,A266870,파워풀엑스,20200608,997
296,A266870,파워풀엑스,20200605,900
297,A266870,파워풀엑스,20200604,935
298,A266870,파워풀엑스,20200603,1100
299,A266870,파워풀엑스,20200602,1000
300,A266870,파워풀엑스,20200601,1000
301,A266870,파워풀엑스,20200529,935
302,A266870,파워풀엑스,20200528,1100
303,A266870,파워풀엑스,20200527,960
304,A266870,파워풀엑스,20200526,1125
305,A266870,파워풀엑스,20200525,1100
306,A266870,파워풀엑스,20200522,979
307,A266870,파워풀엑스,20200521,980
308,A266870,파워풀엑스,20200520,900
309,A266870,파워풀엑스,20200519,850
310,A266870,파워풀엑스,20200518,970
311,A266870,파워풀엑스,20200515,970
312,A266870,파워풀엑스,20200514,970
313,A266870,파워풀엑스,20200513,970
314,A266870,파워풀엑스,20200512,1000
315,A266870,파워풀엑스,20200511,970
316,A266870,파워풀엑스,20200508,1000
317,A266870,파워풀엑스,20200507,997
318,A266870,파워풀엑스,20200506,900
319,A266870,파워풀엑스,20200504,1000
320,A266870,파워풀엑스,20200429,900
321,A266870,파워풀엑스,20200428,930
322,A266870,파워풀엑스,20200427,950
323,A266870,파워풀엑스,20200424,950
324,A266870,파워풀엑스,20200423,935
325,A266870,파워풀엑스,20200422,1100
326,A266870,파워풀엑스,20200421,1000
327,A266870,파워풀엑스,20200420,1000
328,A266870,파워풀엑스,20200417,950
329,A266870,파워풀엑스,20200416,980
330,A266870,파워풀엑스,20200414,860
331,A266870,파워풀엑스,20200413,850
332,A266870,파워풀엑스,20200410,1000
