,종목코드,종목명,날짜,종가
0,A022100,포스코 ICT,20210812,7700
1,A022100,포스코 ICT,20210811,7730
2,A022100,포스코 ICT,20210810,7900
3,A022100,포스코 ICT,20210809,8050
4,A022100,포스코 ICT,20210806,8150
5,A022100,포스코 ICT,20210805,8130
6,A022100,포스코 ICT,20210804,8080
7,A022100,포스코 ICT,20210803,7940
8,A022100,포스코 ICT,20210802,7970
9,A022100,포스코 ICT,20210730,7930
10,A022100,포스코 ICT,20210729,8000
11,A022100,포스코 ICT,20210728,7920
12,A022100,포스코 ICT,20210727,7990
13,A022100,포스코 ICT,20210726,7920
14,A022100,포스코 ICT,20210723,8050
15,A022100,포스코 ICT,20210722,8010
16,A022100,포스코 ICT,20210721,8010
17,A022100,포스코 ICT,20210720,8070
18,A022100,포스코 ICT,20210719,8040
19,A022100,포스코 ICT,20210716,7960
20,A022100,포스코 ICT,20210715,8050
21,A022100,포스코 ICT,20210714,8080
22,A022100,포스코 ICT,20210713,8110
23,A022100,포스코 ICT,20210712,8090
24,A022100,포스코 ICT,20210709,8120
25,A022100,포스코 ICT,20210708,8250
26,A022100,포스코 ICT,20210707,8390
27,A022100,포스코 ICT,20210706,8430
28,A022100,포스코 ICT,20210705,8650
29,A022100,포스코 ICT,20210702,8550
30,A022100,포스코 ICT,20210701,8480
31,A022100,포스코 ICT,20210630,8560
32,A022100,포스코 ICT,20210629,8570
33,A022100,포스코 ICT,20210628,8550
34,A022100,포스코 ICT,20210625,8440
35,A022100,포스코 ICT,20210624,8510
36,A022100,포스코 ICT,20210623,8500
37,A022100,포스코 ICT,20210622,8670
38,A022100,포스코 ICT,20210621,8600
39,A022100,포스코 ICT,20210618,8710
40,A022100,포스코 ICT,20210617,8580
41,A022100,포스코 ICT,20210616,8510
42,A022100,포스코 ICT,20210615,8800
43,A022100,포스코 ICT,20210614,8750
44,A022100,포스코 ICT,20210611,8550
45,A022100,포스코 ICT,20210610,8570
46,A022100,포스코 ICT,20210609,8500
47,A022100,포스코 ICT,20210608,8470
48,A022100,포스코 ICT,20210607,8490
49,A022100,포스코 ICT,20210604,8380
50,A022100,포스코 ICT,20210603,8230
51,A022100,포스코 ICT,20210602,8200
52,A022100,포스코 ICT,20210601,8150
53,A022100,포스코 ICT,20210531,8120
54,A022100,포스코 ICT,20210528,7910
55,A022100,포스코 ICT,20210527,8010
56,A022100,포스코 ICT,20210526,7890
57,A022100,포스코 ICT,20210525,7740
58,A022100,포스코 ICT,20210524,7620
59,A022100,포스코 ICT,20210521,7660
60,A022100,포스코 ICT,20210520,7520
61,A022100,포스코 ICT,20210518,7290
62,A022100,포스코 ICT,20210517,7210
63,A022100,포스코 ICT,20210514,7290
64,A022100,포스코 ICT,20210513,7370
65,A022100,포스코 ICT,20210512,7560
66,A022100,포스코 ICT,20210511,7380
67,A022100,포스코 ICT,20210510,7370
68,A022100,포스코 ICT,20210507,7030
69,A022100,포스코 ICT,20210506,6880
70,A022100,포스코 ICT,20210504,6920
71,A022100,포스코 ICT,20210503,7000
72,A022100,포스코 ICT,20210430,7200
73,A022100,포스코 ICT,20210429,7310
74,A022100,포스코 ICT,20210428,7380
75,A022100,포스코 ICT,20210427,7490
76,A022100,포스코 ICT,20210426,7620
77,A022100,포스코 ICT,20210423,7590
78,A022100,포스코 ICT,20210422,7550
79,A022100,포스코 ICT,20210421,7430
80,A022100,포스코 ICT,20210420,7490
81,A022100,포스코 ICT,20210419,7400
82,A022100,포스코 ICT,20210416,7460
83,A022100,포스코 ICT,20210415,7500
84,A022100,포스코 ICT,20210414,7420
85,A022100,포스코 ICT,20210413,7350
86,A022100,포스코 ICT,20210412,7290
87,A022100,포스코 ICT,20210409,7360
88,A022100,포스코 ICT,20210408,7370
89,A022100,포스코 ICT,20210407,7420
90,A022100,포스코 ICT,20210406,7420
91,A022100,포스코 ICT,20210405,7420
92,A022100,포스코 ICT,20210402,7450
93,A022100,포스코 ICT,20210401,7400
94,A022100,포스코 ICT,20210331,7350
95,A022100,포스코 ICT,20210330,7350
96,A022100,포스코 ICT,20210329,7360
97,A022100,포스코 ICT,20210326,7280
98,A022100,포스코 ICT,20210325,7300
99,A022100,포스코 ICT,20210324,7270
100,A022100,포스코 ICT,20210323,7320
101,A022100,포스코 ICT,20210322,7410
102,A022100,포스코 ICT,20210319,7440
103,A022100,포스코 ICT,20210318,7490
104,A022100,포스코 ICT,20210317,7390
105,A022100,포스코 ICT,20210316,7400
106,A022100,포스코 ICT,20210315,7370
107,A022100,포스코 ICT,20210312,7370
108,A022100,포스코 ICT,20210311,7280
109,A022100,포스코 ICT,20210310,7130
110,A022100,포스코 ICT,20210309,7310
111,A022100,포스코 ICT,20210308,7640
112,A022100,포스코 ICT,20210305,8130
113,A022100,포스코 ICT,20210304,8000
114,A022100,포스코 ICT,20210303,7550
115,A022100,포스코 ICT,20210302,7570
116,A022100,포스코 ICT,20210226,7490
117,A022100,포스코 ICT,20210225,7760
118,A022100,포스코 ICT,20210224,7540
119,A022100,포스코 ICT,20210223,7920
120,A022100,포스코 ICT,20210222,8010
121,A022100,포스코 ICT,20210219,7860
122,A022100,포스코 ICT,20210218,7910
123,A022100,포스코 ICT,20210217,8030
124,A022100,포스코 ICT,20210216,7990
125,A022100,포스코 ICT,20210215,7850
126,A022100,포스코 ICT,20210210,7800
127,A022100,포스코 ICT,20210209,7770
128,A022100,포스코 ICT,20210208,7820
129,A022100,포스코 ICT,20210205,7940
130,A022100,포스코 ICT,20210204,8000
131,A022100,포스코 ICT,20210203,8030
132,A022100,포스코 ICT,20210202,8010
133,A022100,포스코 ICT,20210201,7940
134,A022100,포스코 ICT,20210129,7740
135,A022100,포스코 ICT,20210128,8280
136,A022100,포스코 ICT,20210127,8550
137,A022100,포스코 ICT,20210126,8820
138,A022100,포스코 ICT,20210125,9170
139,A022100,포스코 ICT,20210122,8630
140,A022100,포스코 ICT,20210121,8750
141,A022100,포스코 ICT,20210120,8500
142,A022100,포스코 ICT,20210119,8390
143,A022100,포스코 ICT,20210118,8160
144,A022100,포스코 ICT,20210115,8280
145,A022100,포스코 ICT,20210114,8560
146,A022100,포스코 ICT,20210113,8320
147,A022100,포스코 ICT,20210112,8180
148,A022100,포스코 ICT,20210111,8170
149,A022100,포스코 ICT,20210108,8290
150,A022100,포스코 ICT,20210107,8440
151,A022100,포스코 ICT,20210106,8420
152,A022100,포스코 ICT,20210105,8660
153,A022100,포스코 ICT,20210104,8580
154,A022100,포스코 ICT,20201230,7750
155,A022100,포스코 ICT,20201229,7850
156,A022100,포스코 ICT,20201228,7230
157,A022100,포스코 ICT,20201224,7200
158,A022100,포스코 ICT,20201223,7140
159,A022100,포스코 ICT,20201222,7190
160,A022100,포스코 ICT,20201221,7550
161,A022100,포스코 ICT,20201218,7310
162,A022100,포스코 ICT,20201217,7180
163,A022100,포스코 ICT,20201216,7080
164,A022100,포스코 ICT,20201215,7100
165,A022100,포스코 ICT,20201214,7040
166,A022100,포스코 ICT,20201211,7150
167,A022100,포스코 ICT,20201210,7150
168,A022100,포스코 ICT,20201209,7140
169,A022100,포스코 ICT,20201208,7030
170,A022100,포스코 ICT,20201207,7010
171,A022100,포스코 ICT,20201204,7120
172,A022100,포스코 ICT,20201203,7360
173,A022100,포스코 ICT,20201202,7060
174,A022100,포스코 ICT,20201201,7010
