,종목코드,종목명,날짜,종가
0,A041020,폴라리스오피스,20210812,1785
1,A041020,폴라리스오피스,20210811,1790
2,A041020,폴라리스오피스,20210810,1865
3,A041020,폴라리스오피스,20210809,1880
4,A041020,폴라리스오피스,20210806,1915
5,A041020,폴라리스오피스,20210805,1935
6,A041020,폴라리스오피스,20210804,1875
7,A041020,폴라리스오피스,20210803,1830
8,A041020,폴라리스오피스,20210802,1965
9,A041020,폴라리스오피스,20210730,1980
10,A041020,폴라리스오피스,20210729,2005
11,A041020,폴라리스오피스,20210728,2005
12,A041020,폴라리스오피스,20210727,2040
13,A041020,폴라리스오피스,20210726,2025
14,A041020,폴라리스오피스,20210723,2055
15,A041020,폴라리스오피스,20210722,2050
16,A041020,폴라리스오피스,20210721,2025
17,A041020,폴라리스오피스,20210720,2045
18,A041020,폴라리스오피스,20210719,2080
19,A041020,폴라리스오피스,20210716,2120
20,A041020,폴라리스오피스,20210715,2155
21,A041020,폴라리스오피스,20210714,2200
22,A041020,폴라리스오피스,20210713,2155
23,A041020,폴라리스오피스,20210712,2140
24,A041020,폴라리스오피스,20210709,2085
25,A041020,폴라리스오피스,20210708,2075
26,A041020,폴라리스오피스,20210707,2100
27,A041020,폴라리스오피스,20210706,2045
28,A041020,폴라리스오피스,20210705,2065
29,A041020,폴라리스오피스,20210702,2060
30,A041020,폴라리스오피스,20210701,2050
31,A041020,폴라리스오피스,20210630,2095
32,A041020,폴라리스오피스,20210629,2080
33,A041020,폴라리스오피스,20210628,2030
34,A041020,폴라리스오피스,20210625,2015
35,A041020,폴라리스오피스,20210624,2000
36,A041020,폴라리스오피스,20210623,2015
37,A041020,폴라리스오피스,20210622,2035
38,A041020,폴라리스오피스,20210621,2020
39,A041020,폴라리스오피스,20210618,2060
40,A041020,폴라리스오피스,20210617,2145
41,A041020,폴라리스오피스,20210616,2075
42,A041020,폴라리스오피스,20210615,2055
43,A041020,폴라리스오피스,20210614,2065
44,A041020,폴라리스오피스,20210611,2050
45,A041020,폴라리스오피스,20210610,2040
46,A041020,폴라리스오피스,20210609,2040
47,A041020,폴라리스오피스,20210608,2080
48,A041020,폴라리스오피스,20210607,2120
49,A041020,폴라리스오피스,20210604,2105
50,A041020,폴라리스오피스,20210603,2125
51,A041020,폴라리스오피스,20210602,2095
52,A041020,폴라리스오피스,20210601,2120
53,A041020,폴라리스오피스,20210531,2120
54,A041020,폴라리스오피스,20210528,2110
55,A041020,폴라리스오피스,20210527,2110
56,A041020,폴라리스오피스,20210526,2025
57,A041020,폴라리스오피스,20210525,2010
58,A041020,폴라리스오피스,20210524,1960
59,A041020,폴라리스오피스,20210521,2030
60,A041020,폴라리스오피스,20210520,2055
61,A041020,폴라리스오피스,20210518,2100
62,A041020,폴라리스오피스,20210517,2070
63,A041020,폴라리스오피스,20210514,2040
64,A041020,폴라리스오피스,20210513,2035
65,A041020,폴라리스오피스,20210512,2100
66,A041020,폴라리스오피스,20210511,2135
67,A041020,폴라리스오피스,20210510,2150
68,A041020,폴라리스오피스,20210507,2145
69,A041020,폴라리스오피스,20210506,2190
70,A041020,폴라리스오피스,20210504,2130
71,A041020,폴라리스오피스,20210503,2105
72,A041020,폴라리스오피스,20210430,2150
73,A041020,폴라리스오피스,20210429,2260
74,A041020,폴라리스오피스,20210428,2285
75,A041020,폴라리스오피스,20210427,2330
76,A041020,폴라리스오피스,20210426,2285
77,A041020,폴라리스오피스,20210423,2300
78,A041020,폴라리스오피스,20210422,2330
79,A041020,폴라리스오피스,20210421,2315
80,A041020,폴라리스오피스,20210420,2405
81,A041020,폴라리스오피스,20210419,2385
82,A041020,폴라리스오피스,20210416,2425
83,A041020,폴라리스오피스,20210415,2405
84,A041020,폴라리스오피스,20210414,2500
85,A041020,폴라리스오피스,20210413,2515
86,A041020,폴라리스오피스,20210412,2620
87,A041020,폴라리스오피스,20210409,2695
88,A041020,폴라리스오피스,20210408,2570
89,A041020,폴라리스오피스,20210407,2650
90,A041020,폴라리스오피스,20210406,2755
91,A041020,폴라리스오피스,20210405,2520
92,A041020,폴라리스오피스,20210402,2530
93,A041020,폴라리스오피스,20210401,2580
94,A041020,폴라리스오피스,20210331,2520
95,A041020,폴라리스오피스,20210330,2545
96,A041020,폴라리스오피스,20210329,2480
97,A041020,폴라리스오피스,20210326,2480
98,A041020,폴라리스오피스,20210325,2510
99,A041020,폴라리스오피스,20210324,2475
100,A041020,폴라리스오피스,20210323,2365
101,A041020,폴라리스오피스,20210322,2390
102,A041020,폴라리스오피스,20210319,2475
103,A041020,폴라리스오피스,20210318,2465
104,A041020,폴라리스오피스,20210317,2485
105,A041020,폴라리스오피스,20210316,2500
