,종목코드,종목명,날짜,종가
0,A203690,프로스테믹스,20210812,3395
1,A203690,프로스테믹스,20210811,3395
2,A203690,프로스테믹스,20210810,3460
3,A203690,프로스테믹스,20210809,3455
4,A203690,프로스테믹스,20210806,3545
5,A203690,프로스테믹스,20210805,3555
6,A203690,프로스테믹스,20210804,3525
7,A203690,프로스테믹스,20210803,3435
8,A203690,프로스테믹스,20210802,3530
9,A203690,프로스테믹스,20210730,3425
10,A203690,프로스테믹스,20210729,3510
11,A203690,프로스테믹스,20210728,3530
12,A203690,프로스테믹스,20210727,3530
13,A203690,프로스테믹스,20210726,3520
14,A203690,프로스테믹스,20210723,3595
15,A203690,프로스테믹스,20210722,3610
16,A203690,프로스테믹스,20210721,3580
17,A203690,프로스테믹스,20210720,3630
18,A203690,프로스테믹스,20210719,3655
19,A203690,프로스테믹스,20210716,3765
20,A203690,프로스테믹스,20210715,3775
21,A203690,프로스테믹스,20210714,3795
22,A203690,프로스테믹스,20210713,3835
23,A203690,프로스테믹스,20210712,3705
24,A203690,프로스테믹스,20210709,3700
25,A203690,프로스테믹스,20210708,3825
26,A203690,프로스테믹스,20210707,3920
27,A203690,프로스테믹스,20210706,3820
28,A203690,프로스테믹스,20210705,3890
29,A203690,프로스테믹스,20210702,3775
30,A203690,프로스테믹스,20210701,3775
31,A203690,프로스테믹스,20210630,3885
32,A203690,프로스테믹스,20210629,3860
33,A203690,프로스테믹스,20210628,3960
34,A203690,프로스테믹스,20210625,4000
35,A203690,프로스테믹스,20210624,3320
36,A203690,프로스테믹스,20210623,3275
37,A203690,프로스테믹스,20210622,3190
38,A203690,프로스테믹스,20210621,3215
39,A203690,프로스테믹스,20210618,3200
40,A203690,프로스테믹스,20210617,3230
41,A203690,프로스테믹스,20210616,3255
42,A203690,프로스테믹스,20210615,3265
43,A203690,프로스테믹스,20210614,3300
44,A203690,프로스테믹스,20210611,3340
45,A203690,프로스테믹스,20210610,3325
46,A203690,프로스테믹스,20210609,3225
47,A203690,프로스테믹스,20210608,3240
48,A203690,프로스테믹스,20210607,3250
49,A203690,프로스테믹스,20210604,3260
50,A203690,프로스테믹스,20210603,3230
51,A203690,프로스테믹스,20210602,3220
52,A203690,프로스테믹스,20210601,3275
53,A203690,프로스테믹스,20210531,3295
54,A203690,프로스테믹스,20210528,3235
55,A203690,프로스테믹스,20210527,3215
56,A203690,프로스테믹스,20210526,3210
57,A203690,프로스테믹스,20210525,3155
58,A203690,프로스테믹스,20210524,3120
59,A203690,프로스테믹스,20210521,3230
60,A203690,프로스테믹스,20210520,3225
61,A203690,프로스테믹스,20210518,3295
62,A203690,프로스테믹스,20210517,3340
63,A203690,프로스테믹스,20210514,3190
64,A203690,프로스테믹스,20210513,3205
65,A203690,프로스테믹스,20210512,3235
66,A203690,프로스테믹스,20210511,3345
67,A203690,프로스테믹스,20210510,3420
68,A203690,프로스테믹스,20210507,3315
69,A203690,프로스테믹스,20210506,3295
70,A203690,프로스테믹스,20210504,3300
71,A203690,프로스테믹스,20210503,3280
72,A203690,프로스테믹스,20210430,3330
73,A203690,프로스테믹스,20210429,3435
74,A203690,프로스테믹스,20210428,3485
75,A203690,프로스테믹스,20210427,3620
76,A203690,프로스테믹스,20210426,3580
77,A203690,프로스테믹스,20210423,3445
78,A203690,프로스테믹스,20210422,3425
79,A203690,프로스테믹스,20210421,3400
80,A203690,프로스테믹스,20210420,3415
81,A203690,프로스테믹스,20210419,3285
82,A203690,프로스테믹스,20210416,3305
83,A203690,프로스테믹스,20210415,3300
84,A203690,프로스테믹스,20210414,3360
85,A203690,프로스테믹스,20210413,3320
86,A203690,프로스테믹스,20210412,3265
87,A203690,프로스테믹스,20210409,3270
88,A203690,프로스테믹스,20210408,3305
89,A203690,프로스테믹스,20210407,3175
90,A203690,프로스테믹스,20210406,3140
91,A203690,프로스테믹스,20210405,3180
92,A203690,프로스테믹스,20210402,3250
93,A203690,프로스테믹스,20210401,3255
94,A203690,프로스테믹스,20210331,3265
95,A203690,프로스테믹스,20210330,3190
96,A203690,프로스테믹스,20210329,3145
97,A203690,프로스테믹스,20210326,3305
98,A203690,프로스테믹스,20210325,3355
99,A203690,프로스테믹스,20210324,3375
100,A203690,프로스테믹스,20210323,3390
101,A203690,프로스테믹스,20210322,3410
102,A203690,프로스테믹스,20210319,3460
103,A203690,프로스테믹스,20210318,3525
104,A203690,프로스테믹스,20210317,3555
105,A203690,프로스테믹스,20210316,3560
106,A203690,프로스테믹스,20210315,3480
107,A203690,프로스테믹스,20210312,3520
108,A203690,프로스테믹스,20210311,3425
109,A203690,프로스테믹스,20210310,3365
110,A203690,프로스테믹스,20210309,3430
111,A203690,프로스테믹스,20210308,3525
