,종목코드,종목명,날짜,종가
0,A067310,하나마이크론,20210812,15800
1,A067310,하나마이크론,20210811,15700
2,A067310,하나마이크론,20210810,16200
3,A067310,하나마이크론,20210809,16700
4,A067310,하나마이크론,20210806,16300
5,A067310,하나마이크론,20210805,16300
6,A067310,하나마이크론,20210804,16250
7,A067310,하나마이크론,20210803,16300
8,A067310,하나마이크론,20210802,15800
9,A067310,하나마이크론,20210730,15700
10,A067310,하나마이크론,20210729,16000
11,A067310,하나마이크론,20210728,15900
12,A067310,하나마이크론,20210727,16550
13,A067310,하나마이크론,20210726,16500
14,A067310,하나마이크론,20210723,16600
15,A067310,하나마이크론,20210722,16950
16,A067310,하나마이크론,20210721,16800
17,A067310,하나마이크론,20210720,17200
18,A067310,하나마이크론,20210719,16950
19,A067310,하나마이크론,20210716,16950
20,A067310,하나마이크론,20210715,17750
21,A067310,하나마이크론,20210714,16150
22,A067310,하나마이크론,20210713,15700
23,A067310,하나마이크론,20210712,15400
24,A067310,하나마이크론,20210709,15400
25,A067310,하나마이크론,20210708,15450
26,A067310,하나마이크론,20210707,15650
27,A067310,하나마이크론,20210706,15700
28,A067310,하나마이크론,20210705,15650
29,A067310,하나마이크론,20210702,15700
30,A067310,하나마이크론,20210701,15750
31,A067310,하나마이크론,20210630,15900
32,A067310,하나마이크론,20210629,15750
33,A067310,하나마이크론,20210628,15650
34,A067310,하나마이크론,20210625,16300
35,A067310,하나마이크론,20210624,15700
36,A067310,하나마이크론,20210623,15450
37,A067310,하나마이크론,20210622,15550
38,A067310,하나마이크론,20210621,16000
39,A067310,하나마이크론,20210618,16150
40,A067310,하나마이크론,20210617,16150
41,A067310,하나마이크론,20210616,15450
42,A067310,하나마이크론,20210615,15500
43,A067310,하나마이크론,20210614,14750
44,A067310,하나마이크론,20210611,14750
45,A067310,하나마이크론,20210610,14350
46,A067310,하나마이크론,20210609,14300
47,A067310,하나마이크론,20210608,14750
48,A067310,하나마이크론,20210607,14750
49,A067310,하나마이크론,20210604,14500
50,A067310,하나마이크론,20210603,14450
51,A067310,하나마이크론,20210602,13750
52,A067310,하나마이크론,20210601,14200
53,A067310,하나마이크론,20210531,14150
54,A067310,하나마이크론,20210528,14300
55,A067310,하나마이크론,20210527,14550
56,A067310,하나마이크론,20210526,14500
57,A067310,하나마이크론,20210525,13500
