,종목코드,종목명,날짜,종가
0,A003380,하림지주,20210812,9780
1,A003380,하림지주,20210811,9690
2,A003380,하림지주,20210810,9760
3,A003380,하림지주,20210809,9970
4,A003380,하림지주,20210806,9980
5,A003380,하림지주,20210805,9870
6,A003380,하림지주,20210804,9870
7,A003380,하림지주,20210803,9720
8,A003380,하림지주,20210802,9690
9,A003380,하림지주,20210730,9800
10,A003380,하림지주,20210729,10000
11,A003380,하림지주,20210728,9750
12,A003380,하림지주,20210727,9880
13,A003380,하림지주,20210726,9560
14,A003380,하림지주,20210723,9750
15,A003380,하림지주,20210722,9750
16,A003380,하림지주,20210721,9680
17,A003380,하림지주,20210720,9660
18,A003380,하림지주,20210719,9820
19,A003380,하림지주,20210716,9910
20,A003380,하림지주,20210715,10000
21,A003380,하림지주,20210714,9990
22,A003380,하림지주,20210713,10100
23,A003380,하림지주,20210712,10000
24,A003380,하림지주,20210709,9900
25,A003380,하림지주,20210708,10100
26,A003380,하림지주,20210707,10400
27,A003380,하림지주,20210706,10600
28,A003380,하림지주,20210705,10500
29,A003380,하림지주,20210702,10550
30,A003380,하림지주,20210701,10650
31,A003380,하림지주,20210630,10500
32,A003380,하림지주,20210629,10600
33,A003380,하림지주,20210628,10650
34,A003380,하림지주,20210625,10500
35,A003380,하림지주,20210624,10250
36,A003380,하림지주,20210623,10200
37,A003380,하림지주,20210622,10150
38,A003380,하림지주,20210621,10150
39,A003380,하림지주,20210618,10550
40,A003380,하림지주,20210617,10750
41,A003380,하림지주,20210616,10700
42,A003380,하림지주,20210615,10450
43,A003380,하림지주,20210614,10700
44,A003380,하림지주,20210611,11150
45,A003380,하림지주,20210610,10900
46,A003380,하림지주,20210609,11450
47,A003380,하림지주,20210608,10550
48,A003380,하림지주,20210607,10600
49,A003380,하림지주,20210604,10650
50,A003380,하림지주,20210603,10700
51,A003380,하림지주,20210602,10600
52,A003380,하림지주,20210601,10250
53,A003380,하림지주,20210531,10450
54,A003380,하림지주,20210528,10650
55,A003380,하림지주,20210527,10950
56,A003380,하림지주,20210526,10950
57,A003380,하림지주,20210525,11050
58,A003380,하림지주,20210524,10800
59,A003380,하림지주,20210521,10900
60,A003380,하림지주,20210520,11250
61,A003380,하림지주,20210518,11650
62,A003380,하림지주,20210517,11700
63,A003380,하림지주,20210514,11650
64,A003380,하림지주,20210513,11900
65,A003380,하림지주,20210512,12050
66,A003380,하림지주,20210511,12800
67,A003380,하림지주,20210510,11900
68,A003380,하림지주,20210507,11150
69,A003380,하림지주,20210506,10200
70,A003380,하림지주,20210504,9540
71,A003380,하림지주,20210503,9550
72,A003380,하림지주,20210430,9430
73,A003380,하림지주,20210429,9320
74,A003380,하림지주,20210428,9290
75,A003380,하림지주,20210427,9610
76,A003380,하림지주,20210426,9620
77,A003380,하림지주,20210423,9410
78,A003380,하림지주,20210422,9490
79,A003380,하림지주,20210421,9340
80,A003380,하림지주,20210420,9590
81,A003380,하림지주,20210419,9470
82,A003380,하림지주,20210416,9500
83,A003380,하림지주,20210415,9400
84,A003380,하림지주,20210414,9470
85,A003380,하림지주,20210413,9370
86,A003380,하림지주,20210412,9290
87,A003380,하림지주,20210409,9730
88,A003380,하림지주,20210408,9740
89,A003380,하림지주,20210407,9710
90,A003380,하림지주,20210406,9390
91,A003380,하림지주,20210405,9350
92,A003380,하림지주,20210402,9300
93,A003380,하림지주,20210401,9530
94,A003380,하림지주,20210331,9260
95,A003380,하림지주,20210330,9210
96,A003380,하림지주,20210329,9340
97,A003380,하림지주,20210326,9070
98,A003380,하림지주,20210325,8950
99,A003380,하림지주,20210324,9050
100,A003380,하림지주,20210323,9100
101,A003380,하림지주,20210322,9380
102,A003380,하림지주,20210319,9040
103,A003380,하림지주,20210318,8950
104,A003380,하림지주,20210317,8930
105,A003380,하림지주,20210316,8880
106,A003380,하림지주,20210315,8910
107,A003380,하림지주,20210312,9030
108,A003380,하림지주,20210311,8900
109,A003380,하림지주,20210310,8870
110,A003380,하림지주,20210309,9000
111,A003380,하림지주,20210308,9360
112,A003380,하림지주,20210305,8980
113,A003380,하림지주,20210304,8730
114,A003380,하림지주,20210303,8810
115,A003380,하림지주,20210302,8760
116,A003380,하림지주,20210226,8680
117,A003380,하림지주,20210225,8990
118,A003380,하림지주,20210224,8700
119,A003380,하림지주,20210223,9240
120,A003380,하림지주,20210222,9070
121,A003380,하림지주,20210219,8710
