,종목코드,종목명,날짜,종가
0,A030010,하이투자증권,20210812,1240
1,A030010,하이투자증권,20210811,1245
2,A030010,하이투자증권,20210810,1225
3,A030010,하이투자증권,20210809,1255
4,A030010,하이투자증권,20210806,1260
5,A030010,하이투자증권,20210805,1275
6,A030010,하이투자증권,20210804,1260
7,A030010,하이투자증권,20210803,1250
8,A030010,하이투자증권,20210802,1230
9,A030010,하이투자증권,20210730,1200
10,A030010,하이투자증권,20210729,1190
11,A030010,하이투자증권,20210728,1195
12,A030010,하이투자증권,20210727,1195
13,A030010,하이투자증권,20210726,1200
14,A030010,하이투자증권,20210723,1210
15,A030010,하이투자증권,20210722,1210
16,A030010,하이투자증권,20210721,1190
17,A030010,하이투자증권,20210720,1185
18,A030010,하이투자증권,20210719,1210
19,A030010,하이투자증권,20210716,1215
20,A030010,하이투자증권,20210715,1230
21,A030010,하이투자증권,20210714,1250
22,A030010,하이투자증권,20210713,1250
23,A030010,하이투자증권,20210712,1250
24,A030010,하이투자증권,20210709,1245
25,A030010,하이투자증권,20210708,1260
26,A030010,하이투자증권,20210707,1260
27,A030010,하이투자증권,20210706,1260
28,A030010,하이투자증권,20210705,1260
29,A030010,하이투자증권,20210702,1245
30,A030010,하이투자증권,20210701,1230
31,A030010,하이투자증권,20210630,1230
32,A030010,하이투자증권,20210629,1255
33,A030010,하이투자증권,20210628,1270
34,A030010,하이투자증권,20210625,1270
35,A030010,하이투자증권,20210624,1250
36,A030010,하이투자증권,20210623,1265
37,A030010,하이투자증권,20210622,1250
38,A030010,하이투자증권,20210621,1230
39,A030010,하이투자증권,20210618,1210
40,A030010,하이투자증권,20210617,1235
41,A030010,하이투자증권,20210616,1230
42,A030010,하이투자증권,20210615,1230
43,A030010,하이투자증권,20210614,1240
44,A030010,하이투자증권,20210611,1265
45,A030010,하이투자증권,20210610,1275
46,A030010,하이투자증권,20210609,1255
47,A030010,하이투자증권,20210608,1270
48,A030010,하이투자증권,20210607,1270
49,A030010,하이투자증권,20210604,1270
50,A030010,하이투자증권,20210603,1275
51,A030010,하이투자증권,20210602,1295
52,A030010,하이투자증권,20210601,1300
53,A030010,하이투자증권,20210531,1285
54,A030010,하이투자증권,20210528,1295
55,A030010,하이투자증권,20210527,1290
56,A030010,하이투자증권,20210526,1290
57,A030010,하이투자증권,20210525,1305
58,A030010,하이투자증권,20210524,1295
59,A030010,하이투자증권,20210521,1285
60,A030010,하이투자증권,20210520,1290
61,A030010,하이투자증권,20210518,1275
62,A030010,하이투자증권,20210517,1270
63,A030010,하이투자증권,20210514,1285
64,A030010,하이투자증권,20210513,1215
65,A030010,하이투자증권,20210512,1220
66,A030010,하이투자증권,20210511,1205
67,A030010,하이투자증권,20210510,1195
68,A030010,하이투자증권,20210507,1190
69,A030010,하이투자증권,20210506,1135
70,A030010,하이투자증권,20210504,1145
71,A030010,하이투자증권,20210503,1145
72,A030010,하이투자증권,20210430,1145
73,A030010,하이투자증권,20210429,1115
74,A030010,하이투자증권,20210428,1105
75,A030010,하이투자증권,20210427,1110
76,A030010,하이투자증권,20210426,1135
77,A030010,하이투자증권,20210423,1100
78,A030010,하이투자증권,20210422,1095
79,A030010,하이투자증권,20210421,1090
