,종목코드,종목명,날짜,종가
0,A034950,한국기업평가,20210812,84600
1,A034950,한국기업평가,20210811,84400
2,A034950,한국기업평가,20210810,84800
3,A034950,한국기업평가,20210809,85000
4,A034950,한국기업평가,20210806,84900
5,A034950,한국기업평가,20210805,84700
6,A034950,한국기업평가,20210804,84600
7,A034950,한국기업평가,20210803,84500
8,A034950,한국기업평가,20210802,84800
9,A034950,한국기업평가,20210730,85500
10,A034950,한국기업평가,20210729,86000
11,A034950,한국기업평가,20210728,85300
12,A034950,한국기업평가,20210727,86000
13,A034950,한국기업평가,20210726,86000
14,A034950,한국기업평가,20210723,86400
15,A034950,한국기업평가,20210722,86400
16,A034950,한국기업평가,20210721,86200
17,A034950,한국기업평가,20210720,86300
18,A034950,한국기업평가,20210719,86500
19,A034950,한국기업평가,20210716,87000
20,A034950,한국기업평가,20210715,87200
21,A034950,한국기업평가,20210714,87200
22,A034950,한국기업평가,20210713,86900
23,A034950,한국기업평가,20210712,86800
24,A034950,한국기업평가,20210709,86900
25,A034950,한국기업평가,20210708,87200
26,A034950,한국기업평가,20210707,87500
27,A034950,한국기업평가,20210706,88000
28,A034950,한국기업평가,20210705,87900
29,A034950,한국기업평가,20210702,88300
30,A034950,한국기업평가,20210701,88400
31,A034950,한국기업평가,20210630,88000
32,A034950,한국기업평가,20210629,88000
33,A034950,한국기업평가,20210628,89000
34,A034950,한국기업평가,20210625,88600
35,A034950,한국기업평가,20210624,88700
36,A034950,한국기업평가,20210623,87800
37,A034950,한국기업평가,20210622,87800
38,A034950,한국기업평가,20210621,87500
39,A034950,한국기업평가,20210618,88700
40,A034950,한국기업평가,20210617,88700
41,A034950,한국기업평가,20210616,88800
42,A034950,한국기업평가,20210615,88800
43,A034950,한국기업평가,20210614,88300
44,A034950,한국기업평가,20210611,88500
45,A034950,한국기업평가,20210610,88700
46,A034950,한국기업평가,20210609,86900
47,A034950,한국기업평가,20210608,87100
48,A034950,한국기업평가,20210607,86500
49,A034950,한국기업평가,20210604,86100
50,A034950,한국기업평가,20210603,86400
51,A034950,한국기업평가,20210602,86400
52,A034950,한국기업평가,20210601,86400
53,A034950,한국기업평가,20210531,85600
54,A034950,한국기업평가,20210528,85900
55,A034950,한국기업평가,20210527,86100
56,A034950,한국기업평가,20210526,86100
57,A034950,한국기업평가,20210525,86500
