,종목코드,종목명,날짜,종가
0,A006200,한국전자홀딩스,20210812,1360
1,A006200,한국전자홀딩스,20210811,1360
2,A006200,한국전자홀딩스,20210810,1430
3,A006200,한국전자홀딩스,20210809,1430
4,A006200,한국전자홀딩스,20210806,1445
5,A006200,한국전자홀딩스,20210805,1475
6,A006200,한국전자홀딩스,20210804,1470
7,A006200,한국전자홀딩스,20210803,1465
8,A006200,한국전자홀딩스,20210802,1465
9,A006200,한국전자홀딩스,20210730,1440
10,A006200,한국전자홀딩스,20210729,1435
11,A006200,한국전자홀딩스,20210728,1405
12,A006200,한국전자홀딩스,20210727,1425
13,A006200,한국전자홀딩스,20210726,1395
14,A006200,한국전자홀딩스,20210723,1445
15,A006200,한국전자홀딩스,20210722,1435
16,A006200,한국전자홀딩스,20210721,1435
17,A006200,한국전자홀딩스,20210720,1465
18,A006200,한국전자홀딩스,20210719,1490
19,A006200,한국전자홀딩스,20210716,1540
20,A006200,한국전자홀딩스,20210715,1545
21,A006200,한국전자홀딩스,20210714,1560
22,A006200,한국전자홀딩스,20210713,1550
23,A006200,한국전자홀딩스,20210712,1535
24,A006200,한국전자홀딩스,20210709,1500
25,A006200,한국전자홀딩스,20210708,1455
26,A006200,한국전자홀딩스,20210707,1505
27,A006200,한국전자홀딩스,20210706,1515
28,A006200,한국전자홀딩스,20210705,1520
29,A006200,한국전자홀딩스,20210702,1500
30,A006200,한국전자홀딩스,20210701,1510
31,A006200,한국전자홀딩스,20210630,1500
32,A006200,한국전자홀딩스,20210629,1475
33,A006200,한국전자홀딩스,20210628,1500
34,A006200,한국전자홀딩스,20210625,1455
35,A006200,한국전자홀딩스,20210624,1465
36,A006200,한국전자홀딩스,20210623,1420
37,A006200,한국전자홀딩스,20210622,1510
38,A006200,한국전자홀딩스,20210621,1475
39,A006200,한국전자홀딩스,20210618,1460
40,A006200,한국전자홀딩스,20210617,1460
41,A006200,한국전자홀딩스,20210616,1465
42,A006200,한국전자홀딩스,20210615,1460
43,A006200,한국전자홀딩스,20210614,1410
44,A006200,한국전자홀딩스,20210611,1405
45,A006200,한국전자홀딩스,20210610,1365
46,A006200,한국전자홀딩스,20210609,1390
47,A006200,한국전자홀딩스,20210608,1375
48,A006200,한국전자홀딩스,20210607,1370
49,A006200,한국전자홀딩스,20210604,1370
50,A006200,한국전자홀딩스,20210603,1360
51,A006200,한국전자홀딩스,20210602,1325
52,A006200,한국전자홀딩스,20210601,1325
53,A006200,한국전자홀딩스,20210531,1285
54,A006200,한국전자홀딩스,20210528,1240
55,A006200,한국전자홀딩스,20210527,1225
56,A006200,한국전자홀딩스,20210526,1240
57,A006200,한국전자홀딩스,20210525,1250
58,A006200,한국전자홀딩스,20210524,1250
59,A006200,한국전자홀딩스,20210521,1340
60,A006200,한국전자홀딩스,20210520,1420
61,A006200,한국전자홀딩스,20210518,1280
62,A006200,한국전자홀딩스,20210517,1255
63,A006200,한국전자홀딩스,20210514,1260
64,A006200,한국전자홀딩스,20210513,1230
65,A006200,한국전자홀딩스,20210512,1255
66,A006200,한국전자홀딩스,20210511,1290
67,A006200,한국전자홀딩스,20210510,1295
68,A006200,한국전자홀딩스,20210507,1285
69,A006200,한국전자홀딩스,20210506,1280
70,A006200,한국전자홀딩스,20210504,1255
71,A006200,한국전자홀딩스,20210503,1255
72,A006200,한국전자홀딩스,20210430,1270
73,A006200,한국전자홀딩스,20210429,1295
74,A006200,한국전자홀딩스,20210428,1300
75,A006200,한국전자홀딩스,20210427,1340
76,A006200,한국전자홀딩스,20210426,1355
77,A006200,한국전자홀딩스,20210423,1320
78,A006200,한국전자홀딩스,20210422,1355
79,A006200,한국전자홀딩스,20210421,1360
80,A006200,한국전자홀딩스,20210420,1380
81,A006200,한국전자홀딩스,20210419,1375
82,A006200,한국전자홀딩스,20210416,1385
83,A006200,한국전자홀딩스,20210415,1375
84,A006200,한국전자홀딩스,20210414,1405
85,A006200,한국전자홀딩스,20210413,1395
86,A006200,한국전자홀딩스,20210412,1375
87,A006200,한국전자홀딩스,20210409,1415
88,A006200,한국전자홀딩스,20210408,1430
89,A006200,한국전자홀딩스,20210407,1485
90,A006200,한국전자홀딩스,20210406,1545
91,A006200,한국전자홀딩스,20210405,1540
92,A006200,한국전자홀딩스,20210402,1555
93,A006200,한국전자홀딩스,20210401,1570
94,A006200,한국전자홀딩스,20210331,1530
95,A006200,한국전자홀딩스,20210330,1620
96,A006200,한국전자홀딩스,20210329,1600
97,A006200,한국전자홀딩스,20210326,1585
98,A006200,한국전자홀딩스,20210325,1490
99,A006200,한국전자홀딩스,20210324,1530
100,A006200,한국전자홀딩스,20210323,1475
101,A006200,한국전자홀딩스,20210322,1565
102,A006200,한국전자홀딩스,20210319,1635
103,A006200,한국전자홀딩스,20210318,1630
104,A006200,한국전자홀딩스,20210317,1730
105,A006200,한국전자홀딩스,20210316,1820
106,A006200,한국전자홀딩스,20210315,1570
107,A006200,한국전자홀딩스,20210312,1735
108,A006200,한국전자홀딩스,20210311,1335
109,A006200,한국전자홀딩스,20210310,1030
110,A006200,한국전자홀딩스,20210309,1055
111,A006200,한국전자홀딩스,20210308,1130
112,A006200,한국전자홀딩스,20210305,1190
113,A006200,한국전자홀딩스,20210304,1170
114,A006200,한국전자홀딩스,20210303,1160
115,A006200,한국전자홀딩스,20210302,1115
116,A006200,한국전자홀딩스,20210226,1080
117,A006200,한국전자홀딩스,20210225,1140
118,A006200,한국전자홀딩스,20210224,1160
119,A006200,한국전자홀딩스,20210223,1190
120,A006200,한국전자홀딩스,20210222,1175
121,A006200,한국전자홀딩스,20210219,1135
122,A006200,한국전자홀딩스,20210218,1135
123,A006200,한국전자홀딩스,20210217,1475
124,A006200,한국전자홀딩스,20210216,1350
125,A006200,한국전자홀딩스,20210215,1205
126,A006200,한국전자홀딩스,20210210,930
127,A006200,한국전자홀딩스,20210209,918
128,A006200,한국전자홀딩스,20210208,919
129,A006200,한국전자홀딩스,20210205,936
130,A006200,한국전자홀딩스,20210204,915
131,A006200,한국전자홀딩스,20210203,913
132,A006200,한국전자홀딩스,20210202,908
133,A006200,한국전자홀딩스,20210201,905
134,A006200,한국전자홀딩스,20210129,890
135,A006200,한국전자홀딩스,20210128,915
136,A006200,한국전자홀딩스,20210127,955
137,A006200,한국전자홀딩스,20210126,964
138,A006200,한국전자홀딩스,20210125,955
139,A006200,한국전자홀딩스,20210122,960
140,A006200,한국전자홀딩스,20210121,978
141,A006200,한국전자홀딩스,20210120,963
142,A006200,한국전자홀딩스,20210119,948
143,A006200,한국전자홀딩스,20210118,927
144,A006200,한국전자홀딩스,20210115,928
145,A006200,한국전자홀딩스,20210114,918
146,A006200,한국전자홀딩스,20210113,917
147,A006200,한국전자홀딩스,20210112,911
148,A006200,한국전자홀딩스,20210111,927
149,A006200,한국전자홀딩스,20210108,951
150,A006200,한국전자홀딩스,20210107,960
151,A006200,한국전자홀딩스,20210106,949
152,A006200,한국전자홀딩스,20210105,950
153,A006200,한국전자홀딩스,20210104,952
154,A006200,한국전자홀딩스,20201230,937
155,A006200,한국전자홀딩스,20201229,912
156,A006200,한국전자홀딩스,20201228,882
157,A006200,한국전자홀딩스,20201224,908
158,A006200,한국전자홀딩스,20201223,907
159,A006200,한국전자홀딩스,20201222,911
160,A006200,한국전자홀딩스,20201221,935
161,A006200,한국전자홀딩스,20201218,950
162,A006200,한국전자홀딩스,20201217,940
163,A006200,한국전자홀딩스,20201216,929
164,A006200,한국전자홀딩스,20201215,932
165,A006200,한국전자홀딩스,20201214,915
166,A006200,한국전자홀딩스,20201211,936
167,A006200,한국전자홀딩스,20201210,922
168,A006200,한국전자홀딩스,20201209,925
169,A006200,한국전자홀딩스,20201208,936
170,A006200,한국전자홀딩스,20201207,906
171,A006200,한국전자홀딩스,20201204,889
172,A006200,한국전자홀딩스,20201203,915
173,A006200,한국전자홀딩스,20201202,954
174,A006200,한국전자홀딩스,20201201,866
175,A006200,한국전자홀딩스,20201130,871
176,A006200,한국전자홀딩스,20201127,873
177,A006200,한국전자홀딩스,20201126,871
178,A006200,한국전자홀딩스,20201125,895
179,A006200,한국전자홀딩스,20201124,1050
180,A006200,한국전자홀딩스,20201123,830
181,A006200,한국전자홀딩스,20201120,843
182,A006200,한국전자홀딩스,20201119,837
183,A006200,한국전자홀딩스,20201118,837
184,A006200,한국전자홀딩스,20201117,840
185,A006200,한국전자홀딩스,20201116,841
186,A006200,한국전자홀딩스,20201113,813
187,A006200,한국전자홀딩스,20201112,817
188,A006200,한국전자홀딩스,20201111,828
189,A006200,한국전자홀딩스,20201110,828
190,A006200,한국전자홀딩스,20201109,848
191,A006200,한국전자홀딩스,20201106,818
192,A006200,한국전자홀딩스,20201105,808
193,A006200,한국전자홀딩스,20201104,782
194,A006200,한국전자홀딩스,20201103,805
195,A006200,한국전자홀딩스,20201102,801
196,A006200,한국전자홀딩스,20201030,782
197,A006200,한국전자홀딩스,20201029,801
198,A006200,한국전자홀딩스,20201028,816
199,A006200,한국전자홀딩스,20201027,803
200,A006200,한국전자홀딩스,20201026,790
201,A006200,한국전자홀딩스,20201023,806
202,A006200,한국전자홀딩스,20201022,846
203,A006200,한국전자홀딩스,20201021,865
204,A006200,한국전자홀딩스,20201020,883
205,A006200,한국전자홀딩스,20201019,1025
206,A006200,한국전자홀딩스,20201016,810
207,A006200,한국전자홀딩스,20201015,900
208,A006200,한국전자홀딩스,20201014,900
209,A006200,한국전자홀딩스,20201013,719
210,A006200,한국전자홀딩스,20201012,716
211,A006200,한국전자홀딩스,20201008,720
212,A006200,한국전자홀딩스,20201007,716
213,A006200,한국전자홀딩스,20201006,700
214,A006200,한국전자홀딩스,20201005,684
215,A006200,한국전자홀딩스,20200929,668
216,A006200,한국전자홀딩스,20200928,643
217,A006200,한국전자홀딩스,20200925,619
218,A006200,한국전자홀딩스,20200924,633
219,A006200,한국전자홀딩스,20200923,681
220,A006200,한국전자홀딩스,20200922,715
221,A006200,한국전자홀딩스,20200921,714
222,A006200,한국전자홀딩스,20200918,708
