,종목코드,종목명,날짜,종가
0,A310870,한국제8호스팩,20210812,2210
1,A310870,한국제8호스팩,20210811,2210
2,A310870,한국제8호스팩,20210810,2210
3,A310870,한국제8호스팩,20210809,2210
4,A310870,한국제8호스팩,20210806,2210
5,A310870,한국제8호스팩,20210805,2210
6,A310870,한국제8호스팩,20210804,2210
7,A310870,한국제8호스팩,20210803,2210
8,A310870,한국제8호스팩,20210802,2210
9,A310870,한국제8호스팩,20210730,2210
10,A310870,한국제8호스팩,20210729,2210
11,A310870,한국제8호스팩,20210728,2210
12,A310870,한국제8호스팩,20210727,2210
13,A310870,한국제8호스팩,20210726,2210
14,A310870,한국제8호스팩,20210723,2210
15,A310870,한국제8호스팩,20210722,2210
16,A310870,한국제8호스팩,20210721,2210
17,A310870,한국제8호스팩,20210720,2210
18,A310870,한국제8호스팩,20210719,2210
19,A310870,한국제8호스팩,20210716,2210
20,A310870,한국제8호스팩,20210715,2210
21,A310870,한국제8호스팩,20210714,2210
22,A310870,한국제8호스팩,20210713,2210
23,A310870,한국제8호스팩,20210712,2210
24,A310870,한국제8호스팩,20210709,2210
25,A310870,한국제8호스팩,20210708,2210
26,A310870,한국제8호스팩,20210707,2210
27,A310870,한국제8호스팩,20210706,2210
28,A310870,한국제8호스팩,20210705,2210
29,A310870,한국제8호스팩,20210702,2210
30,A310870,한국제8호스팩,20210701,2210
31,A310870,한국제8호스팩,20210630,2210
32,A310870,한국제8호스팩,20210629,2210
33,A310870,한국제8호스팩,20210628,2210
34,A310870,한국제8호스팩,20210625,2210
35,A310870,한국제8호스팩,20210624,2210
36,A310870,한국제8호스팩,20210623,2210
37,A310870,한국제8호스팩,20210622,2210
38,A310870,한국제8호스팩,20210621,2210
39,A310870,한국제8호스팩,20210618,2210
40,A310870,한국제8호스팩,20210617,2210
41,A310870,한국제8호스팩,20210616,2210
42,A310870,한국제8호스팩,20210615,2210
43,A310870,한국제8호스팩,20210614,2210
44,A310870,한국제8호스팩,20210611,2210
45,A310870,한국제8호스팩,20210610,2210
46,A310870,한국제8호스팩,20210609,2210
47,A310870,한국제8호스팩,20210608,2120
48,A310870,한국제8호스팩,20210607,2220
49,A310870,한국제8호스팩,20210604,2320
50,A310870,한국제8호스팩,20210603,2365
51,A310870,한국제8호스팩,20210602,2255
52,A310870,한국제8호스팩,20210601,2680
53,A310870,한국제8호스팩,20210531,3015
54,A310870,한국제8호스팩,20210528,2320
55,A310870,한국제8호스팩,20210527,2405
56,A310870,한국제8호스팩,20210526,2325
57,A310870,한국제8호스팩,20210525,2245
58,A310870,한국제8호스팩,20210524,2125
59,A310870,한국제8호스팩,20210521,2100
60,A310870,한국제8호스팩,20210520,2120
61,A310870,한국제8호스팩,20210518,2110
62,A310870,한국제8호스팩,20210517,2105
63,A310870,한국제8호스팩,20210514,2120
64,A310870,한국제8호스팩,20210513,2120
65,A310870,한국제8호스팩,20210512,2155
66,A310870,한국제8호스팩,20210511,2140
67,A310870,한국제8호스팩,20210510,2150
68,A310870,한국제8호스팩,20210507,2150
69,A310870,한국제8호스팩,20210506,2200
70,A310870,한국제8호스팩,20210504,2200
71,A310870,한국제8호스팩,20210503,2245
72,A310870,한국제8호스팩,20210430,2215
73,A310870,한국제8호스팩,20210429,2210
74,A310870,한국제8호스팩,20210428,2255
75,A310870,한국제8호스팩,20210427,2765
76,A310870,한국제8호스팩,20210426,2130
77,A310870,한국제8호스팩,20210423,2160
78,A310870,한국제8호스팩,20210422,2150
79,A310870,한국제8호스팩,20210421,2140
80,A310870,한국제8호스팩,20210420,2145
81,A310870,한국제8호스팩,20210419,2160
82,A310870,한국제8호스팩,20210416,2130
83,A310870,한국제8호스팩,20210415,2155
84,A310870,한국제8호스팩,20210414,2125
85,A310870,한국제8호스팩,20210413,2120
86,A310870,한국제8호스팩,20210412,2120
87,A310870,한국제8호스팩,20210409,2110
88,A310870,한국제8호스팩,20210408,2110
89,A310870,한국제8호스팩,20210407,2110
90,A310870,한국제8호스팩,20210406,2105
91,A310870,한국제8호스팩,20210405,2110
92,A310870,한국제8호스팩,20210402,2110
93,A310870,한국제8호스팩,20210401,2110
94,A310870,한국제8호스팩,20210331,2100
95,A310870,한국제8호스팩,20210330,2100
96,A310870,한국제8호스팩,20210329,2105
97,A310870,한국제8호스팩,20210326,2115
98,A310870,한국제8호스팩,20210325,2115
99,A310870,한국제8호스팩,20210324,2105
100,A310870,한국제8호스팩,20210323,2105
101,A310870,한국제8호스팩,20210322,2110
102,A310870,한국제8호스팩,20210319,2090
103,A310870,한국제8호스팩,20210318,2100
104,A310870,한국제8호스팩,20210317,2105
105,A310870,한국제8호스팩,20210316,2105
106,A310870,한국제8호스팩,20210315,2095
107,A310870,한국제8호스팩,20210312,2095
108,A310870,한국제8호스팩,20210311,2090
109,A310870,한국제8호스팩,20210310,2080
110,A310870,한국제8호스팩,20210309,2095
111,A310870,한국제8호스팩,20210308,2115
112,A310870,한국제8호스팩,20210305,2110
113,A310870,한국제8호스팩,20210304,2110
114,A310870,한국제8호스팩,20210303,2115
115,A310870,한국제8호스팩,20210302,2105
116,A310870,한국제8호스팩,20210226,2100
117,A310870,한국제8호스팩,20210225,2120
118,A310870,한국제8호스팩,20210224,2105
119,A310870,한국제8호스팩,20210223,2095
120,A310870,한국제8호스팩,20210222,2105
121,A310870,한국제8호스팩,20210219,2090
122,A310870,한국제8호스팩,20210218,2095
123,A310870,한국제8호스팩,20210217,2085
124,A310870,한국제8호스팩,20210216,2095
125,A310870,한국제8호스팩,20210215,2100
126,A310870,한국제8호스팩,20210210,2100
127,A310870,한국제8호스팩,20210209,2130
128,A310870,한국제8호스팩,20210208,2120
129,A310870,한국제8호스팩,20210205,2120
130,A310870,한국제8호스팩,20210204,2120
131,A310870,한국제8호스팩,20210203,2160
132,A310870,한국제8호스팩,20210202,2120
133,A310870,한국제8호스팩,20210201,2115
134,A310870,한국제8호스팩,20210129,2100
135,A310870,한국제8호스팩,20210128,2120
136,A310870,한국제8호스팩,20210127,2105
137,A310870,한국제8호스팩,20210126,2115
138,A310870,한국제8호스팩,20210125,2125
139,A310870,한국제8호스팩,20210122,2105
140,A310870,한국제8호스팩,20210121,2100
141,A310870,한국제8호스팩,20210120,2095
142,A310870,한국제8호스팩,20210119,2075
143,A310870,한국제8호스팩,20210118,2110
144,A310870,한국제8호스팩,20210115,2110
145,A310870,한국제8호스팩,20210114,2085
146,A310870,한국제8호스팩,20210113,2095
147,A310870,한국제8호스팩,20210112,2090
148,A310870,한국제8호스팩,20210111,2090
