,종목코드,종목명,날짜,종가
0,A009540,한국조선해양,20210812,121000
1,A009540,한국조선해양,20210811,121000
2,A009540,한국조선해양,20210810,124500
3,A009540,한국조선해양,20210809,125000
4,A009540,한국조선해양,20210806,130000
5,A009540,한국조선해양,20210805,130000
6,A009540,한국조선해양,20210804,132500
7,A009540,한국조선해양,20210803,129500
8,A009540,한국조선해양,20210802,130000
9,A009540,한국조선해양,20210730,130500
10,A009540,한국조선해양,20210729,135000
11,A009540,한국조선해양,20210728,133000
12,A009540,한국조선해양,20210727,130000
13,A009540,한국조선해양,20210726,131000
14,A009540,한국조선해양,20210723,132000
15,A009540,한국조선해양,20210722,128500
16,A009540,한국조선해양,20210721,128000
17,A009540,한국조선해양,20210720,122500
18,A009540,한국조선해양,20210719,123000
19,A009540,한국조선해양,20210716,126000
20,A009540,한국조선해양,20210715,127500
21,A009540,한국조선해양,20210714,127500
22,A009540,한국조선해양,20210713,127500
23,A009540,한국조선해양,20210712,127000
24,A009540,한국조선해양,20210709,124500
25,A009540,한국조선해양,20210708,126000
26,A009540,한국조선해양,20210707,129000
27,A009540,한국조선해양,20210706,133000
28,A009540,한국조선해양,20210705,133000
29,A009540,한국조선해양,20210702,135500
30,A009540,한국조선해양,20210701,132000
31,A009540,한국조선해양,20210630,134000
32,A009540,한국조선해양,20210629,134500
33,A009540,한국조선해양,20210628,136000
34,A009540,한국조선해양,20210625,134000
35,A009540,한국조선해양,20210624,132500
36,A009540,한국조선해양,20210623,131500
37,A009540,한국조선해양,20210622,135000
38,A009540,한국조선해양,20210621,136000
39,A009540,한국조선해양,20210618,132500
40,A009540,한국조선해양,20210617,134000
41,A009540,한국조선해양,20210616,137500
42,A009540,한국조선해양,20210615,136500
43,A009540,한국조선해양,20210614,138500
44,A009540,한국조선해양,20210611,140000
45,A009540,한국조선해양,20210610,139000
46,A009540,한국조선해양,20210609,138000
47,A009540,한국조선해양,20210608,140000
48,A009540,한국조선해양,20210607,143000
49,A009540,한국조선해양,20210604,144500
50,A009540,한국조선해양,20210603,145500
51,A009540,한국조선해양,20210602,149500
52,A009540,한국조선해양,20210601,149000
53,A009540,한국조선해양,20210531,142500
54,A009540,한국조선해양,20210528,143000
55,A009540,한국조선해양,20210527,142500
56,A009540,한국조선해양,20210526,146500
57,A009540,한국조선해양,20210525,146500
58,A009540,한국조선해양,20210524,148000
59,A009540,한국조선해양,20210521,143000
60,A009540,한국조선해양,20210520,146000
61,A009540,한국조선해양,20210518,154000
62,A009540,한국조선해양,20210517,153000
63,A009540,한국조선해양,20210514,148500
64,A009540,한국조선해양,20210513,149000
65,A009540,한국조선해양,20210512,153500
66,A009540,한국조선해양,20210511,160500
67,A009540,한국조선해양,20210510,159500
68,A009540,한국조선해양,20210507,154500
69,A009540,한국조선해양,20210506,153000
70,A009540,한국조선해양,20210504,150000
71,A009540,한국조선해양,20210503,153000
72,A009540,한국조선해양,20210430,153500
73,A009540,한국조선해양,20210429,150500
74,A009540,한국조선해양,20210428,149000
75,A009540,한국조선해양,20210427,150000
76,A009540,한국조선해양,20210426,150500
77,A009540,한국조선해양,20210423,141000
78,A009540,한국조선해양,20210422,140500
79,A009540,한국조선해양,20210421,135500
80,A009540,한국조선해양,20210420,139000
81,A009540,한국조선해양,20210419,140000
82,A009540,한국조선해양,20210416,137000
83,A009540,한국조선해양,20210415,134500
84,A009540,한국조선해양,20210414,133500
85,A009540,한국조선해양,20210413,133000
86,A009540,한국조선해양,20210412,131500
87,A009540,한국조선해양,20210409,128000
88,A009540,한국조선해양,20210408,130000
89,A009540,한국조선해양,20210407,127500
90,A009540,한국조선해양,20210406,130000
91,A009540,한국조선해양,20210405,133000
92,A009540,한국조선해양,20210402,131500
93,A009540,한국조선해양,20210401,128500
94,A009540,한국조선해양,20210331,133500
95,A009540,한국조선해양,20210330,134500
96,A009540,한국조선해양,20210329,134000
97,A009540,한국조선해양,20210326,132000
98,A009540,한국조선해양,20210325,118500
99,A009540,한국조선해양,20210324,117500
100,A009540,한국조선해양,20210323,116000
101,A009540,한국조선해양,20210322,117000
102,A009540,한국조선해양,20210319,118000
103,A009540,한국조선해양,20210318,118500
104,A009540,한국조선해양,20210317,118500
105,A009540,한국조선해양,20210316,121500
106,A009540,한국조선해양,20210315,122000
107,A009540,한국조선해양,20210312,117500
108,A009540,한국조선해양,20210311,115000
109,A009540,한국조선해양,20210310,115500
110,A009540,한국조선해양,20210309,115500
111,A009540,한국조선해양,20210308,111000
112,A009540,한국조선해양,20210305,107000
113,A009540,한국조선해양,20210304,108000
114,A009540,한국조선해양,20210303,111500
115,A009540,한국조선해양,20210302,110500
116,A009540,한국조선해양,20210226,112000
117,A009540,한국조선해양,20210225,114000
118,A009540,한국조선해양,20210224,109000
119,A009540,한국조선해양,20210223,112000
120,A009540,한국조선해양,20210222,104000
121,A009540,한국조선해양,20210219,105000
122,A009540,한국조선해양,20210218,104000
123,A009540,한국조선해양,20210217,104500
124,A009540,한국조선해양,20210216,106000
125,A009540,한국조선해양,20210215,107000
