,종목코드,종목명,날짜,종가
0,A023350,한국종합기술,20210812,8810
1,A023350,한국종합기술,20210811,8700
2,A023350,한국종합기술,20210810,8710
3,A023350,한국종합기술,20210809,8830
4,A023350,한국종합기술,20210806,9140
5,A023350,한국종합기술,20210805,9050
6,A023350,한국종합기술,20210804,8960
7,A023350,한국종합기술,20210803,8790
8,A023350,한국종합기술,20210802,8870
9,A023350,한국종합기술,20210730,9120
10,A023350,한국종합기술,20210729,9050
11,A023350,한국종합기술,20210728,9230
12,A023350,한국종합기술,20210727,9350
13,A023350,한국종합기술,20210726,9180
14,A023350,한국종합기술,20210723,9280
15,A023350,한국종합기술,20210722,9290
16,A023350,한국종합기술,20210721,9130
17,A023350,한국종합기술,20210720,9380
18,A023350,한국종합기술,20210719,9610
19,A023350,한국종합기술,20210716,10300
20,A023350,한국종합기술,20210715,10400
21,A023350,한국종합기술,20210714,10400
22,A023350,한국종합기술,20210713,10400
23,A023350,한국종합기술,20210712,10050
24,A023350,한국종합기술,20210709,9860
25,A023350,한국종합기술,20210708,10200
26,A023350,한국종합기술,20210707,10150
27,A023350,한국종합기술,20210706,10450
28,A023350,한국종합기술,20210705,10500
29,A023350,한국종합기술,20210702,10750
30,A023350,한국종합기술,20210701,11400
31,A023350,한국종합기술,20210630,12200
32,A023350,한국종합기술,20210629,9400
33,A023350,한국종합기술,20210628,9130
34,A023350,한국종합기술,20210625,9020
35,A023350,한국종합기술,20210624,8800
36,A023350,한국종합기술,20210623,8090
37,A023350,한국종합기술,20210622,8410
38,A023350,한국종합기술,20210621,8450
39,A023350,한국종합기술,20210618,8420
40,A023350,한국종합기술,20210617,8410
41,A023350,한국종합기술,20210616,8180
42,A023350,한국종합기술,20210615,8100
43,A023350,한국종합기술,20210614,8080
44,A023350,한국종합기술,20210611,8190
45,A023350,한국종합기술,20210610,8280
46,A023350,한국종합기술,20210609,8190
47,A023350,한국종합기술,20210608,8200
48,A023350,한국종합기술,20210607,8200
49,A023350,한국종합기술,20210604,8470
50,A023350,한국종합기술,20210603,8300
51,A023350,한국종합기술,20210602,8230
52,A023350,한국종합기술,20210601,7960
53,A023350,한국종합기술,20210531,7890
54,A023350,한국종합기술,20210528,8130
55,A023350,한국종합기술,20210527,8120
56,A023350,한국종합기술,20210526,8200
57,A023350,한국종합기술,20210525,8060
58,A023350,한국종합기술,20210524,8250
59,A023350,한국종합기술,20210521,8540
60,A023350,한국종합기술,20210520,8370
61,A023350,한국종합기술,20210518,8450
62,A023350,한국종합기술,20210517,8530
63,A023350,한국종합기술,20210514,8850
64,A023350,한국종합기술,20210513,8370
65,A023350,한국종합기술,20210512,8310
66,A023350,한국종합기술,20210511,8280
67,A023350,한국종합기술,20210510,8280
68,A023350,한국종합기술,20210507,8230
