,종목코드,종목명,날짜,종가
0,A092460,한라IMS,20210812,7880
1,A092460,한라IMS,20210811,7800
2,A092460,한라IMS,20210810,7920
3,A092460,한라IMS,20210809,8150
4,A092460,한라IMS,20210806,8170
5,A092460,한라IMS,20210805,8100
6,A092460,한라IMS,20210804,8120
7,A092460,한라IMS,20210803,7900
8,A092460,한라IMS,20210802,8050
9,A092460,한라IMS,20210730,8150
10,A092460,한라IMS,20210729,8250
11,A092460,한라IMS,20210728,8290
12,A092460,한라IMS,20210727,8250
13,A092460,한라IMS,20210726,8250
14,A092460,한라IMS,20210723,8400
15,A092460,한라IMS,20210722,8350
16,A092460,한라IMS,20210721,8330
17,A092460,한라IMS,20210720,8380
18,A092460,한라IMS,20210719,8480
19,A092460,한라IMS,20210716,8640
20,A092460,한라IMS,20210715,8670
21,A092460,한라IMS,20210714,8680
22,A092460,한라IMS,20210713,8830
23,A092460,한라IMS,20210712,8830
24,A092460,한라IMS,20210709,8500
25,A092460,한라IMS,20210708,8800
26,A092460,한라IMS,20210707,9100
27,A092460,한라IMS,20210706,9180
28,A092460,한라IMS,20210705,9060
29,A092460,한라IMS,20210702,9260
30,A092460,한라IMS,20210701,9080
31,A092460,한라IMS,20210630,9040
32,A092460,한라IMS,20210629,9150
33,A092460,한라IMS,20210628,9030
34,A092460,한라IMS,20210625,9010
35,A092460,한라IMS,20210624,8820
36,A092460,한라IMS,20210623,8720
37,A092460,한라IMS,20210622,8850
38,A092460,한라IMS,20210621,8820
39,A092460,한라IMS,20210618,8970
40,A092460,한라IMS,20210617,9110
41,A092460,한라IMS,20210616,9080
42,A092460,한라IMS,20210615,9020
43,A092460,한라IMS,20210614,8840
44,A092460,한라IMS,20210611,8940
45,A092460,한라IMS,20210610,8710
46,A092460,한라IMS,20210609,8770
47,A092460,한라IMS,20210608,9070
48,A092460,한라IMS,20210607,9070
49,A092460,한라IMS,20210604,9150
50,A092460,한라IMS,20210603,9360
51,A092460,한라IMS,20210602,9560
52,A092460,한라IMS,20210601,9220
53,A092460,한라IMS,20210531,9080
54,A092460,한라IMS,20210528,9140
55,A092460,한라IMS,20210527,9110
56,A092460,한라IMS,20210526,8840
57,A092460,한라IMS,20210525,8810
58,A092460,한라IMS,20210524,8660
