,종목코드,종목명,날짜,종가
0,A009180,한솔로지스틱스,20210812,4860
1,A009180,한솔로지스틱스,20210811,5010
2,A009180,한솔로지스틱스,20210810,4015
3,A009180,한솔로지스틱스,20210809,4115
4,A009180,한솔로지스틱스,20210806,4160
5,A009180,한솔로지스틱스,20210805,4245
6,A009180,한솔로지스틱스,20210804,4175
7,A009180,한솔로지스틱스,20210803,4020
8,A009180,한솔로지스틱스,20210802,4130
9,A009180,한솔로지스틱스,20210730,4095
10,A009180,한솔로지스틱스,20210729,4200
11,A009180,한솔로지스틱스,20210728,4265
12,A009180,한솔로지스틱스,20210727,4340
13,A009180,한솔로지스틱스,20210726,4285
14,A009180,한솔로지스틱스,20210723,4320
15,A009180,한솔로지스틱스,20210722,4330
16,A009180,한솔로지스틱스,20210721,4255
17,A009180,한솔로지스틱스,20210720,4295
18,A009180,한솔로지스틱스,20210719,4360
19,A009180,한솔로지스틱스,20210716,4495
20,A009180,한솔로지스틱스,20210715,4535
21,A009180,한솔로지스틱스,20210714,4610
22,A009180,한솔로지스틱스,20210713,4690
23,A009180,한솔로지스틱스,20210712,4795
24,A009180,한솔로지스틱스,20210709,4695
25,A009180,한솔로지스틱스,20210708,4525
26,A009180,한솔로지스틱스,20210707,4615
27,A009180,한솔로지스틱스,20210706,4455
28,A009180,한솔로지스틱스,20210705,4495
29,A009180,한솔로지스틱스,20210702,4355
30,A009180,한솔로지스틱스,20210701,4415
31,A009180,한솔로지스틱스,20210630,4480
32,A009180,한솔로지스틱스,20210629,4550
33,A009180,한솔로지스틱스,20210628,4700
34,A009180,한솔로지스틱스,20210625,4650
35,A009180,한솔로지스틱스,20210624,4645
36,A009180,한솔로지스틱스,20210623,4730
37,A009180,한솔로지스틱스,20210622,4920
38,A009180,한솔로지스틱스,20210621,5500
39,A009180,한솔로지스틱스,20210618,5180
40,A009180,한솔로지스틱스,20210617,5100
41,A009180,한솔로지스틱스,20210616,5150
42,A009180,한솔로지스틱스,20210615,4855
43,A009180,한솔로지스틱스,20210614,5140
44,A009180,한솔로지스틱스,20210611,5130
45,A009180,한솔로지스틱스,20210610,3950
46,A009180,한솔로지스틱스,20210609,4030
47,A009180,한솔로지스틱스,20210608,4025
48,A009180,한솔로지스틱스,20210607,4000
49,A009180,한솔로지스틱스,20210604,4060
50,A009180,한솔로지스틱스,20210603,3950
51,A009180,한솔로지스틱스,20210602,4025
52,A009180,한솔로지스틱스,20210601,3890
53,A009180,한솔로지스틱스,20210531,3870
54,A009180,한솔로지스틱스,20210528,3620
55,A009180,한솔로지스틱스,20210527,3525
56,A009180,한솔로지스틱스,20210526,3395
57,A009180,한솔로지스틱스,20210525,3370
58,A009180,한솔로지스틱스,20210524,3365
59,A009180,한솔로지스틱스,20210521,3410
60,A009180,한솔로지스틱스,20210520,3450
61,A009180,한솔로지스틱스,20210518,3395
62,A009180,한솔로지스틱스,20210517,3370
63,A009180,한솔로지스틱스,20210514,3395
64,A009180,한솔로지스틱스,20210513,3355
65,A009180,한솔로지스틱스,20210512,3500
66,A009180,한솔로지스틱스,20210511,3470
67,A009180,한솔로지스틱스,20210510,3520
68,A009180,한솔로지스틱스,20210507,3450
69,A009180,한솔로지스틱스,20210506,3500
70,A009180,한솔로지스틱스,20210504,3525
71,A009180,한솔로지스틱스,20210503,3730
72,A009180,한솔로지스틱스,20210430,3480
73,A009180,한솔로지스틱스,20210429,3455
74,A009180,한솔로지스틱스,20210428,3300
75,A009180,한솔로지스틱스,20210427,3370
76,A009180,한솔로지스틱스,20210426,3400
77,A009180,한솔로지스틱스,20210423,3380
78,A009180,한솔로지스틱스,20210422,3365
79,A009180,한솔로지스틱스,20210421,3330
80,A009180,한솔로지스틱스,20210420,3410
81,A009180,한솔로지스틱스,20210419,3370
82,A009180,한솔로지스틱스,20210416,3325
83,A009180,한솔로지스틱스,20210415,3330
84,A009180,한솔로지스틱스,20210414,3375
85,A009180,한솔로지스틱스,20210413,3315
86,A009180,한솔로지스틱스,20210412,3270
87,A009180,한솔로지스틱스,20210409,3245
88,A009180,한솔로지스틱스,20210408,3290
89,A009180,한솔로지스틱스,20210407,3315
90,A009180,한솔로지스틱스,20210406,3245
91,A009180,한솔로지스틱스,20210405,3275
92,A009180,한솔로지스틱스,20210402,3240
93,A009180,한솔로지스틱스,20210401,3305
94,A009180,한솔로지스틱스,20210331,3415
95,A009180,한솔로지스틱스,20210330,3415
96,A009180,한솔로지스틱스,20210329,3415
97,A009180,한솔로지스틱스,20210326,3490
98,A009180,한솔로지스틱스,20210325,3285
99,A009180,한솔로지스틱스,20210324,3380
100,A009180,한솔로지스틱스,20210323,3350
101,A009180,한솔로지스틱스,20210322,3425
102,A009180,한솔로지스틱스,20210319,3540
103,A009180,한솔로지스틱스,20210318,3620
104,A009180,한솔로지스틱스,20210317,3580
105,A009180,한솔로지스틱스,20210316,3555
106,A009180,한솔로지스틱스,20210315,3305
107,A009180,한솔로지스틱스,20210312,3310
108,A009180,한솔로지스틱스,20210311,3070
109,A009180,한솔로지스틱스,20210310,2955
110,A009180,한솔로지스틱스,20210309,3070
111,A009180,한솔로지스틱스,20210308,3295
112,A009180,한솔로지스틱스,20210305,3245
113,A009180,한솔로지스틱스,20210304,3190
114,A009180,한솔로지스틱스,20210303,3315
115,A009180,한솔로지스틱스,20210302,3135
116,A009180,한솔로지스틱스,20210226,3080
117,A009180,한솔로지스틱스,20210225,3125
118,A009180,한솔로지스틱스,20210224,3120
119,A009180,한솔로지스틱스,20210223,3320
120,A009180,한솔로지스틱스,20210222,3485
121,A009180,한솔로지스틱스,20210219,3300
122,A009180,한솔로지스틱스,20210218,3360
123,A009180,한솔로지스틱스,20210217,3870
124,A009180,한솔로지스틱스,20210216,2980
125,A009180,한솔로지스틱스,20210215,2995
126,A009180,한솔로지스틱스,20210210,2800
127,A009180,한솔로지스틱스,20210209,2810
128,A009180,한솔로지스틱스,20210208,2850
129,A009180,한솔로지스틱스,20210205,2915
130,A009180,한솔로지스틱스,20210204,2865
131,A009180,한솔로지스틱스,20210203,2940
132,A009180,한솔로지스틱스,20210202,2790
133,A009180,한솔로지스틱스,20210201,2700
134,A009180,한솔로지스틱스,20210129,2625
135,A009180,한솔로지스틱스,20210128,2830
136,A009180,한솔로지스틱스,20210127,2950
137,A009180,한솔로지스틱스,20210126,3030
138,A009180,한솔로지스틱스,20210125,3090
139,A009180,한솔로지스틱스,20210122,3045
140,A009180,한솔로지스틱스,20210121,3080
141,A009180,한솔로지스틱스,20210120,2980
142,A009180,한솔로지스틱스,20210119,3060
143,A009180,한솔로지스틱스,20210118,2920
144,A009180,한솔로지스틱스,20210115,3020
145,A009180,한솔로지스틱스,20210114,3125
146,A009180,한솔로지스틱스,20210113,3055
147,A009180,한솔로지스틱스,20210112,2845
148,A009180,한솔로지스틱스,20210111,2810
149,A009180,한솔로지스틱스,20210108,3085
150,A009180,한솔로지스틱스,20210107,3085
151,A009180,한솔로지스틱스,20210106,3035
152,A009180,한솔로지스틱스,20210105,2995
153,A009180,한솔로지스틱스,20210104,2305
154,A009180,한솔로지스틱스,20201230,2315
155,A009180,한솔로지스틱스,20201229,2305
156,A009180,한솔로지스틱스,20201228,2285
157,A009180,한솔로지스틱스,20201224,2295
158,A009180,한솔로지스틱스,20201223,2195
159,A009180,한솔로지스틱스,20201222,2210
160,A009180,한솔로지스틱스,20201221,2325
161,A009180,한솔로지스틱스,20201218,2315
162,A009180,한솔로지스틱스,20201217,2325
163,A009180,한솔로지스틱스,20201216,2365
164,A009180,한솔로지스틱스,20201215,2345
165,A009180,한솔로지스틱스,20201214,2330
166,A009180,한솔로지스틱스,20201211,2365
167,A009180,한솔로지스틱스,20201210,2350
168,A009180,한솔로지스틱스,20201209,2430
169,A009180,한솔로지스틱스,20201208,2340
170,A009180,한솔로지스틱스,20201207,2355
171,A009180,한솔로지스틱스,20201204,2325
172,A009180,한솔로지스틱스,20201203,2355
173,A009180,한솔로지스틱스,20201202,2345
174,A009180,한솔로지스틱스,20201201,2365
175,A009180,한솔로지스틱스,20201130,2315
176,A009180,한솔로지스틱스,20201127,2180
177,A009180,한솔로지스틱스,20201126,2150
178,A009180,한솔로지스틱스,20201125,2135
179,A009180,한솔로지스틱스,20201124,2205
180,A009180,한솔로지스틱스,20201123,2210
181,A009180,한솔로지스틱스,20201120,2180
182,A009180,한솔로지스틱스,20201119,2195
183,A009180,한솔로지스틱스,20201118,2335
184,A009180,한솔로지스틱스,20201117,2250
185,A009180,한솔로지스틱스,20201116,2265
186,A009180,한솔로지스틱스,20201113,2220
187,A009180,한솔로지스틱스,20201112,2215
188,A009180,한솔로지스틱스,20201111,2175
189,A009180,한솔로지스틱스,20201110,2110
190,A009180,한솔로지스틱스,20201109,2110
191,A009180,한솔로지스틱스,20201106,2040
192,A009180,한솔로지스틱스,20201105,2070
193,A009180,한솔로지스틱스,20201104,2000
194,A009180,한솔로지스틱스,20201103,2010
195,A009180,한솔로지스틱스,20201102,1955
196,A009180,한솔로지스틱스,20201030,1970
197,A009180,한솔로지스틱스,20201029,2020
198,A009180,한솔로지스틱스,20201028,1975
199,A009180,한솔로지스틱스,20201027,1910
200,A009180,한솔로지스틱스,20201026,1990
201,A009180,한솔로지스틱스,20201023,2035
202,A009180,한솔로지스틱스,20201022,2010
203,A009180,한솔로지스틱스,20201021,2065
204,A009180,한솔로지스틱스,20201020,2030
205,A009180,한솔로지스틱스,20201019,2040
206,A009180,한솔로지스틱스,20201016,2000
207,A009180,한솔로지스틱스,20201015,2040
208,A009180,한솔로지스틱스,20201014,2075
209,A009180,한솔로지스틱스,20201013,2050
210,A009180,한솔로지스틱스,20201012,2050
211,A009180,한솔로지스틱스,20201008,2065
212,A009180,한솔로지스틱스,20201007,2055
213,A009180,한솔로지스틱스,20201006,1965
214,A009180,한솔로지스틱스,20201005,1990
215,A009180,한솔로지스틱스,20200929,1935
216,A009180,한솔로지스틱스,20200928,1910
217,A009180,한솔로지스틱스,20200925,1805
218,A009180,한솔로지스틱스,20200924,1790
219,A009180,한솔로지스틱스,20200923,1925
220,A009180,한솔로지스틱스,20200922,1900
221,A009180,한솔로지스틱스,20200921,2010
222,A009180,한솔로지스틱스,20200918,2075
223,A009180,한솔로지스틱스,20200917,2030
224,A009180,한솔로지스틱스,20200916,2095
225,A009180,한솔로지스틱스,20200915,2135
226,A009180,한솔로지스틱스,20200914,2150
227,A009180,한솔로지스틱스,20200911,2130
228,A009180,한솔로지스틱스,20200910,2145
229,A009180,한솔로지스틱스,20200909,2145
230,A009180,한솔로지스틱스,20200908,2175
231,A009180,한솔로지스틱스,20200907,2235
232,A009180,한솔로지스틱스,20200904,2260
233,A009180,한솔로지스틱스,20200903,2345
234,A009180,한솔로지스틱스,20200902,2395
235,A009180,한솔로지스틱스,20200901,2195
236,A009180,한솔로지스틱스,20200831,2280
237,A009180,한솔로지스틱스,20200828,2215
238,A009180,한솔로지스틱스,20200827,2175
239,A009180,한솔로지스틱스,20200826,2160
240,A009180,한솔로지스틱스,20200825,2055
241,A009180,한솔로지스틱스,20200824,2025
242,A009180,한솔로지스틱스,20200821,2010
243,A009180,한솔로지스틱스,20200820,2005
244,A009180,한솔로지스틱스,20200819,2240
245,A009180,한솔로지스틱스,20200818,2235
246,A009180,한솔로지스틱스,20200814,2190
247,A009180,한솔로지스틱스,20200813,2230
248,A009180,한솔로지스틱스,20200812,2180
249,A009180,한솔로지스틱스,20200811,2255
250,A009180,한솔로지스틱스,20200810,2310
251,A009180,한솔로지스틱스,20200807,2150
252,A009180,한솔로지스틱스,20200806,2160
253,A009180,한솔로지스틱스,20200805,2225
254,A009180,한솔로지스틱스,20200804,2210
255,A009180,한솔로지스틱스,20200803,2160
256,A009180,한솔로지스틱스,20200731,2195
257,A009180,한솔로지스틱스,20200730,1960
258,A009180,한솔로지스틱스,20200729,2045
259,A009180,한솔로지스틱스,20200728,1910
260,A009180,한솔로지스틱스,20200727,1995
261,A009180,한솔로지스틱스,20200724,1950
262,A009180,한솔로지스틱스,20200723,2000
263,A009180,한솔로지스틱스,20200722,1900
264,A009180,한솔로지스틱스,20200721,1930
265,A009180,한솔로지스틱스,20200720,1860
266,A009180,한솔로지스틱스,20200717,1770
267,A009180,한솔로지스틱스,20200716,1840
268,A009180,한솔로지스틱스,20200715,1845
269,A009180,한솔로지스틱스,20200714,1875
270,A009180,한솔로지스틱스,20200713,1950
271,A009180,한솔로지스틱스,20200710,1900
272,A009180,한솔로지스틱스,20200709,1805
273,A009180,한솔로지스틱스,20200708,1870
274,A009180,한솔로지스틱스,20200707,1800
275,A009180,한솔로지스틱스,20200706,1815
276,A009180,한솔로지스틱스,20200703,1765
277,A009180,한솔로지스틱스,20200702,1765
278,A009180,한솔로지스틱스,20200701,1745
279,A009180,한솔로지스틱스,20200630,1880
280,A009180,한솔로지스틱스,20200629,1800
281,A009180,한솔로지스틱스,20200626,1830
282,A009180,한솔로지스틱스,20200625,1940
283,A009180,한솔로지스틱스,20200624,1905
284,A009180,한솔로지스틱스,20200623,2120
285,A009180,한솔로지스틱스,20200622,1700
286,A009180,한솔로지스틱스,20200619,1535
287,A009180,한솔로지스틱스,20200618,1485
288,A009180,한솔로지스틱스,20200617,1460
289,A009180,한솔로지스틱스,20200616,1540
290,A009180,한솔로지스틱스,20200615,1350
291,A009180,한솔로지스틱스,20200612,1470
292,A009180,한솔로지스틱스,20200611,1525
293,A009180,한솔로지스틱스,20200610,1555
294,A009180,한솔로지스틱스,20200609,1560
295,A009180,한솔로지스틱스,20200608,1585
296,A009180,한솔로지스틱스,20200605,1605
297,A009180,한솔로지스틱스,20200604,1630
298,A009180,한솔로지스틱스,20200603,1520
299,A009180,한솔로지스틱스,20200602,1525
300,A009180,한솔로지스틱스,20200601,1480
301,A009180,한솔로지스틱스,20200529,1465
302,A009180,한솔로지스틱스,20200528,1475
303,A009180,한솔로지스틱스,20200527,1515
304,A009180,한솔로지스틱스,20200526,1495
305,A009180,한솔로지스틱스,20200525,1500
306,A009180,한솔로지스틱스,20200522,1450
307,A009180,한솔로지스틱스,20200521,1480
308,A009180,한솔로지스틱스,20200520,1495
309,A009180,한솔로지스틱스,20200519,1500
310,A009180,한솔로지스틱스,20200518,1450
311,A009180,한솔로지스틱스,20200515,1440
312,A009180,한솔로지스틱스,20200514,1430
313,A009180,한솔로지스틱스,20200513,1435
314,A009180,한솔로지스틱스,20200512,1415
315,A009180,한솔로지스틱스,20200511,1450
316,A009180,한솔로지스틱스,20200508,1480
317,A009180,한솔로지스틱스,20200507,1450
318,A009180,한솔로지스틱스,20200506,1450
319,A009180,한솔로지스틱스,20200504,1435
320,A009180,한솔로지스틱스,20200429,1470
321,A009180,한솔로지스틱스,20200428,1370
322,A009180,한솔로지스틱스,20200427,1360
323,A009180,한솔로지스틱스,20200424,1325
324,A009180,한솔로지스틱스,20200423,1345
325,A009180,한솔로지스틱스,20200422,1310
326,A009180,한솔로지스틱스,20200421,1330
327,A009180,한솔로지스틱스,20200420,1355
328,A009180,한솔로지스틱스,20200417,1350
329,A009180,한솔로지스틱스,20200416,1350
330,A009180,한솔로지스틱스,20200414,1285
331,A009180,한솔로지스틱스,20200413,1225
332,A009180,한솔로지스틱스,20200410,1280
333,A009180,한솔로지스틱스,20200409,1285
334,A009180,한솔로지스틱스,20200408,1260
335,A009180,한솔로지스틱스,20200407,1225
336,A009180,한솔로지스틱스,20200406,1200
337,A009180,한솔로지스틱스,20200403,1155
338,A009180,한솔로지스틱스,20200402,1145
339,A009180,한솔로지스틱스,20200401,1105
340,A009180,한솔로지스틱스,20200331,1115
341,A009180,한솔로지스틱스,20200330,1055
342,A009180,한솔로지스틱스,20200327,1015
343,A009180,한솔로지스틱스,20200326,1020
344,A009180,한솔로지스틱스,20200325,949
345,A009180,한솔로지스틱스,20200324,904
346,A009180,한솔로지스틱스,20200323,840
347,A009180,한솔로지스틱스,20200320,912
348,A009180,한솔로지스틱스,20200319,871
349,A009180,한솔로지스틱스,20200318,1025
350,A009180,한솔로지스틱스,20200317,1080
351,A009180,한솔로지스틱스,20200316,1075
352,A009180,한솔로지스틱스,20200313,1165
353,A009180,한솔로지스틱스,20200312,1225
354,A009180,한솔로지스틱스,20200311,1365
355,A009180,한솔로지스틱스,20200310,1425
356,A009180,한솔로지스틱스,20200309,1400
357,A009180,한솔로지스틱스,20200306,1485
358,A009180,한솔로지스틱스,20200305,1550
359,A009180,한솔로지스틱스,20200304,1545
360,A009180,한솔로지스틱스,20200303,1480
361,A009180,한솔로지스틱스,20200302,1490
362,A009180,한솔로지스틱스,20200228,1490
363,A009180,한솔로지스틱스,20200227,1570
364,A009180,한솔로지스틱스,20200226,1555
