,종목코드,종목명,날짜,종가
0,A008690,한양,20210812,47000
1,A008690,한양,20210811,47000
2,A008690,한양,20210810,49350
3,A008690,한양,20210809,46600
4,A008690,한양,20210806,51700
5,A008690,한양,20210805,51700
6,A008690,한양,20210804,51700
7,A008690,한양,20210803,51800
8,A008690,한양,20210802,51800
9,A008690,한양,20210730,51800
10,A008690,한양,20210729,49000
11,A008690,한양,20210728,49000
12,A008690,한양,20210727,47150
13,A008690,한양,20210726,40600
14,A008690,한양,20210723,50300
15,A008690,한양,20210722,50300
16,A008690,한양,20210721,50300
17,A008690,한양,20210720,50300
18,A008690,한양,20210719,50300
19,A008690,한양,20210716,50300
20,A008690,한양,20210715,50300
21,A008690,한양,20210714,50300
22,A008690,한양,20210713,50300
23,A008690,한양,20210712,50300
24,A008690,한양,20210709,50300
25,A008690,한양,20210708,50300
26,A008690,한양,20210707,50300
27,A008690,한양,20210706,50300
28,A008690,한양,20210705,50300
29,A008690,한양,20210702,50300
30,A008690,한양,20210701,50100
31,A008690,한양,20210630,51900
32,A008690,한양,20210629,52000
33,A008690,한양,20210628,52000
34,A008690,한양,20210625,52000
35,A008690,한양,20210624,55000
36,A008690,한양,20210623,55000
37,A008690,한양,20210622,55000
38,A008690,한양,20210621,55000
39,A008690,한양,20210618,55000
40,A008690,한양,20210617,55000
41,A008690,한양,20210616,55000
42,A008690,한양,20210615,55000
43,A008690,한양,20210614,55000
44,A008690,한양,20210611,55000
45,A008690,한양,20210610,55000
46,A008690,한양,20210609,55000
47,A008690,한양,20210608,55000
48,A008690,한양,20210607,55000
49,A008690,한양,20210604,51000
50,A008690,한양,20210603,51100
51,A008690,한양,20210602,51100
52,A008690,한양,20210601,50500
53,A008690,한양,20210531,52000
54,A008690,한양,20210528,51400
55,A008690,한양,20210527,51000
56,A008690,한양,20210526,53000
57,A008690,한양,20210525,53000
58,A008690,한양,20210524,52000
59,A008690,한양,20210521,51000
60,A008690,한양,20210520,50700
61,A008690,한양,20210518,50800
62,A008690,한양,20210517,50000
63,A008690,한양,20210514,51000
64,A008690,한양,20210513,52000
65,A008690,한양,20210512,52000
66,A008690,한양,20210511,51000
67,A008690,한양,20210510,50000
68,A008690,한양,20210507,50000
69,A008690,한양,20210506,50000
70,A008690,한양,20210504,53500
71,A008690,한양,20210503,54000
72,A008690,한양,20210430,54000
73,A008690,한양,20210429,54600
74,A008690,한양,20210428,54500
75,A008690,한양,20210427,54500
76,A008690,한양,20210426,54100
77,A008690,한양,20210423,53700
78,A008690,한양,20210422,53500
79,A008690,한양,20210421,53000
80,A008690,한양,20210420,53000
81,A008690,한양,20210419,53000
82,A008690,한양,20210416,51500
83,A008690,한양,20210415,51500
84,A008690,한양,20210414,50000
85,A008690,한양,20210413,46000
86,A008690,한양,20210412,46000
87,A008690,한양,20210409,46000
88,A008690,한양,20210408,46000
89,A008690,한양,20210407,46000
90,A008690,한양,20210406,46000
91,A008690,한양,20210405,45200
92,A008690,한양,20210402,45100
93,A008690,한양,20210401,45100
94,A008690,한양,20210331,45600
95,A008690,한양,20210330,45000
96,A008690,한양,20210329,50000
97,A008690,한양,20210326,50000
98,A008690,한양,20210325,49500
99,A008690,한양,20210324,49500
100,A008690,한양,20210323,50000
101,A008690,한양,20210322,50000
102,A008690,한양,20210319,50000
103,A008690,한양,20210318,51000
104,A008690,한양,20210317,51000
105,A008690,한양,20210316,51000
106,A008690,한양,20210315,50000
107,A008690,한양,20210312,51700
108,A008690,한양,20210311,51700
109,A008690,한양,20210310,51700
110,A008690,한양,20210309,50000
111,A008690,한양,20210308,51000
112,A008690,한양,20210305,51000
113,A008690,한양,20210304,51000
114,A008690,한양,20210303,49100
115,A008690,한양,20210302,49000
116,A008690,한양,20210226,51900
117,A008690,한양,20210225,49000
118,A008690,한양,20210224,53000
119,A008690,한양,20210223,53000
120,A008690,한양,20210222,50000
121,A008690,한양,20210219,53000
122,A008690,한양,20210218,53000
123,A008690,한양,20210217,48100
124,A008690,한양,20210216,50600
125,A008690,한양,20210215,52000
126,A008690,한양,20210210,52000
127,A008690,한양,20210209,52000
128,A008690,한양,20210208,48800
129,A008690,한양,20210205,48200
130,A008690,한양,20210204,50500
131,A008690,한양,20210203,51000
132,A008690,한양,20210202,52500
133,A008690,한양,20210201,53000
134,A008690,한양,20210129,45300
135,A008690,한양,20210128,45200
136,A008690,한양,20210127,45000
137,A008690,한양,20210126,45100
138,A008690,한양,20210125,49650
139,A008690,한양,20210122,53000
140,A008690,한양,20210121,46000
141,A008690,한양,20210120,50900
142,A008690,한양,20210119,49900
143,A008690,한양,20210118,50000
144,A008690,한양,20210115,50000
145,A008690,한양,20210114,50000
146,A008690,한양,20210113,49900
147,A008690,한양,20210112,49900
148,A008690,한양,20210111,49900
149,A008690,한양,20210108,49900
150,A008690,한양,20210107,49900
151,A008690,한양,20210106,49900
152,A008690,한양,20210105,49900
153,A008690,한양,20210104,49900
154,A008690,한양,20201230,49900
155,A008690,한양,20201229,43500
156,A008690,한양,20201228,43500
