,종목코드,종목명,날짜,종가
0,A045100,한양이엔지,20210812,17200
1,A045100,한양이엔지,20210811,17100
2,A045100,한양이엔지,20210810,17500
3,A045100,한양이엔지,20210809,17900
4,A045100,한양이엔지,20210806,17700
5,A045100,한양이엔지,20210805,17500
6,A045100,한양이엔지,20210804,17300
7,A045100,한양이엔지,20210803,17200
8,A045100,한양이엔지,20210802,17000
9,A045100,한양이엔지,20210730,16900
10,A045100,한양이엔지,20210729,17200
11,A045100,한양이엔지,20210728,17200
12,A045100,한양이엔지,20210727,17400
13,A045100,한양이엔지,20210726,17250
14,A045100,한양이엔지,20210723,17650
15,A045100,한양이엔지,20210722,17950
16,A045100,한양이엔지,20210721,17050
17,A045100,한양이엔지,20210720,17200
18,A045100,한양이엔지,20210719,17250
19,A045100,한양이엔지,20210716,17550
20,A045100,한양이엔지,20210715,17750
21,A045100,한양이엔지,20210714,17250
22,A045100,한양이엔지,20210713,17450
23,A045100,한양이엔지,20210712,17150
24,A045100,한양이엔지,20210709,16950
25,A045100,한양이엔지,20210708,17350
26,A045100,한양이엔지,20210707,17700
27,A045100,한양이엔지,20210706,17900
28,A045100,한양이엔지,20210705,17850
29,A045100,한양이엔지,20210702,17650
30,A045100,한양이엔지,20210701,17700
31,A045100,한양이엔지,20210630,17900
32,A045100,한양이엔지,20210629,18000
33,A045100,한양이엔지,20210628,17850
34,A045100,한양이엔지,20210625,17800
35,A045100,한양이엔지,20210624,17650
36,A045100,한양이엔지,20210623,17600
37,A045100,한양이엔지,20210622,17750
38,A045100,한양이엔지,20210621,18000
39,A045100,한양이엔지,20210618,18250
40,A045100,한양이엔지,20210617,18250
41,A045100,한양이엔지,20210616,18200
42,A045100,한양이엔지,20210615,18200
43,A045100,한양이엔지,20210614,18500
44,A045100,한양이엔지,20210611,18900
45,A045100,한양이엔지,20210610,18600
46,A045100,한양이엔지,20210609,18600
47,A045100,한양이엔지,20210608,18900
48,A045100,한양이엔지,20210607,19500
49,A045100,한양이엔지,20210604,18550
50,A045100,한양이엔지,20210603,18650
51,A045100,한양이엔지,20210602,18450
52,A045100,한양이엔지,20210601,18700
53,A045100,한양이엔지,20210531,18550
54,A045100,한양이엔지,20210528,18600
55,A045100,한양이엔지,20210527,18600
56,A045100,한양이엔지,20210526,18800
57,A045100,한양이엔지,20210525,18700
58,A045100,한양이엔지,20210524,18900
59,A045100,한양이엔지,20210521,20000
60,A045100,한양이엔지,20210520,20950
