,종목코드,종목명,날짜,종가
0,A086960,한컴MDS,20210812,22700
1,A086960,한컴MDS,20210811,22500
2,A086960,한컴MDS,20210810,23350
3,A086960,한컴MDS,20210809,24200
4,A086960,한컴MDS,20210806,23600
5,A086960,한컴MDS,20210805,23350
6,A086960,한컴MDS,20210804,23400
7,A086960,한컴MDS,20210803,22250
8,A086960,한컴MDS,20210802,22800
9,A086960,한컴MDS,20210730,22800
10,A086960,한컴MDS,20210729,23900
11,A086960,한컴MDS,20210728,24250
12,A086960,한컴MDS,20210727,25900
13,A086960,한컴MDS,20210726,26650
14,A086960,한컴MDS,20210723,24700
15,A086960,한컴MDS,20210722,23850
16,A086960,한컴MDS,20210721,26050
17,A086960,한컴MDS,20210720,25650
18,A086960,한컴MDS,20210719,25150
19,A086960,한컴MDS,20210716,24600
20,A086960,한컴MDS,20210715,23200
21,A086960,한컴MDS,20210714,21400
22,A086960,한컴MDS,20210713,22200
23,A086960,한컴MDS,20210712,21800
24,A086960,한컴MDS,20210709,21500
25,A086960,한컴MDS,20210708,20800
26,A086960,한컴MDS,20210707,21800
27,A086960,한컴MDS,20210706,21850
28,A086960,한컴MDS,20210705,21700
29,A086960,한컴MDS,20210702,17800
30,A086960,한컴MDS,20210701,16800
31,A086960,한컴MDS,20210630,16150
32,A086960,한컴MDS,20210629,16050
33,A086960,한컴MDS,20210628,16000
34,A086960,한컴MDS,20210625,16000
35,A086960,한컴MDS,20210624,16100
36,A086960,한컴MDS,20210623,16400
37,A086960,한컴MDS,20210622,16600
38,A086960,한컴MDS,20210621,16250
39,A086960,한컴MDS,20210618,16500
40,A086960,한컴MDS,20210617,16300
41,A086960,한컴MDS,20210616,16400
42,A086960,한컴MDS,20210615,16250
43,A086960,한컴MDS,20210614,16650
44,A086960,한컴MDS,20210611,16750
45,A086960,한컴MDS,20210610,16850
46,A086960,한컴MDS,20210609,16550
47,A086960,한컴MDS,20210608,17200
48,A086960,한컴MDS,20210607,17300
49,A086960,한컴MDS,20210604,17050
50,A086960,한컴MDS,20210603,16400
51,A086960,한컴MDS,20210602,16550
52,A086960,한컴MDS,20210601,16450
53,A086960,한컴MDS,20210531,15950
54,A086960,한컴MDS,20210528,16000
55,A086960,한컴MDS,20210527,16200
56,A086960,한컴MDS,20210526,16350
57,A086960,한컴MDS,20210525,16750
58,A086960,한컴MDS,20210524,16800
59,A086960,한컴MDS,20210521,16050
60,A086960,한컴MDS,20210520,16200
61,A086960,한컴MDS,20210518,16000
62,A086960,한컴MDS,20210517,16000
63,A086960,한컴MDS,20210514,16500
64,A086960,한컴MDS,20210513,16250
65,A086960,한컴MDS,20210512,16000
66,A086960,한컴MDS,20210511,16000
67,A086960,한컴MDS,20210510,16150
68,A086960,한컴MDS,20210507,15950
69,A086960,한컴MDS,20210506,15850
70,A086960,한컴MDS,20210504,15600
71,A086960,한컴MDS,20210503,15450
72,A086960,한컴MDS,20210430,15850
73,A086960,한컴MDS,20210429,16000
74,A086960,한컴MDS,20210428,15650
75,A086960,한컴MDS,20210427,16100
76,A086960,한컴MDS,20210426,16100
77,A086960,한컴MDS,20210423,15750
78,A086960,한컴MDS,20210422,15950
79,A086960,한컴MDS,20210421,16200
80,A086960,한컴MDS,20210420,16600
81,A086960,한컴MDS,20210419,16500
82,A086960,한컴MDS,20210416,16800
83,A086960,한컴MDS,20210415,16550
84,A086960,한컴MDS,20210414,16450
85,A086960,한컴MDS,20210413,16600
86,A086960,한컴MDS,20210412,16000
87,A086960,한컴MDS,20210409,15950
88,A086960,한컴MDS,20210408,16100
89,A086960,한컴MDS,20210407,16050
90,A086960,한컴MDS,20210406,15900
91,A086960,한컴MDS,20210405,16050
92,A086960,한컴MDS,20210402,15350
93,A086960,한컴MDS,20210401,15600
94,A086960,한컴MDS,20210331,15550
95,A086960,한컴MDS,20210330,14500
96,A086960,한컴MDS,20210329,14600
97,A086960,한컴MDS,20210326,14650
98,A086960,한컴MDS,20210325,14650
99,A086960,한컴MDS,20210324,14700
100,A086960,한컴MDS,20210323,14550
101,A086960,한컴MDS,20210322,14800
102,A086960,한컴MDS,20210319,14900
103,A086960,한컴MDS,20210318,14950
104,A086960,한컴MDS,20210317,15050
105,A086960,한컴MDS,20210316,15050
106,A086960,한컴MDS,20210315,15000
