,종목코드,종목명,날짜,종가
0,A002680,한탑,20210812,1640
1,A002680,한탑,20210811,1630
2,A002680,한탑,20210810,1750
3,A002680,한탑,20210809,1770
4,A002680,한탑,20210806,1785
5,A002680,한탑,20210805,1795
6,A002680,한탑,20210804,1795
7,A002680,한탑,20210803,1735
8,A002680,한탑,20210802,1770
9,A002680,한탑,20210730,1720
10,A002680,한탑,20210729,1790
11,A002680,한탑,20210728,1730
12,A002680,한탑,20210727,1755
13,A002680,한탑,20210726,1690
14,A002680,한탑,20210723,1735
15,A002680,한탑,20210722,1730
16,A002680,한탑,20210721,1725
17,A002680,한탑,20210720,1735
18,A002680,한탑,20210719,1720
19,A002680,한탑,20210716,1750
20,A002680,한탑,20210715,1755
21,A002680,한탑,20210714,1750
22,A002680,한탑,20210713,1735
23,A002680,한탑,20210712,1725
24,A002680,한탑,20210709,1710
25,A002680,한탑,20210708,1745
26,A002680,한탑,20210707,1760
27,A002680,한탑,20210706,1810
28,A002680,한탑,20210705,1805
29,A002680,한탑,20210702,1785
30,A002680,한탑,20210701,1785
31,A002680,한탑,20210630,1800
32,A002680,한탑,20210629,1775
33,A002680,한탑,20210628,1780
34,A002680,한탑,20210625,1780
35,A002680,한탑,20210624,1760
36,A002680,한탑,20210623,1790
37,A002680,한탑,20210622,1815
38,A002680,한탑,20210621,1835
39,A002680,한탑,20210618,1850
40,A002680,한탑,20210617,1870
41,A002680,한탑,20210616,1870
42,A002680,한탑,20210615,1830
43,A002680,한탑,20210614,1825
44,A002680,한탑,20210611,1805
45,A002680,한탑,20210610,1805
46,A002680,한탑,20210609,1810
47,A002680,한탑,20210608,1805
48,A002680,한탑,20210607,1820
49,A002680,한탑,20210604,1835
50,A002680,한탑,20210603,1825
51,A002680,한탑,20210602,1860
52,A002680,한탑,20210601,1820
53,A002680,한탑,20210531,1805
54,A002680,한탑,20210528,1800
55,A002680,한탑,20210527,1800
56,A002680,한탑,20210526,1810
57,A002680,한탑,20210525,1775
58,A002680,한탑,20210524,1705
59,A002680,한탑,20210521,1790
60,A002680,한탑,20210520,1780
61,A002680,한탑,20210518,1835
62,A002680,한탑,20210517,1800
63,A002680,한탑,20210514,1840
64,A002680,한탑,20210513,1785
65,A002680,한탑,20210512,2155
66,A002680,한탑,20210511,1660
67,A002680,한탑,20210510,1650
68,A002680,한탑,20210507,1610
69,A002680,한탑,20210506,1630
70,A002680,한탑,20210504,1615
71,A002680,한탑,20210503,1620
72,A002680,한탑,20210430,1555
73,A002680,한탑,20210429,1550
74,A002680,한탑,20210428,1575
75,A002680,한탑,20210427,1615
76,A002680,한탑,20210426,1565
77,A002680,한탑,20210423,1520
78,A002680,한탑,20210422,1550
79,A002680,한탑,20210421,1530
80,A002680,한탑,20210420,1550
81,A002680,한탑,20210419,1495
82,A002680,한탑,20210416,1590
83,A002680,한탑,20210415,1600
84,A002680,한탑,20210414,1635
85,A002680,한탑,20210413,1660
86,A002680,한탑,20210412,1655
87,A002680,한탑,20210409,1655
88,A002680,한탑,20210408,1655
89,A002680,한탑,20210407,1665
90,A002680,한탑,20210406,1670
91,A002680,한탑,20210405,1670
92,A002680,한탑,20210402,1700
93,A002680,한탑,20210401,1735
94,A002680,한탑,20210331,1720
95,A002680,한탑,20210330,1720
96,A002680,한탑,20210329,1675
97,A002680,한탑,20210326,1730
98,A002680,한탑,20210325,1700
99,A002680,한탑,20210324,1715
100,A002680,한탑,20210323,1820
101,A002680,한탑,20210322,1850
102,A002680,한탑,20210319,2025
103,A002680,한탑,20210318,1910
104,A002680,한탑,20210317,1880
105,A002680,한탑,20210316,1925
106,A002680,한탑,20210315,1900
107,A002680,한탑,20210312,1870
108,A002680,한탑,20210311,1920
109,A002680,한탑,20210310,1800
110,A002680,한탑,20210309,1920
111,A002680,한탑,20210308,1910
112,A002680,한탑,20210305,2080
113,A002680,한탑,20210304,2240
114,A002680,한탑,20210303,2400
115,A002680,한탑,20210302,2400
116,A002680,한탑,20210226,2330
117,A002680,한탑,20210225,2150
118,A002680,한탑,20210224,2120
119,A002680,한탑,20210223,2250
120,A002680,한탑,20210222,2300
121,A002680,한탑,20210219,2330
122,A002680,한탑,20210218,2410
123,A002680,한탑,20210217,2380
124,A002680,한탑,20210216,2395
125,A002680,한탑,20210215,2385
126,A002680,한탑,20210210,2340
127,A002680,한탑,20210209,2290
128,A002680,한탑,20210208,2510
