,종목코드,종목명,날짜,종가
0,A016790,현대사료,20210812,16850
1,A016790,현대사료,20210811,16700
2,A016790,현대사료,20210810,17500
3,A016790,현대사료,20210809,17900
4,A016790,현대사료,20210806,18200
5,A016790,현대사료,20210805,17650
6,A016790,현대사료,20210804,17900
7,A016790,현대사료,20210803,17950
8,A016790,현대사료,20210802,17850
9,A016790,현대사료,20210730,18850
10,A016790,현대사료,20210729,17750
11,A016790,현대사료,20210728,17050
12,A016790,현대사료,20210727,16950
13,A016790,현대사료,20210726,16250
14,A016790,현대사료,20210723,16350
15,A016790,현대사료,20210722,16250
16,A016790,현대사료,20210721,16300
17,A016790,현대사료,20210720,16600
18,A016790,현대사료,20210719,16450
19,A016790,현대사료,20210716,16750
20,A016790,현대사료,20210715,16800
21,A016790,현대사료,20210714,16800
22,A016790,현대사료,20210713,16850
23,A016790,현대사료,20210712,16550
24,A016790,현대사료,20210709,16400
25,A016790,현대사료,20210708,16750
26,A016790,현대사료,20210707,17150
27,A016790,현대사료,20210706,17550
28,A016790,현대사료,20210705,17400
29,A016790,현대사료,20210702,17600
30,A016790,현대사료,20210701,17800
31,A016790,현대사료,20210630,17650
32,A016790,현대사료,20210629,17500
33,A016790,현대사료,20210628,17800
34,A016790,현대사료,20210625,17750
35,A016790,현대사료,20210624,18000
36,A016790,현대사료,20210623,17800
37,A016790,현대사료,20210622,18250
38,A016790,현대사료,20210621,18500
39,A016790,현대사료,20210618,19200
40,A016790,현대사료,20210617,18700
41,A016790,현대사료,20210616,18750
42,A016790,현대사료,20210615,18350
43,A016790,현대사료,20210614,18250
44,A016790,현대사료,20210611,18550
45,A016790,현대사료,20210610,17950
46,A016790,현대사료,20210609,18250
47,A016790,현대사료,20210608,18100
48,A016790,현대사료,20210607,18200
49,A016790,현대사료,20210604,18750
50,A016790,현대사료,20210603,18150
51,A016790,현대사료,20210602,17950
52,A016790,현대사료,20210601,18000
53,A016790,현대사료,20210531,17650
54,A016790,현대사료,20210528,17650
55,A016790,현대사료,20210527,17500
56,A016790,현대사료,20210526,17900
57,A016790,현대사료,20210525,18150
58,A016790,현대사료,20210524,16950
59,A016790,현대사료,20210521,17800
60,A016790,현대사료,20210520,18650
61,A016790,현대사료,20210518,18300
62,A016790,현대사료,20210517,18050
63,A016790,현대사료,20210514,18150
64,A016790,현대사료,20210513,19100
65,A016790,현대사료,20210512,18850
66,A016790,현대사료,20210511,19250
67,A016790,현대사료,20210510,19500
68,A016790,현대사료,20210507,19750
69,A016790,현대사료,20210506,20050
70,A016790,현대사료,20210504,20150
71,A016790,현대사료,20210503,20250
72,A016790,현대사료,20210430,17050
73,A016790,현대사료,20210429,16050
74,A016790,현대사료,20210428,16800
75,A016790,현대사료,20210427,16600
76,A016790,현대사료,20210426,15550
77,A016790,현대사료,20210423,15650
78,A016790,현대사료,20210422,15600
79,A016790,현대사료,20210421,15550
80,A016790,현대사료,20210420,15500
81,A016790,현대사료,20210419,15250
82,A016790,현대사료,20210416,15950
83,A016790,현대사료,20210415,15950
84,A016790,현대사료,20210414,16300
85,A016790,현대사료,20210413,16900
86,A016790,현대사료,20210412,16450
87,A016790,현대사료,20210409,16550
88,A016790,현대사료,20210408,16100
89,A016790,현대사료,20210407,16100
90,A016790,현대사료,20210406,16000
91,A016790,현대사료,20210405,16100
92,A016790,현대사료,20210402,16200
93,A016790,현대사료,20210401,15950
94,A016790,현대사료,20210331,15950
95,A016790,현대사료,20210330,15700
96,A016790,현대사료,20210329,15750
97,A016790,현대사료,20210326,15800
98,A016790,현대사료,20210325,15900
99,A016790,현대사료,20210324,16050
100,A016790,현대사료,20210323,16050
101,A016790,현대사료,20210322,16500
102,A016790,현대사료,20210319,16400
103,A016790,현대사료,20210318,16450
104,A016790,현대사료,20210317,17000
105,A016790,현대사료,20210316,14300
106,A016790,현대사료,20210315,14400
107,A016790,현대사료,20210312,14450
108,A016790,현대사료,20210311,14450
109,A016790,현대사료,20210310,14500
110,A016790,현대사료,20210309,14200
111,A016790,현대사료,20210308,14150
112,A016790,현대사료,20210305,14100
113,A016790,현대사료,20210304,13850
114,A016790,현대사료,20210303,13700
115,A016790,현대사료,20210302,12950
116,A016790,현대사료,20210226,13100
117,A016790,현대사료,20210225,13550
118,A016790,현대사료,20210224,13350
119,A016790,현대사료,20210223,14100
120,A016790,현대사료,20210222,14100
121,A016790,현대사료,20210219,13500
122,A016790,현대사료,20210218,13250
123,A016790,현대사료,20210217,13400
124,A016790,현대사료,20210216,13050
125,A016790,현대사료,20210215,13200
126,A016790,현대사료,20210210,12950
127,A016790,현대사료,20210209,13050
128,A016790,현대사료,20210208,12950
129,A016790,현대사료,20210205,13350
130,A016790,현대사료,20210204,13350
131,A016790,현대사료,20210203,13300
132,A016790,현대사료,20210202,13400
133,A016790,현대사료,20210201,13300
134,A016790,현대사료,20210129,13000
135,A016790,현대사료,20210128,13450
136,A016790,현대사료,20210127,14150
137,A016790,현대사료,20210126,14050
138,A016790,현대사료,20210125,14350
139,A016790,현대사료,20210122,14350
140,A016790,현대사료,20210121,14500
141,A016790,현대사료,20210120,14600
142,A016790,현대사료,20210119,14000
143,A016790,현대사료,20210118,13800
144,A016790,현대사료,20210115,13800
145,A016790,현대사료,20210114,13850
