,종목코드,종목명,날짜,종가
0,A307950,현대오토에버,20210812,129000
1,A307950,현대오토에버,20210811,125500
2,A307950,현대오토에버,20210810,126000
3,A307950,현대오토에버,20210809,128500
4,A307950,현대오토에버,20210806,127500
5,A307950,현대오토에버,20210805,130500
6,A307950,현대오토에버,20210804,130500
7,A307950,현대오토에버,20210803,130500
8,A307950,현대오토에버,20210802,124500
9,A307950,현대오토에버,20210730,128000
10,A307950,현대오토에버,20210729,130000
11,A307950,현대오토에버,20210728,126500
12,A307950,현대오토에버,20210727,121500
13,A307950,현대오토에버,20210726,124500
14,A307950,현대오토에버,20210723,123500
15,A307950,현대오토에버,20210722,123000
16,A307950,현대오토에버,20210721,123000
17,A307950,현대오토에버,20210720,124000
18,A307950,현대오토에버,20210719,125000
19,A307950,현대오토에버,20210716,123500
20,A307950,현대오토에버,20210715,126500
21,A307950,현대오토에버,20210714,125000
22,A307950,현대오토에버,20210713,128500
23,A307950,현대오토에버,20210712,128000
24,A307950,현대오토에버,20210709,128000
25,A307950,현대오토에버,20210708,126500
26,A307950,현대오토에버,20210707,129500
27,A307950,현대오토에버,20210706,128500
28,A307950,현대오토에버,20210705,132500
29,A307950,현대오토에버,20210702,132000
30,A307950,현대오토에버,20210701,139000
31,A307950,현대오토에버,20210630,135500
32,A307950,현대오토에버,20210629,137500
33,A307950,현대오토에버,20210628,138000
34,A307950,현대오토에버,20210625,143500
35,A307950,현대오토에버,20210624,142500
36,A307950,현대오토에버,20210623,134000
37,A307950,현대오토에버,20210622,134000
38,A307950,현대오토에버,20210621,132500
39,A307950,현대오토에버,20210618,134000
40,A307950,현대오토에버,20210617,128500
41,A307950,현대오토에버,20210616,128000
42,A307950,현대오토에버,20210615,125000
43,A307950,현대오토에버,20210614,120500
44,A307950,현대오토에버,20210611,124000
45,A307950,현대오토에버,20210610,122000
46,A307950,현대오토에버,20210609,120500
47,A307950,현대오토에버,20210608,122000
48,A307950,현대오토에버,20210607,119500
49,A307950,현대오토에버,20210604,108500
50,A307950,현대오토에버,20210603,108500
51,A307950,현대오토에버,20210602,108500
52,A307950,현대오토에버,20210601,111500
53,A307950,현대오토에버,20210531,113000
54,A307950,현대오토에버,20210528,113000
55,A307950,현대오토에버,20210527,112500
56,A307950,현대오토에버,20210526,106500
57,A307950,현대오토에버,20210525,105500
58,A307950,현대오토에버,20210524,105500
59,A307950,현대오토에버,20210521,106000
60,A307950,현대오토에버,20210520,105000
61,A307950,현대오토에버,20210518,106500
62,A307950,현대오토에버,20210517,105000
63,A307950,현대오토에버,20210514,109000
64,A307950,현대오토에버,20210513,107000
65,A307950,현대오토에버,20210512,109000
66,A307950,현대오토에버,20210511,109500
67,A307950,현대오토에버,20210510,113000
68,A307950,현대오토에버,20210507,107500
69,A307950,현대오토에버,20210506,105500
70,A307950,현대오토에버,20210504,104500
71,A307950,현대오토에버,20210503,102500
72,A307950,현대오토에버,20210430,103500
73,A307950,현대오토에버,20210429,104000
74,A307950,현대오토에버,20210428,108000
75,A307950,현대오토에버,20210427,112000
76,A307950,현대오토에버,20210426,114500
77,A307950,현대오토에버,20210423,113500
78,A307950,현대오토에버,20210422,115500
79,A307950,현대오토에버,20210421,115500
80,A307950,현대오토에버,20210420,118000
81,A307950,현대오토에버,20210419,119000
82,A307950,현대오토에버,20210416,119500
83,A307950,현대오토에버,20210415,119000
84,A307950,현대오토에버,20210414,121000
85,A307950,현대오토에버,20210413,122000
86,A307950,현대오토에버,20210412,119000
87,A307950,현대오토에버,20210409,117500
88,A307950,현대오토에버,20210408,119000
89,A307950,현대오토에버,20210407,119000
90,A307950,현대오토에버,20210406,119500
91,A307950,현대오토에버,20210405,124000
92,A307950,현대오토에버,20210402,125500
93,A307950,현대오토에버,20210401,116000
94,A307950,현대오토에버,20210331,118000
95,A307950,현대오토에버,20210330,119500
96,A307950,현대오토에버,20210329,120500
97,A307950,현대오토에버,20210326,125000
98,A307950,현대오토에버,20210325,120500
99,A307950,현대오토에버,20210324,122500
100,A307950,현대오토에버,20210323,123500
101,A307950,현대오토에버,20210322,125500
102,A307950,현대오토에버,20210319,127000
103,A307950,현대오토에버,20210318,125000
104,A307950,현대오토에버,20210317,122000
105,A307950,현대오토에버,20210316,121000
106,A307950,현대오토에버,20210315,121000
107,A307950,현대오토에버,20210312,118500
108,A307950,현대오토에버,20210311,115500
109,A307950,현대오토에버,20210310,111000
110,A307950,현대오토에버,20210309,114000
111,A307950,현대오토에버,20210308,115500
112,A307950,현대오토에버,20210305,122500
113,A307950,현대오토에버,20210304,126500
114,A307950,현대오토에버,20210303,127500
115,A307950,현대오토에버,20210302,129500
116,A307950,현대오토에버,20210226,130000
117,A307950,현대오토에버,20210225,128500
118,A307950,현대오토에버,20210224,127000
119,A307950,현대오토에버,20210223,134500
120,A307950,현대오토에버,20210222,137000
121,A307950,현대오토에버,20210219,134500
122,A307950,현대오토에버,20210218,129000
123,A307950,현대오토에버,20210217,135500
124,A307950,현대오토에버,20210216,136000
125,A307950,현대오토에버,20210215,130500
126,A307950,현대오토에버,20210210,132000
127,A307950,현대오토에버,20210209,130000
128,A307950,현대오토에버,20210208,122000
129,A307950,현대오토에버,20210205,126500
130,A307950,현대오토에버,20210204,129500
131,A307950,현대오토에버,20210203,130500
132,A307950,현대오토에버,20210202,127000
133,A307950,현대오토에버,20210201,129500
134,A307950,현대오토에버,20210129,122500
135,A307950,현대오토에버,20210128,131000
136,A307950,현대오토에버,20210127,135000
137,A307950,현대오토에버,20210126,136500
138,A307950,현대오토에버,20210125,140000
139,A307950,현대오토에버,20210122,139500
140,A307950,현대오토에버,20210121,142500
141,A307950,현대오토에버,20210120,137500
142,A307950,현대오토에버,20210119,124000
143,A307950,현대오토에버,20210118,122000
144,A307950,현대오토에버,20210115,125000
145,A307950,현대오토에버,20210114,129500
146,A307950,현대오토에버,20210113,129500
147,A307950,현대오토에버,20210112,132000
148,A307950,현대오토에버,20210111,135500
149,A307950,현대오토에버,20210108,141500
150,A307950,현대오토에버,20210107,137500
151,A307950,현대오토에버,20210106,136500
152,A307950,현대오토에버,20210105,137500
153,A307950,현대오토에버,20210104,138500
154,A307950,현대오토에버,20201230,123500
155,A307950,현대오토에버,20201229,116500
156,A307950,현대오토에버,20201228,115500
157,A307950,현대오토에버,20201224,116000
158,A307950,현대오토에버,20201223,118000
159,A307950,현대오토에버,20201222,112500
160,A307950,현대오토에버,20201221,115500
161,A307950,현대오토에버,20201218,121500
162,A307950,현대오토에버,20201217,126000
163,A307950,현대오토에버,20201216,127500
164,A307950,현대오토에버,20201215,127500
165,A307950,현대오토에버,20201214,111500
166,A307950,현대오토에버,20201211,102000
167,A307950,현대오토에버,20201210,98500
168,A307950,현대오토에버,20201209,92500
169,A307950,현대오토에버,20201208,91200
170,A307950,현대오토에버,20201207,94000
171,A307950,현대오토에버,20201204,92200
172,A307950,현대오토에버,20201203,93400
173,A307950,현대오토에버,20201202,86700
174,A307950,현대오토에버,20201201,83900
175,A307950,현대오토에버,20201130,80400
176,A307950,현대오토에버,20201127,81000
177,A307950,현대오토에버,20201126,78700
178,A307950,현대오토에버,20201125,78600
179,A307950,현대오토에버,20201124,81000
180,A307950,현대오토에버,20201123,82900
181,A307950,현대오토에버,20201120,80700
182,A307950,현대오토에버,20201119,80200
183,A307950,현대오토에버,20201118,82600
184,A307950,현대오토에버,20201117,84600
185,A307950,현대오토에버,20201116,78700
186,A307950,현대오토에버,20201113,81000
187,A307950,현대오토에버,20201112,75800
188,A307950,현대오토에버,20201111,71300
189,A307950,현대오토에버,20201110,68000
190,A307950,현대오토에버,20201109,67400
191,A307950,현대오토에버,20201106,64600
192,A307950,현대오토에버,20201105,65300
193,A307950,현대오토에버,20201104,63800
194,A307950,현대오토에버,20201103,63900
195,A307950,현대오토에버,20201102,65000
196,A307950,현대오토에버,20201030,64500
197,A307950,현대오토에버,20201029,67500
198,A307950,현대오토에버,20201028,66700
199,A307950,현대오토에버,20201027,63300
200,A307950,현대오토에버,20201026,63600
201,A307950,현대오토에버,20201023,65100
202,A307950,현대오토에버,20201022,63000
203,A307950,현대오토에버,20201021,67000
204,A307950,현대오토에버,20201020,68400
205,A307950,현대오토에버,20201019,62900
206,A307950,현대오토에버,20201016,68000
207,A307950,현대오토에버,20201015,70800
208,A307950,현대오토에버,20201014,66500
209,A307950,현대오토에버,20201013,67900
210,A307950,현대오토에버,20201012,66900
211,A307950,현대오토에버,20201008,68500
212,A307950,현대오토에버,20201007,67700
213,A307950,현대오토에버,20201006,66200
214,A307950,현대오토에버,20201005,67200
215,A307950,현대오토에버,20200929,61900
216,A307950,현대오토에버,20200928,62500
217,A307950,현대오토에버,20200925,56700
218,A307950,현대오토에버,20200924,57500
219,A307950,현대오토에버,20200923,59200
220,A307950,현대오토에버,20200922,56000
221,A307950,현대오토에버,20200921,59100
222,A307950,현대오토에버,20200918,60300
223,A307950,현대오토에버,20200917,60500
224,A307950,현대오토에버,20200916,57900
225,A307950,현대오토에버,20200915,59100
226,A307950,현대오토에버,20200914,58000
227,A307950,현대오토에버,20200911,51900
228,A307950,현대오토에버,20200910,51300
229,A307950,현대오토에버,20200909,48200
230,A307950,현대오토에버,20200908,44350
231,A307950,현대오토에버,20200907,42900
232,A307950,현대오토에버,20200904,44000
233,A307950,현대오토에버,20200903,44700
234,A307950,현대오토에버,20200902,43200
235,A307950,현대오토에버,20200901,42850
236,A307950,현대오토에버,20200831,42300
237,A307950,현대오토에버,20200828,43300
238,A307950,현대오토에버,20200827,40400
239,A307950,현대오토에버,20200826,41600
240,A307950,현대오토에버,20200825,41100
241,A307950,현대오토에버,20200824,39200
242,A307950,현대오토에버,20200821,39400
243,A307950,현대오토에버,20200820,39600
244,A307950,현대오토에버,20200819,40950
245,A307950,현대오토에버,20200818,41000
246,A307950,현대오토에버,20200814,42800
247,A307950,현대오토에버,20200813,43650
248,A307950,현대오토에버,20200812,44400
249,A307950,현대오토에버,20200811,41900
250,A307950,현대오토에버,20200810,42500
251,A307950,현대오토에버,20200807,41200
252,A307950,현대오토에버,20200806,41000
253,A307950,현대오토에버,20200805,39200
254,A307950,현대오토에버,20200804,39500
255,A307950,현대오토에버,20200803,38800
256,A307950,현대오토에버,20200731,39750
257,A307950,현대오토에버,20200730,40350
258,A307950,현대오토에버,20200729,39350
259,A307950,현대오토에버,20200728,39350
260,A307950,현대오토에버,20200727,39350
261,A307950,현대오토에버,20200724,39250
262,A307950,현대오토에버,20200723,40150
263,A307950,현대오토에버,20200722,40000
264,A307950,현대오토에버,20200721,41100
265,A307950,현대오토에버,20200720,39900
266,A307950,현대오토에버,20200717,38800
267,A307950,현대오토에버,20200716,38350
268,A307950,현대오토에버,20200715,38000
269,A307950,현대오토에버,20200714,37700
270,A307950,현대오토에버,20200713,37400
271,A307950,현대오토에버,20200710,37000
272,A307950,현대오토에버,20200709,37650
273,A307950,현대오토에버,20200708,37600
274,A307950,현대오토에버,20200707,37300
275,A307950,현대오토에버,20200706,38250
276,A307950,현대오토에버,20200703,38300
277,A307950,현대오토에버,20200702,38150
278,A307950,현대오토에버,20200701,37600
279,A307950,현대오토에버,20200630,37550
280,A307950,현대오토에버,20200629,37350
281,A307950,현대오토에버,20200626,38250
282,A307950,현대오토에버,20200625,38750
283,A307950,현대오토에버,20200624,39200
284,A307950,현대오토에버,20200623,39700
285,A307950,현대오토에버,20200622,39400
286,A307950,현대오토에버,20200619,38500
287,A307950,현대오토에버,20200618,38750
288,A307950,현대오토에버,20200617,39400
289,A307950,현대오토에버,20200616,39600
290,A307950,현대오토에버,20200615,38450
291,A307950,현대오토에버,20200612,40200
292,A307950,현대오토에버,20200611,42100
293,A307950,현대오토에버,20200610,43350
294,A307950,현대오토에버,20200609,44600
295,A307950,현대오토에버,20200608,45000
296,A307950,현대오토에버,20200605,44900
297,A307950,현대오토에버,20200604,45300
298,A307950,현대오토에버,20200603,45300
299,A307950,현대오토에버,20200602,44750
300,A307950,현대오토에버,20200601,44950
301,A307950,현대오토에버,20200529,44900
302,A307950,현대오토에버,20200528,44950
303,A307950,현대오토에버,20200527,44400
304,A307950,현대오토에버,20200526,44800
305,A307950,현대오토에버,20200525,43750
306,A307950,현대오토에버,20200522,41000
307,A307950,현대오토에버,20200521,42450
308,A307950,현대오토에버,20200520,42950
309,A307950,현대오토에버,20200519,42650
310,A307950,현대오토에버,20200518,43100
311,A307950,현대오토에버,20200515,43950
312,A307950,현대오토에버,20200514,45450
313,A307950,현대오토에버,20200513,45200
314,A307950,현대오토에버,20200512,44900
315,A307950,현대오토에버,20200511,44600
316,A307950,현대오토에버,20200508,42750
317,A307950,현대오토에버,20200507,42200
318,A307950,현대오토에버,20200506,40750
319,A307950,현대오토에버,20200504,39450
320,A307950,현대오토에버,20200429,39450
321,A307950,현대오토에버,20200428,39150
322,A307950,현대오토에버,20200427,38650
323,A307950,현대오토에버,20200424,37750
324,A307950,현대오토에버,20200423,39250
325,A307950,현대오토에버,20200422,38800
326,A307950,현대오토에버,20200421,38400
327,A307950,현대오토에버,20200420,39000
328,A307950,현대오토에버,20200417,38450
329,A307950,현대오토에버,20200416,38200
330,A307950,현대오토에버,20200414,38000
331,A307950,현대오토에버,20200413,36450
332,A307950,현대오토에버,20200410,38850
333,A307950,현대오토에버,20200409,38650
334,A307950,현대오토에버,20200408,35850
335,A307950,현대오토에버,20200407,34450
336,A307950,현대오토에버,20200406,33850
337,A307950,현대오토에버,20200403,32900
338,A307950,현대오토에버,20200402,32700
339,A307950,현대오토에버,20200401,31800
340,A307950,현대오토에버,20200331,31450
341,A307950,현대오토에버,20200330,30800
342,A307950,현대오토에버,20200327,30950
343,A307950,현대오토에버,20200326,29100
344,A307950,현대오토에버,20200325,28000
345,A307950,현대오토에버,20200324,24350
346,A307950,현대오토에버,20200323,22600
347,A307950,현대오토에버,20200320,24350
348,A307950,현대오토에버,20200319,21800
349,A307950,현대오토에버,20200318,25300
350,A307950,현대오토에버,20200317,28450
351,A307950,현대오토에버,20200316,30000
352,A307950,현대오토에버,20200313,32250
353,A307950,현대오토에버,20200312,34500
354,A307950,현대오토에버,20200311,37300
355,A307950,현대오토에버,20200310,37900
356,A307950,현대오토에버,20200309,38800
357,A307950,현대오토에버,20200306,39500
358,A307950,현대오토에버,20200305,39350
359,A307950,현대오토에버,20200304,38650
360,A307950,현대오토에버,20200303,38100
361,A307950,현대오토에버,20200302,38450
362,A307950,현대오토에버,20200228,37100
363,A307950,현대오토에버,20200227,37750
364,A307950,현대오토에버,20200226,38900
