,종목코드,종목명,날짜,종가
0,A053660,현진소재,20210812,400
1,A053660,현진소재,20210811,400
2,A053660,현진소재,20210810,400
3,A053660,현진소재,20210809,400
4,A053660,현진소재,20210806,400
5,A053660,현진소재,20210805,400
6,A053660,현진소재,20210804,400
7,A053660,현진소재,20210803,400
8,A053660,현진소재,20210802,400
9,A053660,현진소재,20210730,400
10,A053660,현진소재,20210729,400
11,A053660,현진소재,20210728,400
12,A053660,현진소재,20210727,400
13,A053660,현진소재,20210726,400
14,A053660,현진소재,20210723,400
15,A053660,현진소재,20210722,400
16,A053660,현진소재,20210721,400
17,A053660,현진소재,20210720,400
18,A053660,현진소재,20210719,400
19,A053660,현진소재,20210716,400
20,A053660,현진소재,20210715,400
21,A053660,현진소재,20210714,400
22,A053660,현진소재,20210713,400
23,A053660,현진소재,20210712,400
24,A053660,현진소재,20210709,400
25,A053660,현진소재,20210708,400
26,A053660,현진소재,20210707,400
27,A053660,현진소재,20210706,400
28,A053660,현진소재,20210705,400
29,A053660,현진소재,20210702,400
30,A053660,현진소재,20210701,400
31,A053660,현진소재,20210630,400
32,A053660,현진소재,20210629,400
33,A053660,현진소재,20210628,400
34,A053660,현진소재,20210625,400
35,A053660,현진소재,20210624,400
36,A053660,현진소재,20210623,400
37,A053660,현진소재,20210622,400
38,A053660,현진소재,20210621,400
39,A053660,현진소재,20210618,400
40,A053660,현진소재,20210617,400
41,A053660,현진소재,20210616,400
42,A053660,현진소재,20210615,400
43,A053660,현진소재,20210614,400
44,A053660,현진소재,20210611,400
45,A053660,현진소재,20210610,400
46,A053660,현진소재,20210609,400
47,A053660,현진소재,20210608,400
48,A053660,현진소재,20210607,400
49,A053660,현진소재,20210604,400
50,A053660,현진소재,20210603,400
51,A053660,현진소재,20210602,400
52,A053660,현진소재,20210601,400
53,A053660,현진소재,20210531,400
54,A053660,현진소재,20210528,400
55,A053660,현진소재,20210527,400
56,A053660,현진소재,20210526,400
57,A053660,현진소재,20210525,400
58,A053660,현진소재,20210524,400
59,A053660,현진소재,20210521,400
60,A053660,현진소재,20210520,400
61,A053660,현진소재,20210518,400
62,A053660,현진소재,20210517,400
63,A053660,현진소재,20210514,400
64,A053660,현진소재,20210513,400
65,A053660,현진소재,20210512,400
66,A053660,현진소재,20210511,400
67,A053660,현진소재,20210510,400
68,A053660,현진소재,20210507,400
69,A053660,현진소재,20210506,400
70,A053660,현진소재,20210504,400
71,A053660,현진소재,20210503,400
72,A053660,현진소재,20210430,400
73,A053660,현진소재,20210429,400
74,A053660,현진소재,20210428,400
75,A053660,현진소재,20210427,400
76,A053660,현진소재,20210426,400
77,A053660,현진소재,20210423,400
78,A053660,현진소재,20210422,400
79,A053660,현진소재,20210421,400
80,A053660,현진소재,20210420,400
81,A053660,현진소재,20210419,400
82,A053660,현진소재,20210416,400
83,A053660,현진소재,20210415,400
84,A053660,현진소재,20210414,400
85,A053660,현진소재,20210413,400
86,A053660,현진소재,20210412,400
87,A053660,현진소재,20210409,400
88,A053660,현진소재,20210408,400
89,A053660,현진소재,20210407,400
90,A053660,현진소재,20210406,400
91,A053660,현진소재,20210405,400
92,A053660,현진소재,20210402,400
93,A053660,현진소재,20210401,400
94,A053660,현진소재,20210331,400
95,A053660,현진소재,20210330,400
96,A053660,현진소재,20210329,400
97,A053660,현진소재,20210326,400
98,A053660,현진소재,20210325,400
99,A053660,현진소재,20210324,400
100,A053660,현진소재,20210323,400
101,A053660,현진소재,20210322,400
102,A053660,현진소재,20210319,400
103,A053660,현진소재,20210318,400
104,A053660,현진소재,20210317,400
105,A053660,현진소재,20210316,400
106,A053660,현진소재,20210315,400
107,A053660,현진소재,20210312,400
108,A053660,현진소재,20210311,400
109,A053660,현진소재,20210310,400
110,A053660,현진소재,20210309,400
111,A053660,현진소재,20210308,400
112,A053660,현진소재,20210305,400
113,A053660,현진소재,20210304,400
114,A053660,현진소재,20210303,400
115,A053660,현진소재,20210302,400
116,A053660,현진소재,20210226,400
117,A053660,현진소재,20210225,400
118,A053660,현진소재,20210224,400
119,A053660,현진소재,20210223,400
120,A053660,현진소재,20210222,400
121,A053660,현진소재,20210219,400
122,A053660,현진소재,20210218,400
123,A053660,현진소재,20210217,400
124,A053660,현진소재,20210216,400
125,A053660,현진소재,20210215,400
126,A053660,현진소재,20210210,400
127,A053660,현진소재,20210209,400
128,A053660,현진소재,20210208,400
129,A053660,현진소재,20210205,400
130,A053660,현진소재,20210204,400
131,A053660,현진소재,20210203,400
132,A053660,현진소재,20210202,400
133,A053660,현진소재,20210201,400
134,A053660,현진소재,20210129,400
135,A053660,현진소재,20210128,400
136,A053660,현진소재,20210127,400
137,A053660,현진소재,20210126,400
138,A053660,현진소재,20210125,400
139,A053660,현진소재,20210122,400
140,A053660,현진소재,20210121,400
141,A053660,현진소재,20210120,400
142,A053660,현진소재,20210119,400
143,A053660,현진소재,20210118,400
144,A053660,현진소재,20210115,400
145,A053660,현진소재,20210114,400
146,A053660,현진소재,20210113,400
147,A053660,현진소재,20210112,400
148,A053660,현진소재,20210111,400
149,A053660,현진소재,20210108,400
150,A053660,현진소재,20210107,400
151,A053660,현진소재,20210106,400
152,A053660,현진소재,20210105,400
153,A053660,현진소재,20210104,400
154,A053660,현진소재,20201230,400
155,A053660,현진소재,20201229,400
156,A053660,현진소재,20201228,400
157,A053660,현진소재,20201224,400
158,A053660,현진소재,20201223,400
159,A053660,현진소재,20201222,400
160,A053660,현진소재,20201221,400
161,A053660,현진소재,20201218,400
162,A053660,현진소재,20201217,400
163,A053660,현진소재,20201216,400
164,A053660,현진소재,20201215,400
165,A053660,현진소재,20201214,400
166,A053660,현진소재,20201211,400
167,A053660,현진소재,20201210,400
168,A053660,현진소재,20201209,400
169,A053660,현진소재,20201208,400
170,A053660,현진소재,20201207,400
171,A053660,현진소재,20201204,400
172,A053660,현진소재,20201203,400
173,A053660,현진소재,20201202,400
174,A053660,현진소재,20201201,400
175,A053660,현진소재,20201130,400
176,A053660,현진소재,20201127,400
177,A053660,현진소재,20201126,400
178,A053660,현진소재,20201125,400
179,A053660,현진소재,20201124,400
180,A053660,현진소재,20201123,400
181,A053660,현진소재,20201120,400
182,A053660,현진소재,20201119,400
183,A053660,현진소재,20201118,400
184,A053660,현진소재,20201117,400
185,A053660,현진소재,20201116,400
186,A053660,현진소재,20201113,400
187,A053660,현진소재,20201112,400
188,A053660,현진소재,20201111,400
189,A053660,현진소재,20201110,400
190,A053660,현진소재,20201109,400
191,A053660,현진소재,20201106,400
192,A053660,현진소재,20201105,400
193,A053660,현진소재,20201104,400
194,A053660,현진소재,20201103,400
195,A053660,현진소재,20201102,400
196,A053660,현진소재,20201030,400
197,A053660,현진소재,20201029,400
198,A053660,현진소재,20201028,400
199,A053660,현진소재,20201027,400
200,A053660,현진소재,20201026,400
201,A053660,현진소재,20201023,400
202,A053660,현진소재,20201022,400
203,A053660,현진소재,20201021,400
204,A053660,현진소재,20201020,400
205,A053660,현진소재,20201019,400
206,A053660,현진소재,20201016,400
207,A053660,현진소재,20201015,400
208,A053660,현진소재,20201014,400
209,A053660,현진소재,20201013,400
210,A053660,현진소재,20201012,400
211,A053660,현진소재,20201008,400
212,A053660,현진소재,20201007,400
213,A053660,현진소재,20201006,400
214,A053660,현진소재,20201005,400
215,A053660,현진소재,20200929,400
216,A053660,현진소재,20200928,400
217,A053660,현진소재,20200925,400
218,A053660,현진소재,20200924,400
219,A053660,현진소재,20200923,400
220,A053660,현진소재,20200922,400
221,A053660,현진소재,20200921,400
222,A053660,현진소재,20200918,400
223,A053660,현진소재,20200917,400
224,A053660,현진소재,20200916,400
225,A053660,현진소재,20200915,400
226,A053660,현진소재,20200914,400
227,A053660,현진소재,20200911,400
228,A053660,현진소재,20200910,400
229,A053660,현진소재,20200909,400
230,A053660,현진소재,20200908,400
231,A053660,현진소재,20200907,400
232,A053660,현진소재,20200904,400
233,A053660,현진소재,20200903,400
234,A053660,현진소재,20200902,400
235,A053660,현진소재,20200901,400
236,A053660,현진소재,20200831,400
237,A053660,현진소재,20200828,400
238,A053660,현진소재,20200827,400
239,A053660,현진소재,20200826,400
240,A053660,현진소재,20200825,400
241,A053660,현진소재,20200824,400
242,A053660,현진소재,20200821,400
243,A053660,현진소재,20200820,400
244,A053660,현진소재,20200819,400
245,A053660,현진소재,20200818,400
246,A053660,현진소재,20200814,400
247,A053660,현진소재,20200813,400
248,A053660,현진소재,20200812,400
249,A053660,현진소재,20200811,400
250,A053660,현진소재,20200810,400
251,A053660,현진소재,20200807,400
252,A053660,현진소재,20200806,400
253,A053660,현진소재,20200805,400
254,A053660,현진소재,20200804,400
255,A053660,현진소재,20200803,400
256,A053660,현진소재,20200731,400
257,A053660,현진소재,20200730,400
258,A053660,현진소재,20200729,400
259,A053660,현진소재,20200728,400
260,A053660,현진소재,20200727,400
261,A053660,현진소재,20200724,400
262,A053660,현진소재,20200723,400
263,A053660,현진소재,20200722,400
264,A053660,현진소재,20200721,400
265,A053660,현진소재,20200720,400
266,A053660,현진소재,20200717,400
267,A053660,현진소재,20200716,400
268,A053660,현진소재,20200715,400
269,A053660,현진소재,20200714,400
270,A053660,현진소재,20200713,400
271,A053660,현진소재,20200710,400
272,A053660,현진소재,20200709,400
273,A053660,현진소재,20200708,400
274,A053660,현진소재,20200707,400
275,A053660,현진소재,20200706,400
276,A053660,현진소재,20200703,400
277,A053660,현진소재,20200702,400
278,A053660,현진소재,20200701,400
279,A053660,현진소재,20200630,400
280,A053660,현진소재,20200629,400
281,A053660,현진소재,20200626,400
282,A053660,현진소재,20200625,400
283,A053660,현진소재,20200624,400
284,A053660,현진소재,20200623,400
285,A053660,현진소재,20200622,400
286,A053660,현진소재,20200619,400
287,A053660,현진소재,20200618,400
288,A053660,현진소재,20200617,400
289,A053660,현진소재,20200616,400
290,A053660,현진소재,20200615,400
291,A053660,현진소재,20200612,400
292,A053660,현진소재,20200611,400
293,A053660,현진소재,20200610,400
294,A053660,현진소재,20200609,400
295,A053660,현진소재,20200608,400
296,A053660,현진소재,20200605,400
297,A053660,현진소재,20200604,400
298,A053660,현진소재,20200603,400
299,A053660,현진소재,20200602,400
300,A053660,현진소재,20200601,400
301,A053660,현진소재,20200529,400
302,A053660,현진소재,20200528,400
303,A053660,현진소재,20200527,400
304,A053660,현진소재,20200526,400
305,A053660,현진소재,20200525,400
306,A053660,현진소재,20200522,400
307,A053660,현진소재,20200521,400
308,A053660,현진소재,20200520,400
309,A053660,현진소재,20200519,400
310,A053660,현진소재,20200518,400
311,A053660,현진소재,20200515,400
312,A053660,현진소재,20200514,400
313,A053660,현진소재,20200513,400
314,A053660,현진소재,20200512,400
315,A053660,현진소재,20200511,400
