,종목코드,종목명,날짜,종가
0,A093240,형지엘리트,20210812,4480
1,A093240,형지엘리트,20210811,4445
2,A093240,형지엘리트,20210810,4415
3,A093240,형지엘리트,20210809,4570
4,A093240,형지엘리트,20210806,4570
5,A093240,형지엘리트,20210805,4490
6,A093240,형지엘리트,20210804,4350
7,A093240,형지엘리트,20210803,4320
8,A093240,형지엘리트,20210802,4585
9,A093240,형지엘리트,20210730,4680
10,A093240,형지엘리트,20210729,4595
11,A093240,형지엘리트,20210728,4640
12,A093240,형지엘리트,20210727,4770
13,A093240,형지엘리트,20210726,4565
14,A093240,형지엘리트,20210723,4790
15,A093240,형지엘리트,20210722,4845
16,A093240,형지엘리트,20210721,4720
17,A093240,형지엘리트,20210720,4895
18,A093240,형지엘리트,20210719,4910
19,A093240,형지엘리트,20210716,5150
20,A093240,형지엘리트,20210715,5150
21,A093240,형지엘리트,20210714,5230
22,A093240,형지엘리트,20210713,5210
23,A093240,형지엘리트,20210712,5200
24,A093240,형지엘리트,20210709,5190
25,A093240,형지엘리트,20210708,4995
26,A093240,형지엘리트,20210707,5200
27,A093240,형지엘리트,20210706,5240
28,A093240,형지엘리트,20210705,5260
29,A093240,형지엘리트,20210702,5540
30,A093240,형지엘리트,20210701,5530
31,A093240,형지엘리트,20210630,5590
32,A093240,형지엘리트,20210629,5930
33,A093240,형지엘리트,20210628,5840
34,A093240,형지엘리트,20210625,5710
35,A093240,형지엘리트,20210624,5790
36,A093240,형지엘리트,20210623,5600
37,A093240,형지엘리트,20210622,5650
38,A093240,형지엘리트,20210621,5590
39,A093240,형지엘리트,20210618,5710
40,A093240,형지엘리트,20210617,5600
41,A093240,형지엘리트,20210616,5420
42,A093240,형지엘리트,20210615,5330
43,A093240,형지엘리트,20210614,5310
44,A093240,형지엘리트,20210611,5380
45,A093240,형지엘리트,20210610,5490
46,A093240,형지엘리트,20210609,5300
47,A093240,형지엘리트,20210608,5410
48,A093240,형지엘리트,20210607,5390
49,A093240,형지엘리트,20210604,5600
50,A093240,형지엘리트,20210603,5510
51,A093240,형지엘리트,20210602,5300
52,A093240,형지엘리트,20210601,5250
53,A093240,형지엘리트,20210531,5090
54,A093240,형지엘리트,20210528,5170
55,A093240,형지엘리트,20210527,5260
56,A093240,형지엘리트,20210526,5120
57,A093240,형지엘리트,20210525,4985
58,A093240,형지엘리트,20210524,5010
59,A093240,형지엘리트,20210521,5190
60,A093240,형지엘리트,20210520,5140
61,A093240,형지엘리트,20210518,4900
62,A093240,형지엘리트,20210517,5030
63,A093240,형지엘리트,20210514,4900
64,A093240,형지엘리트,20210513,4540
65,A093240,형지엘리트,20210512,4625
66,A093240,형지엘리트,20210511,4715
67,A093240,형지엘리트,20210510,4705
68,A093240,형지엘리트,20210507,4695
69,A093240,형지엘리트,20210506,4585
70,A093240,형지엘리트,20210504,4600
71,A093240,형지엘리트,20210503,4535
72,A093240,형지엘리트,20210430,4550
73,A093240,형지엘리트,20210429,4710
74,A093240,형지엘리트,20210428,4775
75,A093240,형지엘리트,20210427,4540
76,A093240,형지엘리트,20210426,4700
77,A093240,형지엘리트,20210423,4835
78,A093240,형지엘리트,20210422,4910
79,A093240,형지엘리트,20210421,5030
80,A093240,형지엘리트,20210420,5030
81,A093240,형지엘리트,20210419,5170
82,A093240,형지엘리트,20210416,5330
83,A093240,형지엘리트,20210415,5240
84,A093240,형지엘리트,20210414,5230
85,A093240,형지엘리트,20210413,5030
86,A093240,형지엘리트,20210412,5150
87,A093240,형지엘리트,20210409,5210
88,A093240,형지엘리트,20210408,5110
89,A093240,형지엘리트,20210407,4740
90,A093240,형지엘리트,20210406,4695
91,A093240,형지엘리트,20210405,4795
92,A093240,형지엘리트,20210402,4490
93,A093240,형지엘리트,20210401,4355
94,A093240,형지엘리트,20210331,4330
95,A093240,형지엘리트,20210330,3975
96,A093240,형지엘리트,20210329,3940
97,A093240,형지엘리트,20210326,3825
98,A093240,형지엘리트,20210325,3990
99,A093240,형지엘리트,20210324,4200
100,A093240,형지엘리트,20210323,3660
101,A093240,형지엘리트,20210322,3900
102,A093240,형지엘리트,20210319,4025
103,A093240,형지엘리트,20210318,4010
104,A093240,형지엘리트,20210317,3905
105,A093240,형지엘리트,20210316,3905
106,A093240,형지엘리트,20210315,4025
107,A093240,형지엘리트,20210312,4125
108,A093240,형지엘리트,20210311,4145
109,A093240,형지엘리트,20210310,4050
110,A093240,형지엘리트,20210309,4140
111,A093240,형지엘리트,20210308,3855
112,A093240,형지엘리트,20210305,3980
113,A093240,형지엘리트,20210304,4025
114,A093240,형지엘리트,20210303,3820
115,A093240,형지엘리트,20210302,3795
116,A093240,형지엘리트,20210226,3870
117,A093240,형지엘리트,20210225,3920
118,A093240,형지엘리트,20210224,3610
119,A093240,형지엘리트,20210223,3835
120,A093240,형지엘리트,20210222,3915
121,A093240,형지엘리트,20210219,4010
122,A093240,형지엘리트,20210218,3995
123,A093240,형지엘리트,20210217,4135
124,A093240,형지엘리트,20210216,4145
125,A093240,형지엘리트,20210215,4170
126,A093240,형지엘리트,20210210,4255
127,A093240,형지엘리트,20210209,4150
128,A093240,형지엘리트,20210208,4010
129,A093240,형지엘리트,20210205,4095
130,A093240,형지엘리트,20210204,4190
131,A093240,형지엘리트,20210203,4250
132,A093240,형지엘리트,20210202,4335
133,A093240,형지엘리트,20210201,4305
134,A093240,형지엘리트,20210129,4325
135,A093240,형지엘리트,20210128,4670
136,A093240,형지엘리트,20210127,4790
137,A093240,형지엘리트,20210126,4795
138,A093240,형지엘리트,20210125,4685
139,A093240,형지엘리트,20210122,4925
140,A093240,형지엘리트,20210121,5020
141,A093240,형지엘리트,20210120,4985
142,A093240,형지엘리트,20210119,5000
143,A093240,형지엘리트,20210118,5040
