,辆格内靛,辆格疙,朝楼,辆啊
0,A094280,瓤己ITX,20210812,22450
1,A094280,瓤己ITX,20210811,22400
2,A094280,瓤己ITX,20210810,22600
3,A094280,瓤己ITX,20210809,22900
4,A094280,瓤己ITX,20210806,23100
5,A094280,瓤己ITX,20210805,23050
6,A094280,瓤己ITX,20210804,22800
7,A094280,瓤己ITX,20210803,22950
8,A094280,瓤己ITX,20210802,23000
9,A094280,瓤己ITX,20210730,23250
10,A094280,瓤己ITX,20210729,23100
11,A094280,瓤己ITX,20210728,22750
12,A094280,瓤己ITX,20210727,23350
13,A094280,瓤己ITX,20210726,23800
14,A094280,瓤己ITX,20210723,24000
15,A094280,瓤己ITX,20210722,23150
16,A094280,瓤己ITX,20210721,22750
17,A094280,瓤己ITX,20210720,23200
18,A094280,瓤己ITX,20210719,23350
19,A094280,瓤己ITX,20210716,24100
20,A094280,瓤己ITX,20210715,24250
21,A094280,瓤己ITX,20210714,23800
22,A094280,瓤己ITX,20210713,22350
23,A094280,瓤己ITX,20210712,22200
24,A094280,瓤己ITX,20210709,21850
25,A094280,瓤己ITX,20210708,22150
26,A094280,瓤己ITX,20210707,21850
27,A094280,瓤己ITX,20210706,22150
28,A094280,瓤己ITX,20210705,22250
29,A094280,瓤己ITX,20210702,22300
30,A094280,瓤己ITX,20210701,22600
31,A094280,瓤己ITX,20210630,22300
32,A094280,瓤己ITX,20210629,22350
33,A094280,瓤己ITX,20210628,22700
34,A094280,瓤己ITX,20210625,22600
35,A094280,瓤己ITX,20210624,22050
36,A094280,瓤己ITX,20210623,21800
37,A094280,瓤己ITX,20210622,22050
38,A094280,瓤己ITX,20210621,21350
39,A094280,瓤己ITX,20210618,21950
40,A094280,瓤己ITX,20210617,22200
41,A094280,瓤己ITX,20210616,22450
42,A094280,瓤己ITX,20210615,21900
43,A094280,瓤己ITX,20210614,21800
44,A094280,瓤己ITX,20210611,21750
45,A094280,瓤己ITX,20210610,22700
46,A094280,瓤己ITX,20210609,21950
