,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,¡æ∞°
0,A050090,»÷¥–Ω∫º“¿Á,20210812,1145
1,A050090,»÷¥–Ω∫º“¿Á,20210811,1160
2,A050090,»÷¥–Ω∫º“¿Á,20210810,1195
3,A050090,»÷¥–Ω∫º“¿Á,20210809,1250
4,A050090,»÷¥–Ω∫º“¿Á,20210806,1250
5,A050090,»÷¥–Ω∫º“¿Á,20210805,1270
6,A050090,»÷¥–Ω∫º“¿Á,20210804,1255
7,A050090,»÷¥–Ω∫º“¿Á,20210803,1205
8,A050090,»÷¥–Ω∫º“¿Á,20210802,1260
9,A050090,»÷¥–Ω∫º“¿Á,20210730,1290
10,A050090,»÷¥–Ω∫º“¿Á,20210729,1310
11,A050090,»÷¥–Ω∫º“¿Á,20210728,1325
12,A050090,»÷¥–Ω∫º“¿Á,20210727,1340
13,A050090,»÷¥–Ω∫º“¿Á,20210726,1340
14,A050090,»÷¥–Ω∫º“¿Á,20210723,1375
15,A050090,»÷¥–Ω∫º“¿Á,20210722,1385
16,A050090,»÷¥–Ω∫º“¿Á,20210721,1355
17,A050090,»÷¥–Ω∫º“¿Á,20210720,1375
18,A050090,»÷¥–Ω∫º“¿Á,20210719,1360
19,A050090,»÷¥–Ω∫º“¿Á,20210716,1410
20,A050090,»÷¥–Ω∫º“¿Á,20210715,1420
21,A050090,»÷¥–Ω∫º“¿Á,20210714,1370
22,A050090,»÷¥–Ω∫º“¿Á,20210713,1305
23,A050090,»÷¥–Ω∫º“¿Á,20210712,1325
24,A050090,»÷¥–Ω∫º“¿Á,20210709,1330
25,A050090,»÷¥–Ω∫º“¿Á,20210708,1330
26,A050090,»÷¥–Ω∫º“¿Á,20210707,1370
27,A050090,»÷¥–Ω∫º“¿Á,20210706,1350
28,A050090,»÷¥–Ω∫º“¿Á,20210705,1355
29,A050090,»÷¥–Ω∫º“¿Á,20210702,1400
30,A050090,»÷¥–Ω∫º“¿Á,20210701,1360
31,A050090,»÷¥–Ω∫º“¿Á,20210630,1310
32,A050090,»÷¥–Ω∫º“¿Á,20210629,1365
33,A050090,»÷¥–Ω∫º“¿Á,20210628,1365
34,A050090,»÷¥–Ω∫º“¿Á,20210625,1425
35,A050090,»÷¥–Ω∫º“¿Á,20210624,1415
36,A050090,»÷¥–Ω∫º“¿Á,20210623,1345
37,A050090,»÷¥–Ω∫º“¿Á,20210622,1470
38,A050090,»÷¥–Ω∫º“¿Á,20210621,1635
39,A050090,»÷¥–Ω∫º“¿Á,20210618,1455
40,A050090,»÷¥–Ω∫º“¿Á,20210617,1315
41,A050090,»÷¥–Ω∫º“¿Á,20210616,1300
42,A050090,»÷¥–Ω∫º“¿Á,20210615,1295
43,A050090,»÷¥–Ω∫º“¿Á,20210614,1320
44,A050090,»÷¥–Ω∫º“¿Á,20210611,1220
45,A050090,»÷¥–Ω∫º“¿Á,20210610,1230
46,A050090,»÷¥–Ω∫º“¿Á,20210609,1240
47,A050090,»÷¥–Ω∫º“¿Á,20210608,1220
48,A050090,»÷¥–Ω∫º“¿Á,20210607,1275
49,A050090,»÷¥–Ω∫º“¿Á,20210604,1275
50,A050090,»÷¥–Ω∫º“¿Á,20210603,1315
51,A050090,»÷¥–Ω∫º“¿Á,20210602,1295
52,A050090,»÷¥–Ω∫º“¿Á,20210601,1315
53,A050090,»÷¥–Ω∫º“¿Á,20210531,1350
54,A050090,»÷¥–Ω∫º“¿Á,20210528,1245
55,A050090,»÷¥–Ω∫º“¿Á,20210527,1240
56,A050090,»÷¥–Ω∫º“¿Á,20210526,1240
57,A050090,»÷¥–Ω∫º“¿Á,20210525,1290
58,A050090,»÷¥–Ω∫º“¿Á,20210524,1180
59,A050090,»÷¥–Ω∫º“¿Á,20210521,1200
60,A050090,»÷¥–Ω∫º“¿Á,20210520,1225
61,A050090,»÷¥–Ω∫º“¿Á,20210518,1185
62,A050090,»÷¥–Ω∫º“¿Á,20210517,1215
63,A050090,»÷¥–Ω∫º“¿Á,20210514,1170
64,A050090,»÷¥–Ω∫º“¿Á,20210513,1170
65,A050090,»÷¥–Ω∫º“¿Á,20210512,1190
66,A050090,»÷¥–Ω∫º“¿Á,20210511,1205
67,A050090,»÷¥–Ω∫º“¿Á,20210510,1230
68,A050090,»÷¥–Ω∫º“¿Á,20210507,1215
69,A050090,»÷¥–Ω∫º“¿Á,20210506,1205
70,A050090,»÷¥–Ω∫º“¿Á,20210504,1195
71,A050090,»÷¥–Ω∫º“¿Á,20210503,1235
72,A050090,»÷¥–Ω∫º“¿Á,20210430,1265
73,A050090,»÷¥–Ω∫º“¿Á,20210429,1320
74,A050090,»÷¥–Ω∫º“¿Á,20210428,1310
75,A050090,»÷¥–Ω∫º“¿Á,20210427,1430
76,A050090,»÷¥–Ω∫º“¿Á,20210426,1385
77,A050090,»÷¥–Ω∫º“¿Á,20210423,1390
78,A050090,»÷¥–Ω∫º“¿Á,20210422,1280
79,A050090,»÷¥–Ω∫º“¿Á,20210421,1325
80,A050090,»÷¥–Ω∫º“¿Á,20210420,1355
81,A050090,»÷¥–Ω∫º“¿Á,20210419,1360
82,A050090,»÷¥–Ω∫º“¿Á,20210416,1330
83,A050090,»÷¥–Ω∫º“¿Á,20210415,1430
84,A050090,»÷¥–Ω∫º“¿Á,20210414,1485
85,A050090,»÷¥–Ω∫º“¿Á,20210413,1450
86,A050090,»÷¥–Ω∫º“¿Á,20210412,1420
87,A050090,»÷¥–Ω∫º“¿Á,20210409,1455
88,A050090,»÷¥–Ω∫º“¿Á,20210408,1480
89,A050090,»÷¥–Ω∫º“¿Á,20210407,1495
90,A050090,»÷¥–Ω∫º“¿Á,20210406,1450
91,A050090,»÷¥–Ω∫º“¿Á,20210405,1405
92,A050090,»÷¥–Ω∫º“¿Á,20210402,1410
93,A050090,»÷¥–Ω∫º“¿Á,20210401,1375
94,A050090,»÷¥–Ω∫º“¿Á,20210331,1360
95,A050090,»÷¥–Ω∫º“¿Á,20210330,1355
96,A050090,»÷¥–Ω∫º“¿Á,20210329,1325
97,A050090,»÷¥–Ω∫º“¿Á,20210326,1100
98,A050090,»÷¥–Ω∫º“¿Á,20210325,848
99,A050090,»÷¥–Ω∫º“¿Á,20210324,848
100,A050090,»÷¥–Ω∫º“¿Á,20210323,816
101,A050090,»÷¥–Ω∫º“¿Á,20210322,834
102,A050090,»÷¥–Ω∫º“¿Á,20210319,850
103,A050090,»÷¥–Ω∫º“¿Á,20210318,860
104,A050090,»÷¥–Ω∫º“¿Á,20210317,864
105,A050090,»÷¥–Ω∫º“¿Á,20210316,852
106,A050090,»÷¥–Ω∫º“¿Á,20210315,863
107,A050090,»÷¥–Ω∫º“¿Á,20210312,840
108,A050090,»÷¥–Ω∫º“¿Á,20210311,807
109,A050090,»÷¥–Ω∫º“¿Á,20210310,789
110,A050090,»÷¥–Ω∫º“¿Á,20210309,795
111,A050090,»÷¥–Ω∫º“¿Á,20210308,822
112,A050090,»÷¥–Ω∫º“¿Á,20210305,838
113,A050090,»÷¥–Ω∫º“¿Á,20210304,874
114,A050090,»÷¥–Ω∫º“¿Á,20210303,858
115,A050090,»÷¥–Ω∫º“¿Á,20210302,849
116,A050090,»÷¥–Ω∫º“¿Á,20210226,822
117,A050090,»÷¥–Ω∫º“¿Á,20210225,863
118,A050090,»÷¥–Ω∫º“¿Á,20210224,860
119,A050090,»÷¥–Ω∫º“¿Á,20210223,883
120,A050090,»÷¥–Ω∫º“¿Á,20210222,909
121,A050090,»÷¥–Ω∫º“¿Á,20210219,909
122,A050090,»÷¥–Ω∫º“¿Á,20210218,930
123,A050090,»÷¥–Ω∫º“¿Á,20210217,979
124,A050090,»÷¥–Ω∫º“¿Á,20210216,908
125,A050090,»÷¥–Ω∫º“¿Á,20210215,906
126,A050090,»÷¥–Ω∫º“¿Á,20210210,893
127,A050090,»÷¥–Ω∫º“¿Á,20210209,886
128,A050090,»÷¥–Ω∫º“¿Á,20210208,881
129,A050090,»÷¥–Ω∫º“¿Á,20210205,904
130,A050090,»÷¥–Ω∫º“¿Á,20210204,908
131,A050090,»÷¥–Ω∫º“¿Á,20210203,941
132,A050090,»÷¥–Ω∫º“¿Á,20210202,940
133,A050090,»÷¥–Ω∫º“¿Á,20210201,942
134,A050090,»÷¥–Ω∫º“¿Á,20210129,940
135,A050090,»÷¥–Ω∫º“¿Á,20210128,1020
136,A050090,»÷¥–Ω∫º“¿Á,20210127,1055
137,A050090,»÷¥–Ω∫º“¿Á,20210126,1080
138,A050090,»÷¥–Ω∫º“¿Á,20210125,1080
139,A050090,»÷¥–Ω∫º“¿Á,20210122,1085
140,A050090,»÷¥–Ω∫º“¿Á,20210121,1065
141,A050090,»÷¥–Ω∫º“¿Á,20210120,1110
142,A050090,»÷¥–Ω∫º“¿Á,20210119,1115
143,A050090,»÷¥–Ω∫º“¿Á,20210118,1235
144,A050090,»÷¥–Ω∫º“¿Á,20210115,1080
145,A050090,»÷¥–Ω∫º“¿Á,20210114,1050
146,A050090,»÷¥–Ω∫º“¿Á,20210113,1080
147,A050090,»÷¥–Ω∫º“¿Á,20210112,1075
148,A050090,»÷¥–Ω∫º“¿Á,20210111,1100
149,A050090,»÷¥–Ω∫º“¿Á,20210108,1165
150,A050090,»÷¥–Ω∫º“¿Á,20210107,1170
151,A050090,»÷¥–Ω∫º“¿Á,20210106,1175
152,A050090,»÷¥–Ω∫º“¿Á,20210105,1180
153,A050090,»÷¥–Ω∫º“¿Á,20210104,1240
154,A050090,»÷¥–Ω∫º“¿Á,20201230,1145
155,A050090,»÷¥–Ω∫º“¿Á,20201229,1155
156,A050090,»÷¥–Ω∫º“¿Á,20201228,1055
157,A050090,»÷¥–Ω∫º“¿Á,20201224,1125
158,A050090,»÷¥–Ω∫º“¿Á,20201223,1065
159,A050090,»÷¥–Ω∫º“¿Á,20201222,1155
160,A050090,»÷¥–Ω∫º“¿Á,20201221,1220
161,A050090,»÷¥–Ω∫º“¿Á,20201218,1220
162,A050090,»÷¥–Ω∫º“¿Á,20201217,1295
163,A050090,»÷¥–Ω∫º“¿Á,20201216,1290
164,A050090,»÷¥–Ω∫º“¿Á,20201215,1165
165,A050090,»÷¥–Ω∫º“¿Á,20201214,898
166,A050090,»÷¥–Ω∫º“¿Á,20201211,950
167,A050090,»÷¥–Ω∫º“¿Á,20201210,1025
168,A050090,»÷¥–Ω∫º“¿Á,20201209,1050
169,A050090,»÷¥–Ω∫º“¿Á,20201208,811
170,A050090,»÷¥–Ω∫º“¿Á,20201207,836
171,A050090,»÷¥–Ω∫º“¿Á,20201204,882
172,A050090,»÷¥–Ω∫º“¿Á,20201203,867
173,A050090,»÷¥–Ω∫º“¿Á,20201202,840
174,A050090,»÷¥–Ω∫º“¿Á,20201201,835
175,A050090,»÷¥–Ω∫º“¿Á,20201130,829
176,A050090,»÷¥–Ω∫º“¿Á,20201127,821
177,A050090,»÷¥–Ω∫º“¿Á,20201126,833
178,A050090,»÷¥–Ω∫º“¿Á,20201125,812
179,A050090,»÷¥–Ω∫º“¿Á,20201124,825
180,A050090,»÷¥–Ω∫º“¿Á,20201123,801
181,A050090,»÷¥–Ω∫º“¿Á,20201120,826
182,A050090,»÷¥–Ω∫º“¿Á,20201119,815
183,A050090,»÷¥–Ω∫º“¿Á,20201118,809
184,A050090,»÷¥–Ω∫º“¿Á,20201117,791
185,A050090,»÷¥–Ω∫º“¿Á,20201116,804
186,A050090,»÷¥–Ω∫º“¿Á,20201113,852
187,A050090,»÷¥–Ω∫º“¿Á,20201112,886
188,A050090,»÷¥–Ω∫º“¿Á,20201111,885
189,A050090,»÷¥–Ω∫º“¿Á,20201110,849
190,A050090,»÷¥–Ω∫º“¿Á,20201109,845
191,A050090,»÷¥–Ω∫º“¿Á,20201106,845
192,A050090,»÷¥–Ω∫º“¿Á,20201105,883
193,A050090,»÷¥–Ω∫º“¿Á,20201104,879
194,A050090,»÷¥–Ω∫º“¿Á,20201103,925
195,A050090,»÷¥–Ω∫º“¿Á,20201102,958
196,A050090,»÷¥–Ω∫º“¿Á,20201030,1050
197,A050090,»÷¥–Ω∫º“¿Á,20201029,1130
198,A050090,»÷¥–Ω∫º“¿Á,20201028,954
199,A050090,»÷¥–Ω∫º“¿Á,20201027,1000
200,A050090,»÷¥–Ω∫º“¿Á,20201026,772
201,A050090,»÷¥–Ω∫º“¿Á,20201023,594
202,A050090,»÷¥–Ω∫º“¿Á,20201022,594
203,A050090,»÷¥–Ω∫º“¿Á,20201021,603
204,A050090,»÷¥–Ω∫º“¿Á,20201020,603
205,A050090,»÷¥–Ω∫º“¿Á,20201019,612
206,A050090,»÷¥–Ω∫º“¿Á,20201016,611
207,A050090,»÷¥–Ω∫º“¿Á,20201015,641
208,A050090,»÷¥–Ω∫º“¿Á,20201014,638
209,A050090,»÷¥–Ω∫º“¿Á,20201013,641
210,A050090,»÷¥–Ω∫º“¿Á,20201012,626
211,A050090,»÷¥–Ω∫º“¿Á,20201008,627
212,A050090,»÷¥–Ω∫º“¿Á,20201007,597
213,A050090,»÷¥–Ω∫º“¿Á,20201006,590
214,A050090,»÷¥–Ω∫º“¿Á,20201005,593
215,A050090,»÷¥–Ω∫º“¿Á,20200929,591
216,A050090,»÷¥–Ω∫º“¿Á,20200928,589
217,A050090,»÷¥–Ω∫º“¿Á,20200925,571
218,A050090,»÷¥–Ω∫º“¿Á,20200924,562
219,A050090,»÷¥–Ω∫º“¿Á,20200923,588
220,A050090,»÷¥–Ω∫º“¿Á,20200922,575
221,A050090,»÷¥–Ω∫º“¿Á,20200921,619
222,A050090,»÷¥–Ω∫º“¿Á,20200918,605
223,A050090,»÷¥–Ω∫º“¿Á,20200917,601
224,A050090,»÷¥–Ω∫º“¿Á,20200916,608
225,A050090,»÷¥–Ω∫º“¿Á,20200915,611
226,A050090,»÷¥–Ω∫º“¿Á,20200914,615
227,A050090,»÷¥–Ω∫º“¿Á,20200911,607
228,A050090,»÷¥–Ω∫º“¿Á,20200910,634
229,A050090,»÷¥–Ω∫º“¿Á,20200909,614
230,A050090,»÷¥–Ω∫º“¿Á,20200908,615
231,A050090,»÷¥–Ω∫º“¿Á,20200907,626
232,A050090,»÷¥–Ω∫º“¿Á,20200904,628
233,A050090,»÷¥–Ω∫º“¿Á,20200903,652
234,A050090,»÷¥–Ω∫º“¿Á,20200902,641
235,A050090,»÷¥–Ω∫º“¿Á,20200901,616
236,A050090,»÷¥–Ω∫º“¿Á,20200831,715
237,A050090,»÷¥–Ω∫º“¿Á,20200828,550
238,A050090,»÷¥–Ω∫º“¿Á,20200827,549
239,A050090,»÷¥–Ω∫º“¿Á,20200826,533
240,A050090,»÷¥–Ω∫º“¿Á,20200825,498
241,A050090,»÷¥–Ω∫º“¿Á,20200824,489
242,A050090,»÷¥–Ω∫º“¿Á,20200821,487
243,A050090,»÷¥–Ω∫º“¿Á,20200820,486
244,A050090,»÷¥–Ω∫º“¿Á,20200819,506
245,A050090,»÷¥–Ω∫º“¿Á,20200818,506
246,A050090,»÷¥–Ω∫º“¿Á,20200814,541
247,A050090,»÷¥–Ω∫º“¿Á,20200813,520
248,A050090,»÷¥–Ω∫º“¿Á,20200812,512
249,A050090,»÷¥–Ω∫º“¿Á,20200811,517
250,A050090,»÷¥–Ω∫º“¿Á,20200810,517
251,A050090,»÷¥–Ω∫º“¿Á,20200807,517
252,A050090,»÷¥–Ω∫º“¿Á,20200806,526
253,A050090,»÷¥–Ω∫º“¿Á,20200805,529
254,A050090,»÷¥–Ω∫º“¿Á,20200804,519
255,A050090,»÷¥–Ω∫º“¿Á,20200803,518
256,A050090,»÷¥–Ω∫º“¿Á,20200731,521
257,A050090,»÷¥–Ω∫º“¿Á,20200730,525
258,A050090,»÷¥–Ω∫º“¿Á,20200729,531
259,A050090,»÷¥–Ω∫º“¿Á,20200728,532
260,A050090,»÷¥–Ω∫º“¿Á,20200727,536
261,A050090,»÷¥–Ω∫º“¿Á,20200724,536
262,A050090,»÷¥–Ω∫º“¿Á,20200723,536
263,A050090,»÷¥–Ω∫º“¿Á,20200722,555
264,A050090,»÷¥–Ω∫º“¿Á,20200721,557
265,A050090,»÷¥–Ω∫º“¿Á,20200720,562
266,A050090,»÷¥–Ω∫º“¿Á,20200717,553
267,A050090,»÷¥–Ω∫º“¿Á,20200716,548
268,A050090,»÷¥–Ω∫º“¿Á,20200715,550
269,A050090,»÷¥–Ω∫º“¿Á,20200714,544
270,A050090,»÷¥–Ω∫º“¿Á,20200713,547
271,A050090,»÷¥–Ω∫º“¿Á,20200710,539
272,A050090,»÷¥–Ω∫º“¿Á,20200709,536
273,A050090,»÷¥–Ω∫º“¿Á,20200708,535
274,A050090,»÷¥–Ω∫º“¿Á,20200707,538
275,A050090,»÷¥–Ω∫º“¿Á,20200706,536
276,A050090,»÷¥–Ω∫º“¿Á,20200703,535
277,A050090,»÷¥–Ω∫º“¿Á,20200702,535
278,A050090,»÷¥–Ω∫º“¿Á,20200701,512
279,A050090,»÷¥–Ω∫º“¿Á,20200630,501
280,A050090,»÷¥–Ω∫º“¿Á,20200629,501
281,A050090,»÷¥–Ω∫º“¿Á,20200626,514
282,A050090,»÷¥–Ω∫º“¿Á,20200625,519
283,A050090,»÷¥–Ω∫º“¿Á,20200624,517
284,A050090,»÷¥–Ω∫º“¿Á,20200623,514
285,A050090,»÷¥–Ω∫º“¿Á,20200622,524
286,A050090,»÷¥–Ω∫º“¿Á,20200619,529
287,A050090,»÷¥–Ω∫º“¿Á,20200618,523
288,A050090,»÷¥–Ω∫º“¿Á,20200617,521
289,A050090,»÷¥–Ω∫º“¿Á,20200616,531
290,A050090,»÷¥–Ω∫º“¿Á,20200615,513
291,A050090,»÷¥–Ω∫º“¿Á,20200612,548
292,A050090,»÷¥–Ω∫º“¿Á,20200611,570
293,A050090,»÷¥–Ω∫º“¿Á,20200610,583
294,A050090,»÷¥–Ω∫º“¿Á,20200609,593
295,A050090,»÷¥–Ω∫º“¿Á,20200608,601
296,A050090,»÷¥–Ω∫º“¿Á,20200605,601
297,A050090,»÷¥–Ω∫º“¿Á,20200604,586
298,A050090,»÷¥–Ω∫º“¿Á,20200603,579
299,A050090,»÷¥–Ω∫º“¿Á,20200602,593
300,A050090,»÷¥–Ω∫º“¿Á,20200601,587
301,A050090,»÷¥–Ω∫º“¿Á,20200529,592
302,A050090,»÷¥–Ω∫º“¿Á,20200528,555
303,A050090,»÷¥–Ω∫º“¿Á,20200527,581
304,A050090,»÷¥–Ω∫º“¿Á,20200526,578
305,A050090,»÷¥–Ω∫º“¿Á,20200525,560
306,A050090,»÷¥–Ω∫º“¿Á,20200522,565
307,A050090,»÷¥–Ω∫º“¿Á,20200521,568
308,A050090,»÷¥–Ω∫º“¿Á,20200520,552
309,A050090,»÷¥–Ω∫º“¿Á,20200519,542
310,A050090,»÷¥–Ω∫º“¿Á,20200518,536
311,A050090,»÷¥–Ω∫º“¿Á,20200515,535
312,A050090,»÷¥–Ω∫º“¿Á,20200514,549
313,A050090,»÷¥–Ω∫º“¿Á,20200513,547
314,A050090,»÷¥–Ω∫º“¿Á,20200512,548
315,A050090,»÷¥–Ω∫º“¿Á,20200511,563
316,A050090,»÷¥–Ω∫º“¿Á,20200508,561
317,A050090,»÷¥–Ω∫º“¿Á,20200507,556
318,A050090,»÷¥–Ω∫º“¿Á,20200506,565
319,A050090,»÷¥–Ω∫º“¿Á,20200504,550
320,A050090,»÷¥–Ω∫º“¿Á,20200429,548
